ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
323,682,575690,6212,575690
323,682,576690,6212,576690
323,682,577500,6212,577500
324,684,578500,6212,578500
325,686,578970,6212,578970
325,686,579620,6212,579620
325,686,580620,6212,580620
326,688,581620,6212,581620
326,688,582620,6212,582620
327,690,583620,6212,583620
327,690,584620,6212,584620
328,692,585620,6212,585620
329,694,586430,6212,586430
329,694,586430,6212,586430
329,694,586910,6212,586910
330,696,587910,6212,587910
330,696,588370,6212,588370
330,696,589370,6212,589370
331,698,590370,6212,590370
332,700,591180,6212,591180
333,708,591180,6212,591180
333,708,592180,6212,592180
334,710,593180,6212,593180
335,712,594180,6212,594180
335,712,594180,6212,594180
335,712,594180,6212,594180
335,712,595180,6212,595180
336,714,596180,6212,596180
336,714,597180,6212,597180
336,714,598180,6212,598180
337,716,599180,6212,599180
338,718,600180,6212,600180
338,718,600500,6212,600500
338,718,601500,6212,601500
338,718,601500,6212,601500
339,726,609500,6212,609500
339,726,609970,6212,609970
339,726,609970,6212,609970
340,728,610970,6212,610970
340,728,611970,6212,611970
340,728,611970,6212,611970
341,730,612970,6212,612970
341,730,613970,6212,613970
341,730,613970,6212,613970
342,732,614970,6212,614970
342,732,615970,6212,615970
342,732,616440,6212,616440
342,732,616440,6212,616440
343,734,617250,6212,617250
344,736,618250,6212,618250
344,736,618360,6212,618360
344,736,619360,6212,619360
344,736,620360,6212,620360
344,736,620580,6212,620580
345,738,621580,6212,621580
346,742,621580,6212,621580
346,742,622580,6212,622580
346,742,622810,6212,622810
347,744,623810,6212,623810
347,744,624620,6212,624620
347,744,625620,6212,625620
348,746,626620,6212,626620
349,748,627620,6212,627620
349,748,628620,6212,628620
350,750,628940,6212,628940
351,752,629940,6212,629940
352,754,630940,6212,630940
352,754,631940,6212,631940
352,754,632260,6212,632260
352,754,633070,6212,633070
353,756,633880,6212,633880
353,756,634530,6212,634530
354,758,635000,6212,635000
354,758,636000,6212,636000
354,758,636810,6212,636810
355,760,637810,6212,637810
355,760,638130,6212,638130
355,760,638130,6212,638130
355,760,639130,6212,639130
355,760,640130,6212,640130
355,760,640130,6212,640130
356,762,640940,6212,640940
357,764,641940,6212,641940
357,764,642940,6212,642940
357,764,643400,6212,643400
357,764,643400,6212,643400
358,766,644400,6212,644400
359,768,645210,6212,645210
359,768,645530,6212,645530
359,768,645900,6212,645900
359,768,646900,6212,646900
360,770,647900,6212,647900
360,770,648370,6212,648370
360,770,649370,6212,649370
361,772,650370,6212,650370
362,774,651370,6212,651370
363,776,652370,6212,652370
363,776,653370,6212,653370
364,778,654370,6212,654370
364,778,654600,6212,654600
364,778,655410,6212,655410
365,780,656220,6212,656220
365,780,656870,6212,656870
365,780,657870,6212,657870
365,780,657870,6212,657870
366,782,658680,6212,658680
367,784,659680,6212,659680
367,784,660050,6212,660050
368,786,660860,6212,660860
368,786,661330,6212,661330
369,788,662330,6212,662330
370,790,663330,6212,663330
370,790,664140,6212,664140
370,790,664140,6212,664140
371,792,664610,6212,664610
371,792,665610,6212,665610
371,792,665720,6212,665720
371,792,666530,6212,666530
371,792,667000,6212,667000
371,792,667000,6212,667000
371,792,667330,6212,667330
372,794,668140,6212,668140
372,794,669140,6212,669140
372,794,669140,6212,669140
373,796,670140,6212,670140
374,798,671140,6212,671140
374,798,671950,6212,671950
374,798,671950,6212,671950
375,800,672760,6212,672760
376,808,672760,6212,672760
376,808,673760,6212,673760
377,810,674760,6212,674760
378,812,674980,6212,674980
378,812,675300,6212,675300
378,812,676110,6212,676110
379,814,677110,6212,677110
379,814,677110,6212,677110
380,816,677920,6212,677920
380,816,678920,6212,678920
