ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
891373.83,14.99,1.4,252156.94,4.24
891108.25,14.99,1.4,251895.0,4.24
890813.65,14.98,1.39,251709.89,4.23
890558.04,14.98,1.39,251571.44,4.23
890558.04,14.98,1.39,251571.02,4.23
890737.74,14.98,1.39,251951.22,4.24
890737.74,14.98,1.39,251951.22,4.24
890492.13,14.98,1.39,251701.02,4.23
890391.57,14.98,1.39,251602.88,4.23
890438.93,14.98,1.39,251261.18,4.23
890851.33,14.99,1.4,251403.77,4.23
890715.42,14.99,1.4,251256.46,4.23
890765.87,14.99,1.4,251438.81,4.23
890754.51,14.99,1.4,250887.14,4.22
890754.51,14.99,1.4,250887.14,4.22
890754.51,14.99,1.4,251460.65,4.23
890934.22,15.0,1.41,251451.79,4.23
890798.31,15.0,1.41,251594.09,4.24
890462.51,15.0,1.4,251345.24,4.23
890509.87,15.0,1.41,251003.54,4.23
890548.48,15.0,1.41,250794.42,4.22
890438.84,15.0,1.41,250691.1,4.22
890635.41,15.0,1.41,250626.05,4.22
890499.5,15.0,1.41,250914.78,4.23
890343.14,15.0,1.41,250763.59,4.23
890216.64,15.0,1.41,250578.4,4.22
890216.64,15.0,1.41,250375.34,4.22
889750.14,14.99,1.4,249939.97,4.21
889800.59,15.0,1.41,250066.58,4.21
889997.16,15.0,1.41,250104.53,4.22
889870.66,15.0,1.41,250180.45,4.22
890076.05,15.01,1.42,250265.94,4.22
890126.5,15.01,1.42,250555.05,4.22
889970.14,15.01,1.42,250436.92,4.22
