ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
980685.83,17.07,4.8,803736.58,13.99
980889.19,17.08,4.81,803442.66,13.99
981309.97,17.08,4.82,803651.81,13.99
981118.91,17.08,4.82,803387.98,13.99
981308.34,17.09,4.82,803027.78,13.98
981765.91,17.1,4.84,803176.59,13.99
981770.97,17.1,4.84,802930.12,13.99
982039.73,17.11,4.85,803035.35,13.99
982915.72,17.13,4.86,803073.63,13.99
982724.67,17.13,4.86,802821.7,13.99
982982.53,17.13,4.87,803156.39,14.0
983440.1,17.14,4.88,803306.5,14.0
983024.77,17.14,4.88,802945.21,14.0
982833.71,17.14,4.88,802760.52,14.0
983291.28,17.15,4.89,802910.63,14.0
983560.03,17.16,4.89,802888.42,14.01
983560.03,17.16,4.89,802763.43,14.0
983760.73,17.16,4.9,802659.88,14.0
983569.67,17.16,4.9,802400.22,14.0
983378.62,17.16,4.9,802140.55,14.0
982934.28,17.16,4.89,802037.54,14.0
983203.04,17.17,4.9,802142.77,14.01
983970.75,17.18,4.92,802584.18,14.01
983779.69,17.18,4.92,802332.26,14.01
984030.24,17.19,4.92,802318.73,14.01
983489.58,17.18,4.91,801725.73,14.0
982472.16,17.19,4.92,800914.33,14.01
982469.91,17.19,4.92,800854.89,14.01
982670.61,17.19,4.93,800652.02,14.01
982921.15,17.2,4.93,800638.49,14.01
982921.15,17.2,4.93,800288.21,14.0
982918.9,17.2,4.93,800228.77,14.0
981700.79,17.2,4.94,799520.91,14.01
981509.73,17.2,4.94,799336.22,14.01
981614.2,17.21,4.94,799613.76,14.02
981882.95,17.21,4.95,799571.5,14.02
980901.77,17.22,4.96,798832.22,14.02
981105.14,17.23,4.96,798538.29,14.02
981173.2,17.23,4.97,798359.14,14.02
981431.06,17.24,4.97,798024.1,14.02
981516.08,17.24,4.98,797821.86,14.02
981513.83,17.25,4.98,797762.42,14.02
981782.59,17.25,4.99,797761.84,14.02
981598.85,17.25,4.99,797250.31,14.01
982317.54,17.27,5.0,797249.19,14.02
982568.09,17.27,5.01,797235.66,14.02
982568.09,17.27,5.01,796919.67,14.01
982568.09,17.27,5.01,796762.54,14.01
982377.03,17.27,5.01,796577.85,14.01
982645.79,17.28,5.02,796535.59,14.01
982454.73,17.28,5.02,796558.22,14.01
982784.38,17.29,5.02,796421.45,14.01
983053.13,17.3,5.03,796488.36,14.01
983198.13,17.3,5.04,796072.31,14.01
983401.5,17.31,5.04,795778.39,14.01
983177.23,17.31,5.04,795676.76,14.01
983774.72,17.32,5.05,795714.74,14.01
984119.93,17.33,5.06,795524.18,14.01
983936.19,17.33,5.06,795141.38,14.0
983745.13,17.33,5.06,794881.71,14.0
983430.73,17.32,5.06,794499.52,14.0
983406.65,17.33,5.06,793993.6,13.99
982743.46,17.33,5.06,793303.29,13.99
982708.0,17.33,5.06,793387.46,13.99
983513.02,17.34,5.08,793468.26,13.99
982495.59,17.35,5.08,792656.86,14.0
982909.07,17.36,5.09,792809.38,14.0
983325.25,17.36,5.1,792765.41,14.0
983042.78,17.37,5.11,792257.24,14.0
983753.15,17.39,5.12,792359.96,14.0
983953.84,17.39,5.12,792256.42,14.0
984377.34,17.4,5.13,792876.81,14.01
984594.67,17.4,5.14,793086.56,14.02
984410.93,17.4,5.14,792712.78,14.01
984267.14,17.4,5.14,792542.6,14.01
984535.9,17.41,5.15,792549.01,14.02
984120.57,17.41,5.15,792187.72,14.01
983896.3,17.41,5.14,792001.32,14.01
984201.29,17.42,5.15,792174.75,14.02
984017.55,17.42,5.15,791804.2,14.02
983793.28,17.42,5.15,791627.6,14.01
983609.54,17.42,5.15,791274.69,14.01
983242.06,17.42,5.15,790780.21,14.01
983961.25,17.43,5.17,790991.08,14.01
