ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
619,3180,851040,6212,851040
619,3180,851510,6212,851510
619,3180,852320,6212,852320
620,3188,853320,6212,853320
621,3196,854320,6212,854320
621,3196,854550,6212,854550
622,3204,855550,6212,855550
623,3206,856200,6212,856200
624,3208,857200,6212,857200
625,3210,857850,6212,857850
626,3218,865850,6212,865850
626,3218,866220,6212,866220
626,3218,866220,6212,866220
626,3218,866220,6212,866220
627,3226,866220,6212,866220
627,3226,867220,6212,867220
628,3228,868030,6212,868030
629,3230,869030,6212,869030
629,3230,869840,6212,869840
630,3232,870650,6212,870650
630,3232,870970,6212,870970
631,3234,871290,6212,871290
631,3234,872290,6212,872290
632,3242,880290,6212,880290
633,3244,880760,6212,880760
634,3246,881230,6212,881230
634,3246,882230,6212,882230
635,3248,883230,6212,883230
635,3248,883230,6212,883230
635,3248,884040,6212,884040
636,3256,886040,6212,886040
637,3258,887040,6212,887040
637,3258,887040,6212,887040
637,3258,887500,6212,887500
637,3258,888090,6212,888090
638,3262,888090,6212,888090
639,3270,896090,6212,896090
639,3270,896090,6212,896090
639,3270,896320,6212,896320
640,3274,896320,6212,896320
640,3274,896970,6212,896970
640,3274,897780,6212,897780
640,3274,898240,6212,898240
641,3282,899240,6212,899240
641,3282,899710,6212,899710
641,3282,900030,6212,900030
642,3290,901030,6212,901030
643,3298,901840,6212,901840
643,3298,902650,6212,902650
644,3306,903120,6212,903120
644,3306,904120,6212,904120
645,3308,906120,6212,906120
646,3316,907120,6212,907120
647,3324,907590,6212,907590
648,3332,908590,6212,908590
649,3340,908590,6212,908590
650,3348,908590,6212,908590
650,3348,908590,6212,908590
651,3350,909590,6212,909590
652,3358,910060,6212,910060
652,3358,911060,6212,911060
652,3358,911530,6212,911530
652,3358,912000,6212,912000
653,3366,913000,6212,913000
653,3366,914000,6212,914000
654,3368,915000,6212,915000
654,3368,916000,6212,916000
655,3376,917000,6212,917000
656,3384,918000,6212,918000
656,3384,918000,6212,918000
657,3392,919000,6212,919000
657,3392,919590,6212,919590
657,3392,920400,6212,920400
658,3400,928400,6212,928400
659,3404,929400,6212,929400
