ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
525,2797,356470,6212,356470
525,2797,356940,6212,356940
526,2805,357530,6212,357530
526,2805,357530,6212,357530
527,2806,358010,6212,358010
527,2806,359010,6212,359010
527,2806,359480,6212,359480
528,2808,359480,6212,359480
528,2808,360030,6212,360030
529,2810,360030,6212,360030
529,2810,361030,6212,361030
530,2818,361030,6212,361030
531,2826,361500,6212,361500
531,2826,362310,6212,362310
531,2826,362900,6212,362900
531,2826,363550,6212,363550
532,2828,363780,6212,363780
533,2836,364780,6212,364780
534,2838,364780,6212,364780
535,2840,365250,6212,365250
536,2842,365720,6212,365720
536,2842,365940,6212,365940
537,2850,366490,6212,366490
538,2858,374490,6212,374490
539,2866,375080,6212,375080
540,2874,376080,6212,376080
541,2876,376310,6212,376310
542,2884,377120,6212,377120
542,2884,377120,6212,377120
542,2884,377120,6212,377120
542,2884,377440,6212,377440
543,2892,378250,6212,378250
544,2894,378900,6212,378900
545,2902,379220,6212,379220
546,2910,380030,6212,380030
547,2918,380350,6212,380350
548,2926,381160,6212,381160
549,2928,382160,6212,382160
549,2928,382480,6212,382480
550,2936,382940,6212,382940
550,2936,383750,6212,383750
551,2944,384070,6212,384070
552,2952,384540,6212,384540
552,2952,384700,6212,384700
552,2952,385290,6212,385290
553,2960,386100,6212,386100
554,2962,387100,6212,387100
555,2970,387100,6212,387100
556,2972,388100,6212,388100
556,2972,388910,6212,388910
557,2976,389560,6212,389560
557,2976,389780,6212,389780
558,2984,390430,6212,390430
559,2986,391080,6212,391080
559,2986,391550,6212,391550
560,2988,392360,6212,392360
560,2988,393010,6212,393010
561,2996,393330,6212,393330
562,2998,393650,6212,393650
563,3006,394460,6212,394460
564,3014,394930,6212,394930
564,3014,395740,6212,395740
564,3014,396550,6212,396550
564,3014,397200,6212,397200
564,3014,398010,6212,398010
565,3018,398820,6212,398820
565,3018,399630,6212,399630
566,3020,399630,6212,399630
567,3028,399950,6212,399950
568,3030,400760,6212,400760
569,3038,401230,6212,401230
569,3038,402040,6212,402040
569,3038,402360,6212,402360
570,3040,403010,6212,403010
571,3042,403330,6212,403330
572,3050,403800,6212,403800
573,3058,404800,6212,404800
573,3058,405260,6212,405260
573,3058,406260,6212,406260
574,3066,406260,6212,406260
575,3074,407070,6212,407070
576,3076,407720,6212,407720
576,3076,408720,6212,408720
576,3076,409190,6212,409190
577,3078,410000,6212,410000
578,3080,410810,6212,410810
579,3088,411620,6212,411620
579,3088,412090,6212,412090
580,3090,412900,6212,412900
581,3094,412900,6212,412900
582,3102,412900,6212,412900
582,3102,413220,6212,413220
583,3110,413690,6212,413690
584,3112,414500,6212,414500
585,3114,415500,6212,415500
586,3122,416310,6212,416310
586,3122,416310,6212,416310
586,3122,417120,6212,417120
587,3126,417120,6212,417120
587,3126,417590,6212,417590
587,3126,417590,6212,417590
588,3134,418400,6212,418400
589,3136,419210,6212,419210
590,3138,419580,6212,419580
591,3146,420390,6212,420390
591,3146,421040,6212,421040
592,3154,421510,6212,421510
593,3156,421980,6212,421980
593,3156,422450,6212,422450
594,3158,422930,6212,422930
595,3166,423740,6212,423740
596,3168,424390,6212,424390
597,3176,424620,6212,424620
597,3176,425090,6212,425090
597,3176,425560,6212,425560
597,3176,426030,6212,426030
597,3176,426840,6212,426840
598,3184,427310,6212,427310
599,3186,427310,6212,427310
600,3194,428310,6212,428310
600,3194,428780,6212,428780
601,3196,429430,6212,429430
602,3198,430240,6212,430240
602,3198,430700,6212,430700
602,3198,431020,6212,431020
603,3206,431830,6212,431830
603,3206,431830,6212,431830
604,3214,432150,6212,432150
605,3222,432470,6212,432470
605,3222,432950,6212,432950
605,3222,433270,6212,433270
605,3222,434080,6212,434080
606,3230,434890,6212,434890
607,3238,435540,6212,435540
607,3238,435860,6212,435860
607,3238,436860,6212,436860
607,3238,436860,6212,436860
608,3240,437670,6212,437670
608,3240,438220,6212,438220
609,3248,438690,6212,438690
610,3256,439500,6212,439500
611,3258,439820,6212,439820
612,3260,440140,6212,440140
612,3260,440300,6212,440300
613,3268,440760,6212,440760
613,3268,440920,6212,440920
613,3268,441570,6212,441570
613,3268,442040,6212,442040
613,3268,442040,6212,442040
613,3268,442510,6212,442510
613,3268,442970,6212,442970
613,3268,443780,6212,443780
613,3268,444780,6212,444780
614,3276,445590,6212,445590
614,3276,445590,6212,445590
614,3276,445590,6212,445590
615,3284,446400,6212,446400
616,3292,446630,6212,446630
617,3293,446740,6212,446740
617,3293,447390,6212,447390
617,3293,447860,6212,447860
617,3293,448670,6212,448670
617,3293,449670,6212,449670
617,3293,450140,6212,450140
617,3293,451140,6212,451140
618,3301,452140,6212,452140
618,3301,452950,6212,452950
618,3301,453760,6212,453760
618,3301,454080,6212,454080
619,3309,454890,6212,454890
620,3311,455700,6212,455700
621,3319,456700,6212,456700
621,3319,457170,6212,457170
622,3327,457170,6212,457170
