ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1185225.48,20.17,1.6,182455.91,3.11
1185055.48,20.17,1.6,182520.96,3.11
1184645.28,20.17,1.59,182108.65,3.1
1184681.83,20.17,1.6,181525.34,3.09
1184928.74,20.18,1.61,182060.09,3.1
1185167.5,20.18,1.61,182151.18,3.1
1184450.96,20.17,1.6,181372.28,3.09
1184450.96,20.17,1.6,181372.28,3.09
1184450.96,20.17,1.6,181372.28,3.09
1184258.37,20.17,1.6,181546.24,3.09
1184258.37,20.17,1.6,181546.24,3.09
1184060.1,20.17,1.6,181477.29,3.09
1184060.1,20.17,1.6,181477.29,3.09
1184049.79,20.18,1.61,181335.01,3.09
1183882.76,20.18,1.61,181317.51,3.09
1183663.52,20.18,1.6,181102.52,3.09
1183474.67,20.18,1.6,181474.88,3.09
1183454.95,20.18,1.61,181442.72,3.09
1183444.64,20.18,1.61,181302.06,3.09
1183444.64,20.18,1.61,181302.06,3.09
1183246.37,20.18,1.61,181217.05,3.09
1182993.09,20.18,1.61,181037.79,3.09
1182886.21,20.18,1.61,181587.54,3.1
1182719.18,20.18,1.61,181510.39,3.1
1182719.18,20.18,1.61,181510.39,3.1
1182400.17,20.18,1.6,181191.38,3.09
1182112.55,20.17,1.6,180822.59,3.09
1181945.52,20.17,1.6,180818.11,3.09
1181949.59,20.17,1.6,180834.42,3.09
1181751.32,20.17,1.6,180765.47,3.09
1181553.05,20.17,1.6,180607.95,3.08
1181542.74,20.18,1.61,180924.97,3.09
1181344.47,20.18,1.61,180768.26,3.09
1181344.47,20.18,1.61,180768.26,3.09
1181146.2,20.18,1.61,180672.82,3.09
1180947.93,20.18,1.61,180616.66,3.09
1180759.08,20.18,1.61,180759.92,3.09
1181008.73,20.18,1.61,180974.32,3.09
1180810.46,20.18,1.61,180899.74,3.09
1180612.19,20.18,1.61,180822.73,3.09
1180611.31,20.19,1.62,181135.45,3.1
1180591.58,20.19,1.62,181103.29,3.1
1180393.31,20.19,1.62,181028.71,3.1
1180393.31,20.19,1.62,181028.71,3.1
1180393.31,20.19,1.62,181028.71,3.1
1180195.04,20.19,1.62,180951.7,3.1
1179976.48,20.19,1.62,180729.45,3.09
1179815.77,20.19,1.62,180940.83,3.1
1179623.18,20.19,1.62,180920.5,3.1
1179575.31,20.19,1.62,180800.18,3.09
1179701.52,20.19,1.62,180746.52,3.09
1179701.52,20.19,1.62,180765.92,3.09
1179503.25,20.19,1.62,180594.56,3.09
1179314.4,20.19,1.62,181070.7,3.1
1178927.06,20.19,1.62,180699.92,3.09
1178907.33,20.19,1.62,180701.87,3.09
1178740.29,20.19,1.62,180699.86,3.1
1178573.26,20.19,1.62,180620.24,3.09
1178374.99,20.19,1.62,180523.06,3.09
1178207.96,20.19,1.62,180445.57,3.09
1178228.89,20.2,1.63,180624.9,3.1
1178228.89,20.2,1.63,180624.9,3.1
1178061.86,20.2,1.63,180547.4,3.1
1177894.83,20.2,1.63,180543.27,3.1
1177727.79,20.2,1.63,180465.78,3.09
1177360.68,20.19,1.62,180103.76,3.09
1177193.65,20.19,1.62,180099.62,3.09
1177026.61,20.19,1.62,180078.12,3.09
1177027.1,20.19,1.62,180092.39,3.09
1176860.07,20.19,1.62,180032.27,3.09
