ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1602804.71,26.89,1.31,256312.88,4.3
1602804.71,26.89,1.31,256312.88,4.3
1602548.97,26.89,1.31,256269.11,4.3
1602548.97,26.89,1.31,256346.3,4.3
1602548.97,26.89,1.31,256346.3,4.3
1602293.23,26.89,1.31,256346.3,4.3
1602293.23,26.89,1.31,256304.03,4.3
1602293.23,26.89,1.31,256261.72,4.3
1602037.49,26.89,1.31,256275.31,4.3
1601781.75,26.89,1.31,256217.95,4.3
1601545.3,26.88,1.31,255952.38,4.3
1601489.34,26.89,1.31,255433.44,4.29
1601148.27,26.89,1.31,255036.41,4.28
1601289.45,26.89,1.32,254658.66,4.28
1601033.72,26.89,1.32,254614.89,4.28
1600777.98,26.89,1.32,254614.89,4.28
1600522.24,26.89,1.32,254622.81,4.28
1600522.24,26.89,1.32,259501.81,4.36
1601214.01,26.9,1.33,261541.79,4.39
1601403.47,26.91,1.34,261799.74,4.4
1600865.25,26.9,1.33,261261.53,4.39
1601032.85,26.91,1.34,260910.18,4.39
1600777.11,26.91,1.34,260866.41,4.39
1600850.97,26.92,1.34,261184.92,4.39
1600595.23,26.92,1.34,261242.28,4.39
1600595.23,26.92,1.34,261242.28,4.39
1600295.63,26.91,1.34,260953.77,4.39
1600039.89,26.91,1.34,260852.64,4.39
1600039.89,26.91,1.34,260852.64,4.39
1599695.27,26.91,1.34,260508.02,4.38
1599849.82,26.92,1.34,260183.38,4.38
1599108.24,26.91,1.34,259402.05,4.37
1604370.55,27.0,1.42,260483.07,4.38
