ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
334,756,587390,6212,587390
334,756,588390,6212,588390
334,756,588390,6212,588390
335,758,589200,6212,589200
335,758,590200,6212,590200
336,760,591200,6212,591200
336,760,592010,6212,592010
336,760,592010,6212,592010
337,762,593010,6212,593010
337,762,593480,6212,593480
337,762,593940,6212,593940
338,764,594940,6212,594940
338,764,595410,6212,595410
338,764,595880,6212,595880
339,766,596880,6212,596880
339,766,596880,6212,596880
339,766,597350,6212,597350
339,766,598350,6212,598350
339,766,598350,6212,598350
340,768,599350,6212,599350
340,768,600160,6212,600160
340,768,600320,6212,600320
341,770,601320,6212,601320
341,770,602130,6212,602130
342,772,603130,6212,603130
342,772,603130,6212,603130
342,772,604130,6212,604130
343,774,605130,6212,605130
343,774,606130,6212,606130
344,776,607130,6212,607130
344,776,607130,6212,607130
344,776,607130,6212,607130
344,776,608130,6212,608130
345,778,608600,6212,608600
345,778,609600,6212,609600
346,780,610600,6212,610600
346,780,611410,6212,611410
347,782,612410,6212,612410
347,782,612410,6212,612410
347,782,612880,6212,612880
347,782,613880,6212,613880
348,784,614880,6212,614880
348,784,615880,6212,615880
348,784,615880,6212,615880
349,786,616880,6212,616880
349,786,617880,6212,617880
349,786,617880,6212,617880
350,788,618530,6212,618530
350,788,618990,6212,618990
350,788,619460,6212,619460
351,790,620270,6212,620270
351,790,621270,6212,621270
351,790,621500,6212,621500
352,792,621970,6212,621970
352,792,621970,6212,621970
352,792,621970,6212,621970
352,792,622200,6212,622200
352,792,623200,6212,623200
353,794,624010,6212,624010
353,794,624480,6212,624480
353,794,624950,6212,624950
354,796,625760,6212,625760
354,796,626230,6212,626230
354,796,627230,6212,627230
355,798,628230,6212,628230
355,798,629230,6212,629230
356,800,630040,6212,630040
356,800,630850,6212,630850
357,802,631850,6212,631850
357,802,632660,6212,632660
358,804,633660,6212,633660
358,804,634660,6212,634660
358,804,634880,6212,634880
358,804,634880,6212,634880
359,806,635880,6212,635880
359,806,636880,6212,636880
359,806,636880,6212,636880
360,808,637880,6212,637880
360,808,638690,6212,638690
361,810,639690,6212,639690
361,810,640340,6212,640340
362,812,641340,6212,641340
362,812,642340,6212,642340
362,812,642660,6212,642660
