ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
157,728,679280,6212,679280
157,728,680280,6212,680280
157,728,680280,6212,680280
157,728,680600,6212,680600
157,728,681070,6212,681070
157,728,682070,6212,682070
157,728,682550,6212,682550
157,728,683360,6212,683360
157,728,684170,6212,684170
157,728,684330,6212,684330
157,728,685140,6212,685140
158,730,685950,6212,685950
158,730,686760,6212,686760
158,730,686760,6212,686760
159,734,687230,6212,687230
160,736,688230,6212,688230
160,736,689230,6212,689230
160,736,690230,6212,690230
160,736,691230,6212,691230
160,736,692040,6212,692040
161,738,692850,6212,692850
161,738,693320,6212,693320
161,738,693910,6212,693910
162,746,694910,6212,694910
162,746,695910,6212,695910
162,746,696380,6212,696380
162,746,697380,6212,697380
162,746,698380,6212,698380
163,754,699380,6212,699380
163,754,700190,6212,700190
163,754,701190,6212,701190
163,754,702190,6212,702190
163,754,703190,6212,703190
163,754,704190,6212,704190
163,754,704190,6212,704190
163,754,704410,6212,704410
163,754,705410,6212,705410
163,754,706410,6212,706410
164,756,707410,6212,707410
164,756,708410,6212,708410
165,764,709410,6212,709410
165,764,710060,6212,710060
165,764,710870,6212,710870
165,764,711870,6212,711870
165,764,712870,6212,712870
165,764,713340,6212,713340
165,764,713800,6212,713800
165,764,714800,6212,714800
166,766,715610,6212,715610
166,766,716610,6212,716610
166,766,716610,6212,716610
166,766,716610,6212,716610
166,766,717610,6212,717610
166,766,718420,6212,718420
166,766,719420,6212,719420
166,766,720420,6212,720420
167,768,721420,6212,721420
167,768,721890,6212,721890
167,768,722890,6212,722890
168,770,723890,6212,723890
168,770,724540,6212,724540
169,778,725540,6212,725540
169,778,726350,6212,726350
169,778,727350,6212,727350
169,778,727350,6212,727350
169,778,727350,6212,727350
169,778,727350,6212,727350
169,778,728160,6212,728160
169,778,728160,6212,728160
169,778,729160,6212,729160
169,778,730160,6212,730160
169,778,731160,6212,731160
169,778,731630,6212,731630
170,786,735630,6212,735630
171,788,736440,6212,736440
171,788,736910,6212,736910
171,788,737230,6212,737230
171,788,738040,6212,738040
171,788,738850,6212,738850
171,788,739660,6212,739660
171,788,740660,6212,740660
171,788,741660,6212,741660
172,796,742660,6212,742660
173,798,743470,6212,743470
173,798,744470,6212,744470
173,798,745470,6212,745470
173,798,746280,6212,746280
173,798,747280,6212,747280
173,798,748090,6212,748090
173,798,749090,6212,749090
173,798,749560,6212,749560
173,798,749560,6212,749560
173,798,750560,6212,750560
173,798,751030,6212,751030
174,800,752030,6212,752030
175,802,752840,6212,752840
175,802,753310,6212,753310
175,802,754310,6212,754310
