ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
1278812.94,21.62,1.12,193115.53,3.26
1278796.75,21.62,1.12,193115.46,3.26
1279031.18,21.63,1.13,193112.23,3.27
1278826.2,21.63,1.13,193109.0,3.27
1278866.2,21.63,1.13,193830.14,3.28
1278866.2,21.63,1.13,193772.74,3.28
1279100.63,21.63,1.13,193770.99,3.28
1278895.65,21.63,1.13,193769.16,3.28
1278891.12,21.63,1.14,193285.57,3.27
1278686.14,21.64,1.14,193284.41,3.27
1278919.45,21.64,1.15,193018.58,3.27
1279153.88,21.65,1.15,193040.59,3.27
1279481.59,21.66,1.16,193039.02,3.27
1279809.3,21.66,1.16,193090.02,3.27
1280385.66,21.68,1.18,193054.69,3.27
1280385.66,21.68,1.18,193054.69,3.27
1280180.68,21.68,1.18,193049.29,3.27
1279975.71,21.68,1.18,192990.3,3.27
1279959.51,21.68,1.18,192988.27,3.27
1279754.53,21.68,1.18,192989.85,3.27
1279988.96,21.68,1.19,192988.1,3.27
1279813.99,21.68,1.19,192869.66,3.27
1279937.22,21.69,1.19,192866.43,3.27
1279698.17,21.69,1.19,192631.62,3.26
1279681.98,21.69,1.19,192001.64,3.25
1279665.78,21.69,1.19,191856.93,3.25
1279460.8,21.69,1.19,191853.7,3.25
1279255.83,21.69,1.19,191796.3,3.25
1279050.85,21.69,1.2,191737.31,3.25
1279050.85,21.69,1.2,191734.17,3.25
1278845.88,21.69,1.2,191749.46,3.25
1278640.9,21.69,1.2,191755.84,3.25
1278640.9,21.69,1.2,191754.18,3.25
1278435.93,21.69,1.2,191769.47,3.25
1281616.02,21.75,1.25,194550.75,3.3
1281411.05,21.75,1.25,194550.75,3.3
1281411.05,21.75,1.25,194465.29,3.3
1281236.07,21.75,1.25,194387.47,3.3
1281236.07,21.75,1.25,194386.28,3.3
1281031.09,21.75,1.25,194386.28,3.3
1281265.52,21.75,1.26,194383.05,3.3
1281060.55,21.75,1.26,194325.65,3.3
1280855.57,21.75,1.26,194323.79,3.3
1280650.6,21.75,1.26,194321.94,3.3
1280650.6,21.75,1.26,194321.94,3.3
1280634.4,21.76,1.26,194321.94,3.3
1280634.4,21.76,1.26,194365.88,3.3
1280429.43,21.76,1.26,194362.65,3.3
1280582.66,21.76,1.27,194403.42,3.3
1279858.7,21.75,1.26,193637.0,3.29
1280093.13,21.76,1.26,193727.59,3.29
1280330.93,21.77,1.27,193588.92,3.29
1280330.93,21.77,1.27,193531.52,3.29
1280125.96,21.77,1.27,193474.12,3.29
1280109.76,21.77,1.27,193472.08,3.29
1280001.19,21.77,1.27,193286.78,3.29
1279984.99,21.77,1.27,193284.75,3.29
1279780.02,21.77,1.27,193281.52,3.29
1279994.62,21.78,1.28,193278.28,3.29
1280229.05,21.78,1.29,193276.53,3.29
1280024.07,21.78,1.29,193273.3,3.29
1279819.1,21.78,1.29,193273.3,3.29
1279614.12,21.78,1.29,193274.89,3.29
1279597.93,21.79,1.29,193272.85,3.29
1279812.52,21.79,1.3,193362.65,3.29
1280160.88,21.8,1.3,193305.26,3.29
1279955.91,21.8,1.3,193247.86,3.29
1279939.71,21.8,1.3,193342.1,3.29
1279734.74,21.8,1.31,193284.7,3.29
1280466.09,21.82,1.32,193262.73,3.29
1280589.32,21.82,1.32,193259.5,3.29
1280384.35,21.82,1.32,193259.5,3.29
1280618.78,21.83,1.33,193256.27,3.29
1280602.58,21.83,1.33,193350.51,3.3
1280763.99,21.83,1.33,194136.61,3.31
1280559.01,21.83,1.34,194136.61,3.31
1280354.04,21.83,1.34,194135.42,3.31
1280337.84,21.84,1.34,194135.42,3.31
1280132.87,21.84,1.34,194150.71,3.31
1280116.67,21.84,1.34,194148.67,3.31
1279911.69,21.84,1.34,194199.52,3.31
1280146.12,21.84,1.35,194197.77,3.31
1280129.93,21.85,1.35,194196.2,3.31
1280253.16,21.85,1.35,194450.8,3.32
1280253.16,21.85,1.35,194561.4,3.32
1280048.19,21.85,1.35,194561.4,3.32
1280031.99,21.85,1.36,194862.75,3.33
1280031.99,21.85,1.36,194861.18,3.33
1279827.01,21.86,1.36,194857.95,3.33
1279822.48,21.86,1.36,194374.36,3.32
1279822.48,21.86,1.36,194372.7,3.32
1279617.51,21.86,1.36,194387.99,3.32
1279412.53,21.86,1.36,194365.83,3.32
1279646.96,21.86,1.37,194364.26,3.32
1279646.96,21.86,1.37,194306.86,3.32
1279441.99,21.86,1.37,194322.15,3.32
1279237.01,21.86,1.37,194324.55,3.32
1279237.01,21.86,1.37,194324.55,3.32
1279032.03,21.86,1.37,194322.49,3.32
1278827.06,21.87,1.37,194378.75,3.32
1278827.06,21.87,1.37,194321.35,3.32
1279061.49,21.87,1.37,194411.95,3.32
1278856.51,21.87,1.37,194410.09,3.32
1279184.22,21.88,1.38,194506.37,3.33
1279168.03,21.88,1.38,194504.8,3.33
1279151.83,21.88,1.39,194599.03,3.33
1279386.26,21.89,1.39,194599.03,3.33
1279181.28,21.89,1.39,194541.64,3.33
1279415.71,21.9,1.4,194541.44,3.33
1279764.07,21.9,1.4,194538.21,3.33
1279998.5,21.91,1.41,194538.21,3.33
1280241.22,21.91,1.42,194606.42,3.33
1280036.25,21.91,1.42,194604.56,3.33
1280031.72,21.92,1.42,194120.97,3.32
1280015.52,21.92,1.42,194909.99,3.34
1280230.12,21.93,1.43,194852.6,3.34
1280353.35,21.93,1.43,195096.65,3.34
1280337.16,21.93,1.43,195078.7,3.34
1280132.18,21.93,1.44,195078.7,3.34
1280132.18,21.93,1.44,195077.04,3.34
1279927.21,21.93,1.44,195075.21,3.34
1279911.01,21.94,1.44,195073.17,3.34
1279706.03,21.94,1.44,195069.94,3.34
1280033.74,21.94,1.45,195390.55,3.35
1279828.77,21.94,1.45,195333.15,3.35
1280156.48,21.95,1.45,195275.75,3.35
1279951.5,21.95,1.45,195481.39,3.35
1279951.5,21.95,1.45,195478.22,3.35
1279746.52,21.95,1.45,195420.82,3.35
1279980.95,21.96,1.46,195419.07,3.35
1280104.19,21.96,1.46,195415.84,3.35
1280104.19,21.96,1.46,195414.18,3.35
1280104.19,21.96,1.46,195524.59,3.35
1280104.19,21.96,1.46,195524.84,3.35
1280104.19,21.96,1.46,195467.44,3.35
1279899.21,21.96,1.46,195464.21,3.35
1279883.02,21.96,1.47,195462.18,3.35
1279866.82,21.97,1.47,195462.18,3.35
1279661.85,21.97,1.47,195404.78,3.35
1279456.87,21.97,1.47,195406.36,3.35
1279456.87,21.97,1.47,197400.97,3.39
1279251.89,21.97,1.47,197400.97,3.39
1279486.32,21.97,1.48,197258.11,3.39
1279470.13,21.98,1.48,197256.07,3.39
