ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
238,798,709410,6212,709410
238,798,710060,6212,710060
238,798,710870,6212,710870
239,806,711870,6212,711870
239,806,712870,6212,712870
239,806,713340,6212,713340
240,808,713800,6212,713800
240,808,714800,6212,714800
240,808,715610,6212,715610
241,816,716610,6212,716610
241,816,716610,6212,716610
241,816,716610,6212,716610
241,816,717610,6212,717610
241,816,718420,6212,718420
241,816,719420,6212,719420
242,824,720420,6212,720420
242,824,721420,6212,721420
242,824,721890,6212,721890
242,824,722890,6212,722890
242,824,723890,6212,723890
243,832,724540,6212,724540
243,832,725540,6212,725540
243,832,726350,6212,726350
243,832,727350,6212,727350
243,832,727350,6212,727350
243,832,727350,6212,727350
243,832,727350,6212,727350
244,840,728160,6212,728160
244,840,728160,6212,728160
244,840,729160,6212,729160
244,840,730160,6212,730160
244,840,731160,6212,731160
245,848,731630,6212,731630
245,848,735630,6212,735630
245,848,736440,6212,736440
245,848,736910,6212,736910
245,848,737230,6212,737230
245,848,738040,6212,738040
245,848,738850,6212,738850
246,856,739660,6212,739660
246,856,740660,6212,740660
246,856,741660,6212,741660
246,856,742660,6212,742660
