ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
372514.63,6.37,0.75,294461.76,5.03
372359.4,6.37,0.75,294179.68,5.03
372292.74,6.37,0.75,294043.17,5.03
372226.07,6.37,0.75,293988.94,5.03
372226.07,6.37,0.75,293999.28,5.03
372159.4,6.37,0.75,293884.54,5.03
372092.74,6.37,0.75,293757.61,5.03
372026.07,6.37,0.75,293715.57,5.03
371959.4,6.37,0.75,293651.24,5.03
371892.74,6.37,0.75,293546.6,5.03
371826.07,6.37,0.75,293496.96,5.03
372179.68,6.37,0.76,293772.13,5.03
372179.68,6.37,0.76,293816.87,5.03
372113.02,6.37,0.76,293689.94,5.03
371812.67,6.37,0.75,293388.26,5.03
371452.39,6.36,0.75,293057.74,5.02
371566.04,6.37,0.75,292667.09,5.01
371410.81,6.36,0.75,292385.0,5.01
371410.81,6.36,0.75,292369.12,5.01
371410.81,6.36,0.75,292369.12,5.01
371344.14,6.36,0.75,292327.08,5.01
371277.47,6.36,0.75,292200.15,5.01
371210.81,6.36,0.75,292158.11,5.01
371144.14,6.36,0.75,292035.16,5.01
371077.47,6.36,0.75,291993.11,5.01
371010.81,6.36,0.75,291938.88,5.01
370944.14,6.36,0.75,291824.14,5.01
370944.14,6.36,0.75,291821.81,5.01
371261.58,6.37,0.76,291871.26,5.01
371194.91,6.37,0.76,292013.93,5.01
370894.56,6.37,0.75,291711.77,5.01
370827.89,6.36,0.75,291664.23,5.01
370941.54,6.37,0.75,291273.59,5.0
370786.32,6.37,0.75,290991.5,5.0
370719.65,6.37,0.75,290864.57,4.99
370652.98,6.37,0.75,290825.11,5.0
370652.98,6.37,0.75,290806.67,4.99
370652.98,6.37,0.75,290826.0,5.0
370586.32,6.37,0.75,290783.96,5.0
370537.19,6.37,0.75,290885.32,5.0
370452.98,6.37,0.75,290679.98,5.0
370252.63,6.36,0.75,290478.3,4.99
370366.28,6.37,0.75,290087.65,4.99
370719.89,6.37,0.76,290219.18,4.99
370749.33,6.37,0.76,290116.42,4.99
370682.67,6.37,0.76,290206.46,4.99
370682.67,6.37,0.76,290206.46,4.99
370616.0,6.37,0.76,290186.46,4.99
370549.33,6.37,0.76,290037.49,4.99
370248.98,6.37,0.75,289879.74,4.99
369888.7,6.36,0.75,289549.22,4.98
369682.07,6.36,0.75,289336.99,4.98
369999.51,6.37,0.75,289386.44,4.98
370113.16,6.37,0.75,288995.79,4.97
369955.26,6.37,0.75,288711.04,4.97
370068.91,6.37,0.76,288320.39,4.96
370422.53,6.38,0.76,288794.6,4.97
370062.25,6.37,0.76,288550.05,4.97
370415.86,6.38,0.76,288650.35,4.97
370260.63,6.38,0.76,288368.26,4.97
370374.28,6.38,0.76,287977.62,4.96
370030.18,6.37,0.76,287628.62,4.95
369874.95,6.37,0.76,287346.54,4.95
369674.6,6.37,0.75,287165.83,4.95
369607.93,6.37,0.75,287335.42,4.95
369871.61,6.37,0.76,287418.03,4.95
369716.95,6.37,0.76,287264.35,4.95
369356.67,6.37,0.75,286889.47,4.94
369290.0,6.37,0.75,286948.59,4.95
369223.33,6.37,0.75,286881.13,4.95
369578.25,6.37,0.76,287207.99,4.95
369691.89,6.37,0.76,286817.34,4.95
369625.23,6.37,0.76,286658.9,4.94
369558.56,6.37,0.76,286648.37,4.94
369403.33,6.37,0.76,286366.29,4.94
369336.67,6.37,0.76,286332.95,4.94
369690.28,6.38,0.77,286591.82,4.95
369690.28,6.38,0.77,286586.03,4.95
369330.0,6.37,0.76,286255.51,4.94
369593.68,6.38,0.77,286338.12,4.94
