ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
237,588,476760,6212,476760
237,588,477080,6212,477080
238,590,478080,6212,478080
238,590,479080,6212,479080
239,592,479730,6212,479730
239,592,480730,6212,480730
240,594,481200,6212,481200
240,594,482200,6212,482200
240,594,482200,6212,482200
241,596,483200,6212,483200
241,596,483670,6212,483670
241,596,484670,6212,484670
242,598,485670,6212,485670
242,598,486260,6212,486260
243,600,487070,6212,487070
243,600,488070,6212,488070
243,600,488390,6212,488390
244,602,489390,6212,489390
245,610,497390,6212,497390
245,610,498390,6212,498390
246,612,499390,6212,499390
246,612,499860,6212,499860
247,614,500860,6212,500860
247,614,501860,6212,501860
248,616,502860,6212,502860
248,616,503330,6212,503330
248,616,503800,6212,503800
248,616,504270,6212,504270
249,618,505080,6212,505080
249,618,505080,6212,505080
249,618,506080,6212,506080
250,620,506890,6212,506890
250,620,507890,6212,507890
251,622,508890,6212,508890
251,622,509050,6212,509050
251,622,509050,6212,509050
251,622,510050,6212,510050
252,624,510860,6212,510860
252,624,511230,6212,511230
252,624,512230,6212,512230
253,626,513230,6212,513230
253,626,514230,6212,514230
254,628,515040,6212,515040
254,628,516040,6212,516040
254,628,516040,6212,516040
255,630,517040,6212,517040
255,630,517850,6212,517850
256,632,518320,6212,518320
256,632,518790,6212,518790
256,632,519790,6212,519790
257,636,523790,6212,523790
258,638,524790,6212,524790
258,638,525790,6212,525790
258,638,526110,6212,526110
259,640,527110,6212,527110
259,640,527110,6212,527110
259,640,527920,6212,527920
260,642,528920,6212,528920
260,642,528920,6212,528920
260,642,529920,6212,529920
261,644,530920,6212,530920
262,646,532920,6212,532920
262,646,533920,6212,533920
262,646,533920,6212,533920
263,648,534920,6212,534920
264,650,536920,6212,536920
264,650,537920,6212,537920
265,652,538380,6212,538380
265,652,539190,6212,539190
266,654,540190,6212,540190
266,654,541190,6212,541190
267,656,542190,6212,542190
267,656,543190,6212,543190
268,658,544190,6212,544190
268,658,545190,6212,545190
269,660,546000,6212,546000
269,660,546000,6212,546000
269,660,547000,6212,547000
270,662,548000,6212,548000
270,662,549000,6212,549000
271,664,549810,6212,549810
271,664,550810,6212,550810
271,664,551130,6212,551130
272,666,551600,6212,551600
272,666,552600,6212,552600
272,666,552820,6212,552820
272,666,552820,6212,552820
273,668,553630,6212,553630
273,668,553630,6212,553630
274,676,561630,6212,561630
274,676,562440,6212,562440
275,678,563440,6212,563440
275,678,563440,6212,563440
275,678,564090,6212,564090
276,680,564900,6212,564900
276,680,564900,6212,564900
276,680,564900,6212,564900
276,680,565900,6212,565900
276,680,566220,6212,566220
277,682,566540,6212,566540
277,682,567130,6212,567130
277,682,568130,6212,568130
278,684,568780,6212,568780
278,684,569780,6212,569780
278,684,569780,6212,569780
279,686,570430,6212,570430
279,686,571430,6212,571430
280,688,572240,6212,572240
280,688,572240,6212,572240
280,688,572350,6212,572350
280,688,572350,6212,572350
280,688,572820,6212,572820
280,688,573140,6212,573140
280,688,573140,6212,573140
281,690,574140,6212,574140
281,690,574140,6212,574140
281,690,574790,6212,574790
282,692,575600,6212,575600
282,692,576600,6212,576600
282,692,577070,6212,577070
282,692,577070,6212,577070
283,694,577540,6212,577540
283,694,578540,6212,578540
284,696,580540,6212,580540
285,698,581540,6212,581540
285,698,581860,6212,581860
285,698,582860,6212,582860
285,698,583090,6212,583090
286,700,583740,6212,583740
286,700,583740,6212,583740
286,700,584740,6212,584740
287,702,585740,6212,585740
287,702,585960,6212,585960
287,702,585960,6212,585960
287,702,586960,6212,586960
288,704,587960,6212,587960
288,704,588960,6212,588960
289,706,589960,6212,589960
289,706,590960,6212,590960
289,706,590960,6212,590960
289,706,590960,6212,590960
290,708,591960,6212,591960
290,708,592960,6212,592960
290,708,593280,6212,593280
290,708,593280,6212,593280
291,710,593740,6212,593740
291,710,594740,6212,594740
292,712,595740,6212,595740
292,712,596550,6212,596550
293,714,597550,6212,597550
293,714,598550,6212,598550
294,716,599550,6212,599550
294,716,600550,6212,600550
295,718,601550,6212,601550
295,718,602550,6212,602550
296,720,603360,6212,603360
296,720,603360,6212,603360
296,720,603680,6212,603680
296,720,604680,6212,604680
296,720,604680,6212,604680
297,722,605680,6212,605680
297,722,606680,6212,606680
298,724,607680,6212,607680
298,724,608680,6212,608680
299,726,609680,6212,609680
299,726,610680,6212,610680
300,728,611680,6212,611680
300,728,612150,6212,612150
300,728,612610,6212,612610
301,730,613610,6212,613610
301,730,614420,6212,614420
301,730,614420,6212,614420
301,730,614420,6212,614420
302,732,615420,6212,615420
302,732,616420,6212,616420
303,734,617420,6212,617420
303,734,618420,6212,618420
304,736,619230,6212,619230
304,736,619700,6212,619700
304,736,620700,6212,620700
305,738,621510,6212,621510
305,738,622510,6212,622510
306,740,623510,6212,623510
307,742,625510,6212,625510
307,742,625980,6212,625980
308,744,626980,6212,626980
308,744,627980,6212,627980
308,744,627980,6212,627980
309,746,628630,6212,628630
309,746,629630,6212,629630
310,748,630630,6212,630630
310,748,631630,6212,631630
310,748,631630,6212,631630
311,750,632440,6212,632440
311,750,633440,6212,633440
312,752,634250,6212,634250
312,752,634570,6212,634570
312,752,635570,6212,635570
313,754,636570,6212,636570
313,754,637570,6212,637570
314,756,638570,6212,638570
314,756,639380,6212,639380
314,756,639380,6212,639380
315,758,640380,6212,640380
315,758,640970,6212,640970
316,760,641970,6212,641970
316,760,642970,6212,642970
316,760,643200,6212,643200
317,762,645200,6212,645200
318,764,645670,6212,645670
318,764,646670,6212,646670
319,766,647670,6212,647670
320,770,651670,6212,651670
320,770,652670,6212,652670
321,772,653670,6212,653670
321,772,654260,6212,654260
322,774,655070,6212,655070
322,774,656070,6212,656070
322,774,656070,6212,656070
322,774,656540,6212,656540
322,774,656540,6212,656540
323,776,657540,6212,657540
323,776,658540,6212,658540
324,778,659350,6212,659350
