ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
954810.27,16.16,2.56,216406.34,3.66
954613.65,16.16,2.56,216162.79,3.66
954397.84,16.16,2.56,216000.43,3.66
954397.84,16.16,2.56,216000.43,3.66
954674.31,16.16,2.57,216333.32,3.66
954674.31,16.16,2.57,216333.32,3.66
954484.63,16.16,2.56,216191.23,3.66
954756.67,16.16,2.57,216173.67,3.66
954808.36,16.17,2.57,216581.57,3.67
954808.36,16.17,2.57,216559.3,3.67
954860.05,16.17,2.57,216682.41,3.67
954911.74,16.17,2.58,216780.03,3.67
954911.74,16.17,2.58,216804.43,3.67
954775.78,16.17,2.58,216703.16,3.67
954433.36,16.17,2.57,216356.98,3.67
954702.19,16.18,2.58,216762.34,3.67
954566.23,16.18,2.58,216659.44,3.67
954221.44,16.17,2.58,216312.44,3.67
954221.44,16.17,2.58,216312.44,3.67
954273.13,16.17,2.58,216496.26,3.67
954273.13,16.17,2.58,216478.96,3.67
954137.17,16.17,2.58,216459.34,3.67
954320.89,16.18,2.58,216689.83,3.67
954372.58,16.18,2.59,216812.94,3.68
954641.4,16.19,2.59,217038.93,3.68
954693.1,16.19,2.6,217162.03,3.68
954348.31,16.19,2.59,216951.95,3.68
954212.35,16.19,2.59,216887.75,3.68
954076.39,16.19,2.59,216888.02,3.68
954128.08,16.19,2.6,216946.67,3.68
953992.12,16.19,2.6,216843.76,3.68
953856.16,16.19,2.6,216843.76,3.68
953720.2,16.19,2.6,216824.14,3.68
953992.24,16.2,2.6,217148.87,3.69
953992.24,16.2,2.6,217148.87,3.69
953856.28,16.2,2.6,217045.96,3.69
954125.1,16.21,2.61,217452.96,3.69
953836.3,16.2,2.61,217150.63,3.69
953700.34,16.2,2.61,217116.46,3.69
953564.38,16.2,2.61,217047.72,3.69
953428.42,16.2,2.61,216944.82,3.69
953428.42,16.2,2.61,216944.82,3.69
953096.69,16.2,2.6,216704.92,3.68
952960.73,16.2,2.6,216704.92,3.68
952824.77,16.2,2.6,216602.01,3.68
952825.53,16.2,2.6,216621.51,3.68
952689.57,16.2,2.6,216621.51,3.68
952689.57,16.2,2.6,216572.92,3.68
952741.26,16.2,2.61,216696.02,3.69
952977.03,16.21,2.61,216932.43,3.69
953028.72,16.21,2.62,217055.53,3.69
953080.41,16.21,2.62,217153.16,3.69
952944.45,16.21,2.62,217133.55,3.69
952654.78,16.21,2.61,216926.6,3.69
952518.82,16.21,2.61,216843.31,3.69
952518.82,16.21,2.61,216843.31,3.69
952518.82,16.21,2.61,216898.87,3.69
952382.86,16.21,2.62,216795.96,3.69
952246.9,16.21,2.62,216795.96,3.69
952110.94,16.21,2.62,216776.35,3.69
951832.94,16.21,2.61,216594.03,3.69
952104.98,16.21,2.62,216918.76,3.69
951969.02,16.22,2.62,216899.15,3.69
951833.06,16.22,2.62,216815.85,3.69
951697.1,16.22,2.62,216781.69,3.69
951748.79,16.22,2.62,216874.77,3.7
951800.48,16.22,2.63,216997.87,3.7
951802.08,16.22,2.63,216998.29,3.7
951457.3,16.22,2.62,216651.29,3.69
951321.34,16.22,2.62,216609.34,3.69
951031.66,16.21,2.62,216325.55,3.69
950895.7,16.21,2.62,216305.94,3.69
