ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
916572.56,15.49,1.9,162880.82,2.75
916436.58,15.49,1.9,162783.14,2.75
916300.6,15.49,1.9,162722.32,2.75
916186.26,15.49,1.9,162673.66,2.75
916039.47,15.49,1.9,162803.5,2.75
915892.67,15.49,1.9,162577.35,2.75
915756.69,15.5,1.9,162516.53,2.75
915620.72,15.5,1.9,162371.56,2.75
915495.56,15.5,1.9,162597.74,2.75
915807.24,15.5,1.9,162817.41,2.76
915703.71,15.5,1.91,162966.85,2.76
915703.71,15.5,1.91,162966.85,2.76
915735.13,15.51,1.91,163035.77,2.76
915735.13,15.51,1.91,163035.77,2.76
915960.73,15.51,1.92,163388.98,2.77
915824.75,15.51,1.92,163207.77,2.76
915824.75,15.51,1.92,163207.77,2.76
915127.35,15.5,1.91,162430.4,2.75
914927.52,15.5,1.9,162231.25,2.75
914813.17,15.5,1.9,162302.99,2.75
915216.99,15.51,1.91,162984.04,2.76
915241.88,15.51,1.91,163038.01,2.76
915241.88,15.51,1.91,163033.9,2.76
914853.4,15.51,1.91,162658.04,2.76
914717.42,15.51,1.91,162461.0,2.75
914210.02,15.5,1.9,161873.64,2.74
914210.02,15.5,1.9,161842.35,2.74
914074.05,15.5,1.9,162076.32,2.75
913856.79,15.5,1.9,161859.07,2.74
913720.82,15.5,1.9,161658.27,2.74
913773.52,15.5,1.9,161803.41,2.74
913637.54,15.5,1.9,161793.51,2.75
913941.71,15.51,1.91,162164.39,2.75
913994.41,15.51,1.91,162275.47,2.75
914047.12,15.51,1.92,162410.77,2.76
914237.57,15.52,1.92,162478.4,2.76
914101.59,15.52,1.92,162651.23,2.76
913895.16,15.52,1.92,162477.93,2.76
913759.18,15.52,1.92,162398.62,2.76
913623.21,15.52,1.92,162398.62,2.76
913487.23,15.52,1.92,162404.85,2.76
913351.25,15.52,1.92,162319.31,2.76
912981.1,15.51,1.91,161949.02,2.75
913277.12,15.52,1.92,162059.2,2.75
913141.15,15.52,1.92,162300.7,2.76
913005.17,15.52,1.92,162278.01,2.76
912869.19,15.52,1.92,162221.39,2.76
912733.21,15.52,1.92,162142.08,2.76
912436.78,15.52,1.92,161848.22,2.75
912300.81,15.52,1.92,161848.22,2.75
912353.51,15.52,1.92,161959.3,2.75
912406.21,15.52,1.92,162094.59,2.76
912270.23,15.52,1.92,162131.0,2.76
912134.26,15.52,1.93,162015.28,2.76
911998.28,15.52,1.93,162021.51,2.76
912050.98,15.53,1.93,162098.82,2.76
912103.68,15.53,1.93,162209.9,2.76
911967.7,15.53,1.93,162182.35,2.76
911595.71,15.52,1.93,161811.35,2.76
911459.73,15.52,1.93,161733.39,2.75
911459.73,15.52,1.93,161733.39,2.75
911459.73,15.52,1.93,161733.39,2.75
911323.75,15.53,1.93,161732.04,2.76
911323.75,15.53,1.93,161732.04,2.76
911187.77,15.53,1.93,161722.14,2.76
911187.77,15.53,1.93,161706.83,2.76
911240.48,15.53,1.93,161800.26,2.76
911104.5,15.53,1.93,161806.49,2.76
910898.07,15.53,1.93,161606.72,2.75
910762.09,15.53,1.93,161521.18,2.75
910814.79,15.53,1.93,161632.26,2.76
910867.49,15.53,1.93,161767.56,2.76
910867.49,15.53,1.93,161767.56,2.76
910731.52,15.53,1.93,161744.87,2.76
911093.21,15.54,1.94,162193.98,2.77
910957.23,15.54,1.94,162114.67,2.77
910821.25,15.54,1.94,162114.67,2.77
910821.25,15.54,1.94,162133.41,2.77
910501.25,15.54,1.94,161813.41,2.76
910365.28,15.54,1.94,161803.52,2.76
910229.3,15.54,1.94,161734.1,2.76
910229.3,15.54,1.94,161722.24,2.76
910093.32,15.54,1.94,161712.34,2.76
909957.34,15.54,1.94,161642.93,2.76
910010.05,15.54,1.94,161754.01,2.76
909874.07,15.54,1.94,161748.6,2.76
909874.07,15.54,1.94,161748.6,2.76
909738.09,15.54,1.94,161669.29,2.76
909602.11,15.54,1.94,161669.29,2.76
909466.14,15.54,1.94,161659.39,2.76
909147.22,15.54,1.94,161307.93,2.76
909011.24,15.54,1.94,161238.52,2.76
908875.26,15.54,1.94,161244.74,2.76
908927.96,15.54,1.94,161322.05,2.76
908980.66,15.54,1.95,161433.13,2.76
908844.69,15.54,1.95,161405.58,2.76
908844.69,15.54,1.95,161405.58,2.76
908844.69,15.54,1.95,161405.58,2.76
