ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
264,598,443760,6212,443760
265,600,444760,6212,444760
265,600,445760,6212,445760
265,600,445760,6212,445760
266,602,446760,6212,446760
266,602,447760,6212,447760
266,602,448080,6212,448080
266,602,449080,6212,449080
267,610,449310,6212,449310
268,612,450120,6212,450120
268,612,451120,6212,451120
269,614,451930,6212,451930
269,614,452930,6212,452930
270,618,453160,6212,453160
271,620,453810,6212,453810
271,620,453810,6212,453810
271,620,454130,6212,454130
271,620,455130,6212,455130
271,620,455130,6212,455130
272,622,456130,6212,456130
272,622,457130,6212,457130
273,624,458130,6212,458130
273,624,458940,6212,458940
273,624,459260,6212,459260
274,626,460260,6212,460260
274,626,461070,6212,461070
275,628,462070,6212,462070
275,628,463070,6212,463070
276,630,464070,6212,464070
276,630,464540,6212,464540
276,630,465540,6212,465540
276,630,466540,6212,466540
276,630,467190,6212,467190
276,630,468000,6212,468000
277,632,469000,6212,469000
277,632,470000,6212,470000
278,634,470810,6212,470810
278,634,470810,6212,470810
278,634,470810,6212,470810
278,634,471810,6212,471810
278,634,471860,6212,471860
279,636,472860,6212,472860
279,636,473860,6212,473860
280,638,474670,6212,474670
280,638,475480,6212,475480
281,640,476480,6212,476480
281,640,477480,6212,477480
282,642,478290,6212,478290
282,642,479100,6212,479100
282,642,479570,6212,479570
282,642,479570,6212,479570
283,644,480570,6212,480570
283,644,480800,6212,480800
284,646,481800,6212,481800
284,646,482800,6212,482800
285,648,483800,6212,483800
285,648,483800,6212,483800
285,648,484120,6212,484120
285,648,485120,6212,485120
286,650,486120,6212,486120
286,650,486710,6212,486710
287,652,487520,6212,487520
287,652,487840,6212,487840
287,652,488840,6212,488840
288,654,489840,6212,489840
288,654,490840,6212,490840
288,654,491160,6212,491160
288,654,492160,6212,492160
289,656,492970,6212,492970
289,656,493970,6212,493970
290,658,494970,6212,494970
290,658,495780,6212,495780
291,660,496780,6212,496780
291,660,497250,6212,497250
292,662,498060,6212,498060
292,662,498870,6212,498870
292,662,498870,6212,498870
293,664,499520,6212,499520
293,664,500520,6212,500520
293,664,500520,6212,500520
294,666,501110,6212,501110
294,666,502110,6212,502110
294,666,502580,6212,502580
295,668,503580,6212,503580
295,668,504580,6212,504580
296,670,505580,6212,505580
296,670,506390,6212,506390
297,672,507390,6212,507390
297,672,507500,6212,507500
297,672,508310,6212,508310
298,674,509310,6212,509310
298,674,510310,6212,510310
299,676,511310,6212,511310
300,680,515310,6212,515310
300,680,516310,6212,516310
301,682,517120,6212,517120
301,682,517120,6212,517120
301,682,518120,6212,518120
302,684,519120,6212,519120
302,684,519340,6212,519340
302,684,520150,6212,520150
303,686,521150,6212,521150
303,686,522150,6212,522150
304,688,522620,6212,522620
304,688,523620,6212,523620
305,690,524620,6212,524620
305,690,525620,6212,525620
306,698,525850,6212,525850
