ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
147,584,502410,6212,502410
148,592,503410,6212,503410
148,592,504410,6212,504410
148,592,504880,6212,504880
148,592,505350,6212,505350
148,592,505820,6212,505820
149,596,506820,6212,506820
150,600,507630,6212,507630
150,600,508630,6212,508630
151,608,509630,6212,509630
151,608,509950,6212,509950
151,608,510760,6212,510760
152,610,511080,6212,511080
152,610,511550,6212,511550
152,610,512360,6212,512360
152,610,512830,6212,512830
152,610,513830,6212,513830
152,610,514300,6212,514300
152,610,514300,6212,514300
152,610,514620,6212,514620
152,610,515620,6212,515620
152,610,516620,6212,516620
152,610,517430,6212,517430
152,610,518430,6212,518430
153,612,518900,6212,518900
153,612,519220,6212,519220
153,612,519690,6212,519690
153,612,520500,6212,520500
154,614,520970,6212,520970
155,622,521970,6212,521970
155,622,522970,6212,522970
155,622,523970,6212,523970
155,622,523970,6212,523970
155,622,524620,6212,524620
155,622,525620,6212,525620
155,622,526430,6212,526430
155,622,526430,6212,526430
155,622,527240,6212,527240
155,622,528240,6212,528240
156,630,529240,6212,529240
156,630,529710,6212,529710
156,630,529710,6212,529710
156,630,529710,6212,529710
156,630,530710,6212,530710
157,638,531710,6212,531710
157,638,532710,6212,532710
157,638,533710,6212,533710
157,638,534710,6212,534710
157,638,535030,6212,535030
157,638,536030,6212,536030
157,638,537030,6212,537030
157,638,537030,6212,537030
158,646,537030,6212,537030
159,650,538030,6212,538030
159,650,539030,6212,539030
159,650,539500,6212,539500
159,650,540500,6212,540500
160,658,540500,6212,540500
161,662,541150,6212,541150
162,670,542150,6212,542150
162,670,542620,6212,542620
162,670,542620,6212,542620
162,670,542730,6212,542730
162,670,543200,6212,543200
162,670,544200,6212,544200
162,670,544200,6212,544200
162,670,545200,6212,545200
163,672,546200,6212,546200
163,672,547200,6212,547200
164,676,548200,6212,548200
165,678,549200,6212,549200
165,678,550200,6212,550200
166,682,551200,6212,551200
167,684,551430,6212,551430
167,684,552430,6212,552430
168,692,553430,6212,553430
168,692,554240,6212,554240
168,692,555240,6212,555240
168,692,556240,6212,556240
168,692,556700,6212,556700
168,692,557700,6212,557700
168,692,558160,6212,558160
168,692,559160,6212,559160
168,692,559970,6212,559970
169,700,559970,6212,559970
169,700,560970,6212,560970
169,700,561970,6212,561970
169,700,562970,6212,562970
170,704,563780,6212,563780
170,704,564370,6212,564370
170,704,564840,6212,564840
170,704,565840,6212,565840
171,712,569840,6212,569840
171,712,569840,6212,569840
171,712,570310,6212,570310
171,712,570310,6212,570310
171,712,570630,6212,570630
171,712,571440,6212,571440
171,712,572440,6212,572440
171,712,573440,6212,573440
171,712,573440,6212,573440
171,712,574440,6212,574440
171,712,574670,6212,574670
172,720,575670,6212,575670
172,720,576670,6212,576670
172,720,577670,6212,577670
172,720,577670,6212,577670
172,720,578670,6212,578670
172,720,579140,6212,579140
172,720,579790,6212,579790
172,720,580790,6212,580790
172,720,581790,6212,581790
172,720,581790,6212,581790
172,720,582790,6212,582790
172,720,583260,6212,583260
172,720,583580,6212,583580
172,720,584390,6212,584390
172,720,585200,6212,585200
172,720,585670,6212,585670
172,720,586670,6212,586670
172,720,586670,6212,586670
172,720,587670,6212,587670
173,724,588670,6212,588670
173,724,589670,6212,589670
173,724,590670,6212,590670
173,724,590890,6212,590890
173,724,591890,6212,591890
174,726,592890,6212,592890
174,726,593890,6212,593890
174,726,594700,6212,594700
174,726,594700,6212,594700
174,726,595160,6212,595160
175,728,595380,6212,595380
175,728,596380,6212,596380
175,728,597380,6212,597380
175,728,597850,6212,597850
176,730,598850,6212,598850
176,730,599850,6212,599850
176,730,600850,6212,600850
177,738,608850,6212,608850
177,738,609170,6212,609170
177,738,609720,6212,609720
177,738,610720,6212,610720
177,738,610720,6212,610720
177,738,611720,6212,611720
177,738,612530,6212,612530
177,738,613000,6212,613000
178,740,613810,6212,613810
178,740,614810,6212,614810
178,740,615030,6212,615030
179,744,616030,6212,616030
180,752,616500,6212,616500
180,752,617310,6212,617310
180,752,618310,6212,618310
180,752,619120,6212,619120
180,752,619440,6212,619440
181,760,619440,6212,619440
181,760,620250,6212,620250
182,762,621060,6212,621060
182,762,621060,6212,621060
182,762,621060,6212,621060
182,762,621870,6212,621870
182,762,622870,6212,622870
182,762,623680,6212,623680
182,762,624000,6212,624000
182,762,624810,6212,624810
183,770,625810,6212,625810
183,770,626620,6212,626620
183,770,627620,6212,627620
184,772,628620,6212,628620
185,774,628940,6212,628940
185,774,629940,6212,629940
185,774,630400,6212,630400
185,774,631400,6212,631400
185,774,632210,6212,632210
185,774,633210,6212,633210
185,774,634210,6212,634210
185,774,635210,6212,635210
185,774,635210,6212,635210
185,774,636020,6212,636020
185,774,637020,6212,637020
185,774,637020,6212,637020
