ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
343,850,636190,6212,643450
343,850,636410,6212,643670
343,850,637410,6212,644670
343,850,637870,6212,645130
344,852,638680,6212,645940
344,852,639680,6212,646940
344,852,640680,6212,647940
344,852,641680,6212,648940
344,852,642680,6212,649940
344,852,643680,6212,650940
344,852,644680,6212,651940
344,852,644680,6212,651940
344,852,644680,6212,651940
345,860,645680,6212,652940
346,862,646680,6212,653940
346,862,647680,6212,654940
347,870,648680,6212,655940
348,872,649680,6212,656940
348,872,649680,6212,656940
348,872,649680,6212,656940
348,872,650680,6212,657940
349,874,651490,6212,658750
349,874,652490,6212,659750
350,876,653300,6212,660560
350,876,653300,6212,660560
350,876,654300,6212,661560
351,878,655300,6212,662560
351,878,656300,6212,663560
352,880,657300,6212,664560
352,880,657300,6212,664560
352,880,658300,6212,665560
352,880,659110,6212,666370
353,882,660110,6212,667370
353,882,661110,6212,668370
353,882,662110,6212,669370
354,884,663110,6212,670370
354,884,664110,6212,671370
355,886,664760,6212,672020
355,886,665760,6212,673020
356,888,666760,6212,674020
356,888,667760,6212,675020
356,888,667760,6212,675830
357,890,668760,6212,676830
357,890,669080,6212,677150
357,890,670080,6212,678150
358,892,671080,6212,679150
358,892,672080,6212,680150
358,892,672080,6212,680150
359,894,673080,6212,681150
359,894,674080,6212,682150
360,896,675080,6212,683150
360,896,676080,6212,684150
361,898,677080,6212,685150
361,898,677890,6212,685960
361,898,677890,6212,685960
361,898,677890,6212,685960
361,898,678890,6212,686960
361,898,679540,6212,687610
362,900,680540,6212,688610
362,900,681540,6212,689610
