ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
2172180.22,36.21,1.01,169892.5,2.83
2171810.45,36.21,1.01,169858.48,2.83
2171233.92,36.21,1.0,169279.08,2.82
2170869.06,36.21,1.0,169223.34,2.82
2170855.38,36.21,1.01,169042.37,2.82
2171064.46,36.22,1.02,169148.7,2.82
2170477.23,36.22,1.01,168626.0,2.81
2170407.08,36.22,1.01,168648.64,2.81
2170350.38,36.22,1.02,168746.0,2.82
2170307.02,36.23,1.02,168528.63,2.81
2170293.34,36.23,1.03,168347.66,2.81
2170293.34,36.23,1.03,168347.66,2.81
2170265.33,36.24,1.03,168148.49,2.81
2170584.39,36.25,1.04,168289.65,2.81
2170584.39,36.25,1.04,168289.65,2.81
2170219.52,36.25,1.04,168286.3,2.81
2169543.99,36.25,1.04,168376.87,2.81
2169536.76,36.25,1.05,168434.17,2.81
2170059.53,36.26,1.06,168789.48,2.82
2169814.7,36.26,1.06,168823.08,2.82
2169241.79,36.26,1.05,168318.58,2.81
2168996.95,36.26,1.05,168269.43,2.81
2168752.11,36.26,1.05,168266.08,2.81
2168507.28,36.26,1.05,168216.98,2.81
2167948.48,36.26,1.05,167729.01,2.81
2167948.48,36.26,1.05,167729.01,2.81
2167378.5,36.26,1.04,167234.17,2.8
2166795.17,36.25,1.04,166652.24,2.79
2166725.03,36.25,1.04,166674.89,2.79
2165877.58,36.24,1.03,165894.31,2.78
2165877.58,36.24,1.03,165894.31,2.78
2165877.58,36.24,1.03,165894.31,2.78
2165503.49,36.24,1.03,165533.83,2.77
2165017.7,36.24,1.02,164918.44,2.76
2165017.7,36.24,1.02,164918.44,2.76
2164341.91,36.23,1.02,164113.05,2.75
2164505.52,36.23,1.02,164473.64,2.75
2164260.68,36.24,1.02,164470.24,2.75
2163890.91,36.24,1.02,164451.41,2.75
2164527.46,36.25,1.04,164755.49,2.76
2164527.46,36.25,1.04,164755.49,2.76
2164232.84,36.25,1.04,164545.42,2.76
2164422.1,36.26,1.04,164602.34,2.76
2164058.91,36.26,1.04,164656.65,2.76
2164058.91,36.26,1.04,164656.65,2.76
2164630.18,36.27,1.06,165073.7,2.77
2164144.39,36.27,1.05,164458.31,2.76
2161213.05,36.27,1.05,164414.5,2.76
2161041.91,36.27,1.06,165239.79,2.77
2160797.07,36.27,1.06,165550.86,2.78
2160625.93,36.27,1.06,166376.14,2.79
2161611.72,36.29,1.08,167029.18,2.8
2161241.94,36.29,1.08,167166.82,2.81
2160867.85,36.29,1.08,166806.33,2.8
2160192.06,36.29,1.07,166000.94,2.79
