ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
388,1040,908590,6212,908590
388,1040,908590,6212,908590
388,1040,908590,6212,908590
389,1042,909590,6212,909590
389,1042,910060,6212,910060
390,1044,911060,6212,911060
390,1044,911530,6212,911530
390,1044,912000,6212,912000
391,1046,913000,6212,913000
391,1046,914000,6212,914000
392,1048,915000,6212,915000
392,1048,916000,6212,916000
393,1050,917000,6212,917000
393,1050,918000,6212,918000
393,1050,918000,6212,918000
394,1052,919000,6212,919000
394,1052,919590,6212,919590
395,1054,920400,6212,920400
396,1062,928400,6212,928400
396,1062,929400,6212,929400
397,1066,933400,6212,933400
397,1066,933400,6212,933400
398,1068,934050,6212,934050
398,1068,934700,6212,934700
399,1070,935700,6212,935700
399,1070,936700,6212,936700
400,1072,937700,6212,937700
401,1080,945700,6212,945700
402,1084,949700,6212,949700
402,1084,949920,6212,949920
402,1084,950140,6212,950140
402,1084,951140,6212,951140
403,1092,959140,6212,959140
403,1092,959140,6212,959140
404,1094,959610,6212,959610
404,1094,960610,6212,960610
405,1102,968610,6212,968610
406,1106,972610,6212,972610
407,1108,973610,6212,973610
407,1108,974420,6212,974420
407,1108,974420,6212,974420
408,1110,975420,6212,975420
408,1110,975420,6212,975420
408,1110,975890,6212,975890
408,1110,976350,6212,976350
409,1118,984350,6212,984350
410,1120,985350,6212,985350
410,1120,985350,6212,985350
410,1120,985820,6212,985820
410,1120,986820,6212,986820
410,1120,987820,6212,987820
411,1122,988470,6212,988470
411,1122,988790,6212,988790
411,1122,989790,6212,989790
412,1124,990600,6212,990600
412,1124,991600,6212,991600
413,1126,992600,6212,992600
413,1126,993600,6212,993600
414,1128,994410,6212,994410
414,1128,995410,6212,995410
415,1130,996410,6212,996410
416,1134,1000410,6212,1000410
416,1134,1001220,6212,1001220
