ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
1130011.76,19.09,0.49,201922.24,3.41
1129844.73,19.09,0.49,201844.8,3.41
1129677.7,19.09,0.49,201840.62,3.41
1129912.15,19.09,0.5,203940.05,3.45
1129729.36,19.09,0.5,203236.87,3.43
1129633.35,19.09,0.5,203192.99,3.43
1129792.6,19.1,0.5,203192.78,3.43
1129594.33,19.1,0.5,203165.92,3.43
1129396.06,19.1,0.5,203242.1,3.44
1129197.79,19.1,0.5,203187.22,3.44
1129015.01,19.1,0.5,202557.35,3.43
1128731.02,19.1,0.5,202252.19,3.42
1128532.75,19.1,0.5,202217.28,3.42
1128349.97,19.1,0.5,201587.41,3.41
1128065.99,19.09,0.5,201282.25,3.41
1127749.82,19.09,0.5,201756.76,3.42
1127582.78,19.09,0.5,201679.27,3.41
1127582.78,19.09,0.5,201678.19,3.41
1127384.51,19.09,0.5,202365.65,3.43
1127384.51,19.09,0.5,202365.65,3.43
1127223.81,19.09,0.5,201901.72,3.42
1127012.5,19.09,0.5,202009.05,3.42
1127012.5,19.09,0.5,202007.98,3.42
1126829.72,19.09,0.5,201378.11,3.41
1126625.59,19.09,0.5,201166.81,3.41
1126466.04,19.09,0.5,201171.75,3.41
1126273.45,19.09,0.5,201134.41,3.41
1126273.45,19.09,0.5,201752.72,3.42
1126273.45,19.09,0.5,201862.54,3.42
1126493.78,19.09,0.5,202075.76,3.43
1126301.19,19.09,0.5,201542.83,3.42
1126300.31,19.1,0.5,201426.77,3.42
1126300.31,19.1,0.5,201426.77,3.42
1126092.62,19.1,0.5,201912.3,3.42
1125908.31,19.09,0.5,201713.92,3.42
1125725.52,19.09,0.5,201010.74,3.41
1125629.51,19.09,0.5,200966.86,3.41
1125462.48,19.1,0.5,200962.73,3.41
1125743.81,19.1,0.51,200959.39,3.41
1125739.18,19.1,0.51,200933.75,3.41
1125734.56,19.11,0.51,200927.11,3.41
1125866.44,19.11,0.52,200991.73,3.41
1125673.85,19.11,0.52,200953.06,3.41
1125469.13,19.11,0.52,200919.35,3.41
1125302.1,19.11,0.52,200841.91,3.41
1125132.1,19.11,0.52,200633.77,3.41
1124939.5,19.11,0.52,201374.39,3.42
1124772.47,19.11,0.52,201370.2,3.42
1124401.59,19.1,0.51,201007.28,3.42
1124640.35,19.11,0.52,201840.84,3.43
1124473.32,19.11,0.52,201763.35,3.43
1124306.28,19.11,0.52,201759.22,3.43
1124139.25,19.11,0.52,201757.21,3.43
1123972.22,19.11,0.52,201677.59,3.43
1123687.91,19.11,0.51,201380.53,3.42
1123520.87,19.11,0.51,201371.59,3.42
1123501.14,19.11,0.52,200738.92,3.41
1123522.08,19.11,0.52,200827.69,3.42
1123355.04,19.11,0.52,200750.2,3.42
1123171.88,19.11,0.52,200435.87,3.41
1122969.86,19.11,0.52,200923.23,3.42
1122959.56,19.12,0.52,200383.36,3.41
1122949.25,19.12,0.52,200166.86,3.41
1122782.22,19.12,0.52,200162.72,3.41
1122410.87,19.11,0.52,199740.27,3.4
1122228.09,19.11,0.52,199037.09,3.39
1122228.09,19.11,0.52,199037.09,3.39
1122228.09,19.11,0.52,199037.09,3.39
1121944.11,19.11,0.52,198805.25,3.39
1121944.11,19.11,0.52,198830.41,3.39
1121777.08,19.11,0.52,198821.47,3.39
1121777.08,19.11,0.52,198798.7,3.39
1121776.19,19.12,0.52,198682.65,3.39
1121609.16,19.12,0.52,198609.97,3.39
1121410.91,19.11,0.52,198463.54,3.38
1121203.22,19.11,0.52,198950.89,3.39
1121192.91,19.12,0.52,198411.02,3.38
1121182.61,19.12,0.52,198194.53,3.38
1121182.61,19.12,0.52,198194.53,3.38
1121015.57,19.12,0.52,198117.38,3.38
1121331.68,19.13,0.53,198135.86,3.38
1121164.65,19.13,0.53,198131.38,3.38
1120997.62,19.13,0.53,198054.24,3.38
1120997.62,19.13,0.53,198054.24,3.38
1120703.14,19.12,0.53,198967.65,3.39
1120536.11,19.12,0.53,198963.17,3.4
1120369.08,19.12,0.53,198885.67,3.39
1120369.08,19.12,0.53,198885.67,3.39
1120202.05,19.12,0.53,198881.54,3.4
1119967.49,19.12,0.53,198458.87,3.39
1119966.6,19.13,0.53,198342.81,3.39
1119758.91,19.13,0.53,198829.93,3.4
1119758.91,19.13,0.53,198852.21,3.4
1119591.88,19.13,0.53,198774.91,3.4
1119424.84,19.13,0.53,198770.58,3.4
1119242.06,19.13,0.53,198140.71,3.39
1119480.82,19.13,0.53,198231.81,3.39
1119196.84,19.13,0.53,197926.65,3.38
1119029.81,19.13,0.53,197924.64,3.38
1119025.18,19.13,0.53,198225.4,3.39
1119014.88,19.14,0.54,197685.53,3.38
1118847.84,19.14,0.54,197605.91,3.38
1118847.84,19.14,0.54,197604.83,3.38
1118847.84,19.14,0.54,197589.67,3.38
1118680.81,19.14,0.54,197587.66,3.38
1118525.67,19.13,0.54,197458.25,3.38
