ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
277,754,593520,6212,593520
278,762,601520,6212,601520
278,762,601520,6212,601520
279,766,605520,6212,605520
280,768,606520,6212,606520
280,768,607520,6212,607520
281,770,608520,6212,608520
281,770,609520,6212,609520
282,772,610330,6212,610330
283,776,614330,6212,614330
283,776,615140,6212,615140
284,778,616140,6212,616140
284,778,616460,6212,616460
284,778,617460,6212,617460
285,780,618460,6212,618460
285,780,619460,6212,619460
286,782,620460,6212,620460
286,782,621460,6212,621460
287,784,622460,6212,622460
287,784,623460,6212,623460
288,786,624460,6212,624460
288,786,624460,6212,624460
288,786,625460,6212,625460
289,788,626460,6212,626460
289,788,627270,6212,627270
290,790,628270,6212,628270
290,790,629270,6212,629270
290,790,629270,6212,629270
290,790,629270,6212,629270
291,792,630270,6212,630270
291,792,630590,6212,630590
291,792,630590,6212,630590
291,792,631400,6212,631400
292,794,631770,6212,631770
292,794,632770,6212,632770
293,796,633770,6212,633770
293,796,633770,6212,633770
293,796,634420,6212,634420
294,798,635420,6212,635420
294,798,636420,6212,636420
295,800,637420,6212,637420
295,800,638420,6212,638420
296,802,639420,6212,639420
296,802,640420,6212,640420
296,802,640420,6212,640420
297,804,641420,6212,641420
297,804,642420,6212,642420
298,806,643420,6212,643420
298,806,644420,6212,644420
298,806,644420,6212,644420
299,814,652420,6212,652420
300,816,653420,6212,653420
300,816,654420,6212,654420
301,818,655070,6212,655070
301,818,655390,6212,655390
301,818,656200,6212,656200
302,820,657200,6212,657200
302,820,657670,6212,657670
303,822,658670,6212,658670
303,822,659670,6212,659670
304,824,660670,6212,660670
304,824,661670,6212,661670
304,824,661670,6212,661670
305,826,662260,6212,662260
305,826,663260,6212,663260
306,828,664260,6212,664260
306,828,665260,6212,665260
307,830,666260,6212,666260
307,830,666910,6212,666910
308,832,667910,6212,667910
308,832,668910,6212,668910
309,834,669910,6212,669910
309,834,669910,6212,669910
309,834,670910,6212,670910
309,834,671370,6212,671370
310,836,672370,6212,672370
310,836,673370,6212,673370
311,838,673840,6212,673840
311,838,674650,6212,674650
312,840,675650,6212,675650
312,840,675650,6212,675650
312,840,676650,6212,676650
313,842,677650,6212,677650
313,842,677970,6212,677970
313,842,678290,6212,678290
313,842,679290,6212,679290
314,844,680100,6212,680100
314,844,681100,6212,681100
315,846,682100,6212,682100
315,846,683100,6212,683100
315,846,683570,6212,683570
316,848,684570,6212,684570
316,848,685570,6212,685570
316,848,685570,6212,685570
317,850,686570,6212,686570
317,850,687380,6212,687380
318,852,688380,6212,688380
318,852,689030,6212,689030
319,854,690030,6212,690030
319,854,691030,6212,691030
319,854,691350,6212,691350
320,862,699350,6212,699350
321,866,703350,6212,703350
322,868,704160,6212,704160
322,868,705160,6212,705160
323,870,706160,6212,706160
324,878,714160,6212,714160
325,886,722160,6212,722160
325,886,722970,6212,722970
326,888,723780,6212,723780
327,896,731780,6212,731780
327,896,732590,6212,732590
328,898,733590,6212,733590
328,898,734180,6212,734180
329,900,735180,6212,735180
329,900,735500,6212,735500
329,900,736150,6212,736150
330,902,736700,6212,736700
330,902,737020,6212,737020
330,902,737020,6212,737020
330,902,737020,6212,737020
330,902,737490,6212,737490
330,902,737490,6212,737490
331,904,738300,6212,738300
332,906,740300,6212,740300
332,906,741300,6212,741300
332,906,741770,6212,741770
333,908,742240,6212,742240
333,908,742710,6212,742710
333,908,743520,6212,743520
334,910,744520,6212,744520
334,910,745520,6212,745520
334,910,745520,6212,745520
335,912,746520,6212,746520
336,920,754520,6212,754520
336,920,755330,6212,755330
337,922,756140,6212,756140
337,922,757140,6212,757140
338,924,758140,6212,758140
338,924,758730,6212,758730
338,924,758730,6212,758730
339,926,759540,6212,759540
339,926,759540,6212,759540
340,934,767540,6212,767540
340,934,768190,6212,768190
341,936,769190,6212,769190
341,936,769510,6212,769510
341,936,770510,6212,770510
342,938,770970,6212,770970
342,938,771970,6212,771970
342,938,772440,6212,772440
343,940,772910,6212,772910
343,940,772910,6212,772910
344,942,774910,6212,774910
344,942,775140,6212,775140
344,942,776140,6212,776140
345,944,777140,6212,777140
345,944,777950,6212,777950
346,946,778760,6212,778760
346,946,779130,6212,779130
346,946,780130,6212,780130
346,946,780130,6212,780130
347,948,780940,6212,780940
347,948,781940,6212,781940
348,950,782940,6212,782940
348,950,783750,6212,783750
348,950,784220,6212,784220
349,952,785220,6212,785220
349,952,785690,6212,785690
350,960,793690,6212,793690
351,962,794500,6212,794500
351,962,795500,6212,795500
351,962,795500,6212,795500
352,964,796500,6212,796500
352,964,796500,6212,796500
352,964,796730,6212,796730
352,964,796730,6212,796730
352,964,797730,6212,797730
353,966,798540,6212,798540
353,966,799540,6212,799540
354,968,800190,6212,800190
354,968,801000,6212,801000
355,970,801810,6212,801810
355,970,802810,6212,802810
356,972,803810,6212,803810
356,972,803810,6212,803810
356,972,803810,6212,803810
357,980,811810,6212,811810
357,980,812130,6212,812130
357,980,812450,6212,812450
357,980,812770,6212,812770
357,980,813090,6212,813090
357,980,813900,6212,813900
358,982,814370,6212,814370
358,982,815370,6212,815370
359,986,819370,6212,819370
360,988,820370,6212,820370
360,988,821370,6212,821370
361,990,822370,6212,822370
361,990,822920,6212,822920
362,992,823570,6212,823570
362,992,823890,6212,823890
362,992,824890,6212,824890
363,994,825890,6212,825890
363,994,826890,6212,826890
364,996,827890,6212,827890
364,996,827890,6212,827890
364,996,828700,6212,828700
364,996,829170,6212,829170
364,996,829170,6212,829170
364,996,829400,6212,829400
365,998,830400,6212,830400
365,998,831400,6212,831400
365,998,831630,6212,831630
366,1000,832630,6212,832630
367,1008,840630,6212,840630
367,1008,840630,6212,840630
367,1008,841000,6212,841000
367,1008,842000,6212,842000
367,1008,842000,6212,842000
368,1010,843000,6212,843000
368,1010,844000,6212,844000
369,1012,844470,6212,844470
369,1012,844940,6212,844940
369,1012,845750,6212,845750
370,1014,846560,6212,846560
370,1014,847560,6212,847560
371,1016,848560,6212,848560
