ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
934671.28,15.77,3.08,572351.63,9.66
934644.67,15.78,3.08,572282.28,9.66
934901.89,15.78,3.09,572036.85,9.66
934732.9,15.78,3.09,571836.44,9.65
934539.39,15.78,3.09,571766.93,9.66
934539.39,15.78,3.09,571766.93,9.66
934013.02,15.77,3.08,571246.27,9.65
934013.02,15.77,3.08,571246.27,9.65
934004.63,15.78,3.08,570722.58,9.64
933843.57,15.77,3.08,571914.09,9.66
933843.57,15.77,3.08,571914.09,9.66
933316.03,15.77,3.08,571332.38,9.65
936606.89,15.82,3.13,574030.45,9.7
935591.51,15.83,3.14,573546.97,9.7
934923.72,15.83,3.14,572941.51,9.7
934220.59,15.82,3.13,572238.38,9.69
937511.46,15.87,3.18,574936.45,9.73
938038.72,15.88,3.19,575110.84,9.74
937676.22,15.88,3.19,574840.92,9.74
937676.22,15.88,3.19,574840.92,9.74
937148.67,15.88,3.18,574259.21,9.73
936979.68,15.88,3.18,574131.94,9.73
936979.68,15.88,3.18,574131.94,9.73
936786.17,15.88,3.18,573989.28,9.73
936786.17,15.88,3.18,573989.28,9.73
936617.18,15.88,3.18,573785.94,9.73
936751.67,15.88,3.19,574044.53,9.73
936582.68,15.88,3.19,573848.61,9.73
936389.17,15.88,3.19,573774.6,9.73
936220.18,15.88,3.19,573663.25,9.73
935922.18,15.88,3.18,573368.08,9.73
