ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
236,530,411020,6212,411020
236,530,412020,6212,412020
237,532,413020,6212,413020
237,532,413240,6212,413240
237,532,413240,6212,413240
238,534,414240,6212,414240
239,542,422240,6212,422240
239,542,423240,6212,423240
239,542,424050,6212,424050
239,542,424050,6212,424050
240,544,425050,6212,425050
240,544,426050,6212,426050
241,546,426270,6212,426270
241,546,426920,6212,426920
241,546,427920,6212,427920
242,548,428920,6212,428920
242,548,429920,6212,429920
243,550,430570,6212,430570
243,550,431380,6212,431380
244,552,432380,6212,432380
244,552,433030,6212,433030
245,554,433500,6212,433500
245,554,433500,6212,433500
245,554,434310,6212,434310
245,554,434780,6212,434780
246,556,435250,6212,435250
247,558,435720,6212,435720
247,558,436190,6212,436190
247,558,437000,6212,437000
248,560,438000,6212,438000
248,560,438320,6212,438320
249,562,439320,6212,439320
249,562,440130,6212,440130
250,564,440600,6212,440600
250,564,441600,6212,441600
250,564,441920,6212,441920
250,564,442730,6212,442730
250,564,442890,6212,442890
251,566,443890,6212,443890
251,566,444540,6212,444540
251,566,444540,6212,444540
252,568,445540,6212,445540
252,568,446010,6212,446010
252,568,447010,6212,447010
252,568,447330,6212,447330
253,570,448330,6212,448330
253,570,449330,6212,449330
254,572,449700,6212,449700
254,572,450700,6212,450700
255,574,451700,6212,451700
256,576,452700,6212,452700
256,576,453700,6212,453700
256,576,454700,6212,454700
257,578,455700,6212,455700
257,578,456700,6212,456700
257,578,456700,6212,456700
257,578,456700,6212,456700
257,578,456930,6212,456930
258,580,457930,6212,457930
258,580,457930,6212,457930
258,580,458250,6212,458250
258,580,458720,6212,458720
259,582,459720,6212,459720
260,584,460720,6212,460720
261,586,461720,6212,461720
261,586,462530,6212,462530
261,586,463340,6212,463340
261,586,463820,6212,463820
261,586,464820,6212,464820
262,588,465820,6212,465820
263,590,466820,6212,466820
263,590,466820,6212,466820
263,590,467820,6212,467820
264,592,468820,6212,468820
264,592,469630,6212,469630
265,594,470630,6212,470630
265,594,471100,6212,471100
266,596,472100,6212,472100
266,596,472910,6212,472910
266,596,473720,6212,473720
267,598,474720,6212,474720
267,598,475720,6212,475720
268,600,476720,6212,476720
268,600,477530,6212,477530
268,600,477760,6212,477760
269,602,478760,6212,478760
269,602,478760,6212,478760
270,604,479760,6212,479760
270,604,479980,6212,479980
271,606,480450,6212,480450
271,606,481260,6212,481260
271,606,482260,6212,482260
272,608,483260,6212,483260
272,608,484260,6212,484260
273,610,485070,6212,485070
273,610,485660,6212,485660
274,612,486660,6212,486660
275,620,494660,6212,494660
275,620,495210,6212,495210
276,622,496020,6212,496020
276,622,496020,6212,496020
276,622,497020,6212,497020
277,624,498020,6212,498020
278,632,498020,6212,498020
279,634,499020,6212,499020
279,634,500020,6212,500020
279,634,500250,6212,500250
280,636,501250,6212,501250
280,636,501410,6212,501410
280,636,502410,6212,502410
281,638,503410,6212,503410
281,638,504410,6212,504410
281,638,504880,6212,504880
282,640,505350,6212,505350
282,640,505820,6212,505820
282,640,506820,6212,506820
282,640,507630,6212,507630
283,642,508630,6212,508630
283,642,509630,6212,509630
283,642,509950,6212,509950
284,644,510760,6212,510760
284,644,511080,6212,511080
284,644,511550,6212,511550
285,646,512360,6212,512360
285,646,512830,6212,512830
286,648,513830,6212,513830
286,648,514300,6212,514300
286,648,514300,6212,514300
286,648,514620,6212,514620
287,650,515620,6212,515620
287,650,516620,6212,516620
288,652,517430,6212,517430
289,654,518430,6212,518430
289,654,518900,6212,518900
289,654,519220,6212,519220
289,654,519690,6212,519690
290,656,520500,6212,520500
290,656,520970,6212,520970
290,656,521970,6212,521970
291,658,522970,6212,522970
291,658,523970,6212,523970
291,658,523970,6212,523970
292,660,524620,6212,524620
292,660,525620,6212,525620
293,662,526430,6212,526430
293,662,526430,6212,526430
293,662,527240,6212,527240
294,664,528240,6212,528240
294,664,529240,6212,529240
295,666,529710,6212,529710
295,666,529710,6212,529710
296,674,529710,6212,529710
296,674,530710,6212,530710
297,676,531710,6212,531710
297,676,532710,6212,532710
298,678,533710,6212,533710
298,678,534710,6212,534710
298,678,535030,6212,535030
299,680,536030,6212,536030
299,680,537030,6212,537030
299,680,537030,6212,537030
299,680,537030,6212,537030
300,682,538030,6212,538030
300,682,539030,6212,539030
300,682,539500,6212,539500
301,684,540500,6212,540500
301,684,540500,6212,540500
301,684,541150,6212,541150
302,686,542150,6212,542150
302,686,542620,6212,542620
302,686,542620,6212,542620
302,686,542730,6212,542730
302,686,543200,6212,543200
303,688,544200,6212,544200
303,688,544200,6212,544200
303,688,545200,6212,545200
304,690,546200,6212,546200
304,690,547200,6212,547200
305,692,548200,6212,548200
305,692,549200,6212,549200
306,694,550200,6212,550200
306,694,551200,6212,551200
306,694,551430,6212,551430
307,696,552430,6212,552430
308,698,553430,6212,553430
308,698,554240,6212,554240
308,698,555240,6212,555240
309,700,556240,6212,556240
309,700,556700,6212,556700
309,700,557700,6212,557700
310,702,558160,6212,558160
310,702,559160,6212,559160
311,704,559970,6212,559970
311,704,559970,6212,559970
311,704,560970,6212,560970
312,706,561970,6212,561970
312,706,562970,6212,562970
313,708,563780,6212,563780
313,708,564370,6212,564370
313,708,564840,6212,564840
314,710,565840,6212,565840
315,714,569840,6212,569840
315,714,569840,6212,569840
315,714,570310,6212,570310
315,714,570310,6212,570310
315,714,570630,6212,570630
316,716,571440,6212,571440
316,716,572440,6212,572440
317,718,573440,6212,573440
317,718,573440,6212,573440
318,720,574440,6212,574440
318,720,574670,6212,574670
318,720,575670,6212,575670
319,722,576670,6212,576670
319,722,577670,6212,577670
319,722,577670,6212,577670
320,724,578670,6212,578670
320,724,579140,6212,579140
321,726,579790,6212,579790
322,728,580790,6212,580790
322,728,581790,6212,581790
322,728,581790,6212,581790
322,728,582790,6212,582790
322,728,583260,6212,583260
322,728,583580,6212,583580
323,730,584390,6212,584390
323,730,585200,6212,585200
323,730,585670,6212,585670
324,732,586670,6212,586670
324,732,586670,6212,586670
325,734,587670,6212,587670
325,734,588670,6212,588670
325,734,589670,6212,589670
326,736,590670,6212,590670
326,736,590890,6212,590890
326,736,591890,6212,591890
327,738,592890,6212,592890
327,738,593890,6212,593890
328,740,594700,6212,594700
328,740,594700,6212,594700
328,740,595160,6212,595160
328,740,595380,6212,595380
329,742,596380,6212,596380
329,742,597380,6212,597380
330,744,597850,6212,597850
330,744,598850,6212,598850
331,746,599850,6212,599850
331,746,600850,6212,600850
332,754,608850,6212,608850
332,754,609170,6212,609170
333,756,609720,6212,609720
333,756,610720,6212,610720
333,756,610720,6212,610720
334,758,611720,6212,611720
334,758,612530,6212,612530
334,758,613000,6212,613000
335,760,613810,6212,613810
335,760,614810,6212,614810
335,760,615030,6212,615030
336,762,616030,6212,616030
336,762,616500,6212,616500
337,764,617310,6212,617310
337,764,618310,6212,618310
338,766,619120,6212,619120
338,766,619440,6212,619440
338,766,619440,6212,619440
338,766,620250,6212,620250
339,768,621060,6212,621060
339,768,621060,6212,621060
339,768,621060,6212,621060
339,768,621870,6212,621870
340,770,622870,6212,622870
340,770,623680,6212,623680
341,772,624000,6212,624000
341,772,624810,6212,624810
342,774,625810,6212,625810
342,774,626620,6212,626620
343,776,627620,6212,627620
343,776,628620,6212,628620
343,776,628940,6212,628940
344,778,629940,6212,629940
344,778,630400,6212,630400
345,780,631400,6212,631400
346,782,632210,6212,632210
346,782,633210,6212,633210
347,784,634210,6212,634210
347,784,635210,6212,635210
347,784,635210,6212,635210
348,786,636020,6212,636020
348,786,637020,6212,637020
348,786,637020,6212,637020
349,788,638020,6212,638020
349,788,638830,6212,638830
350,790,639830,6212,639830
350,790,640830,6212,640830
351,792,641830,6212,641830
351,792,642640,6212,642640
352,794,643450,6212,643450
352,794,643670,6212,643670
352,794,644670,6212,644670
352,794,645130,6212,645130
