ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
959108.38,15.8,2.21,246282.83,4.06
958972.47,15.8,2.21,246115.37,4.06
959369.5,15.81,2.22,247362.47,4.08
959060.39,15.81,2.22,246856.98,4.07
958861.97,15.81,2.22,246312.27,4.06
958547.06,15.8,2.21,245997.36,4.06
958943.65,15.81,2.22,246287.13,4.06
958634.53,15.81,2.22,245781.64,4.05
959081.82,15.82,2.23,245872.72,4.05
959053.38,15.82,2.23,246184.12,4.06
959103.83,15.82,2.23,246260.9,4.06
959429.8,15.83,2.24,246315.34,4.06
959657.08,15.83,2.24,245762.45,4.05
959157.97,15.83,2.24,245066.96,4.04
959438.27,15.83,2.24,244870.68,4.04
959602.68,15.84,2.25,245249.3,4.05
960345.06,15.85,2.26,245560.3,4.05
960254.2,15.85,2.26,245406.51,4.05
959877.15,15.85,2.26,244878.31,4.04
959927.59,15.85,2.26,245000.53,4.05
961029.27,15.87,2.28,245820.75,4.06
961029.27,15.87,2.28,245597.46,4.06
961208.97,15.87,2.28,245653.5,4.06
960953.36,15.87,2.28,245564.65,4.06
961695.73,15.88,2.29,245875.65,4.06
961966.62,15.89,2.3,245950.17,4.06
961768.2,15.89,2.3,245405.45,4.05
961949.08,15.89,2.3,245389.97,4.05
963662.34,15.92,2.33,246475.48,4.07
964255.16,15.93,2.34,246396.06,4.07
964285.02,15.93,2.34,246101.93,4.07
964376.27,15.93,2.34,246445.05,4.07
964162.64,15.93,2.34,246233.45,4.07
964750.15,15.94,2.35,246358.68,4.07
965637.85,15.96,2.36,249112.99,4.12
966084.9,15.96,2.37,249031.49,4.12
966542.59,15.97,2.38,248826.14,4.11
966542.59,15.97,2.38,248602.84,4.11
966572.45,15.97,2.38,248308.71,4.1
967554.21,15.99,2.4,248297.85,4.1
967233.4,15.99,2.4,247769.66,4.1
967389.14,15.99,2.4,247759.94,4.1
967125.11,15.99,2.4,247510.24,4.09
967175.55,15.99,2.4,247632.46,4.09
967226.0,15.99,2.4,247706.31,4.1
967276.45,16.0,2.4,247828.53,4.1
967063.98,15.99,2.4,247595.61,4.09
969267.33,16.03,2.44,251124.65,4.15
969377.11,16.03,2.44,251220.8,4.15
970147.25,16.05,2.45,252000.78,4.17
970734.77,16.06,2.47,252126.01,4.17
971477.14,16.07,2.48,252437.01,4.18
970972.93,16.06,2.47,251981.73,4.17
971596.05,16.07,2.48,251967.25,4.17
972183.56,16.09,2.5,252092.48,4.17
973285.24,16.1,2.51,252912.71,4.18
974386.91,16.12,2.53,253732.93,4.2
974052.65,16.12,2.53,253233.21,4.19
974233.53,16.12,2.53,253217.73,4.19
974821.05,16.13,2.54,253342.95,4.19
974976.79,16.14,2.55,253333.24,4.19
974642.53,16.13,2.54,252833.52,4.19
975230.05,16.15,2.56,252958.75,4.19
974895.79,16.14,2.55,252459.04,4.18
975136.36,16.15,2.56,252523.09,4.18
975035.97,16.15,2.56,253560.79,4.2
975034.09,16.15,2.56,253781.69,4.2
974835.67,16.15,2.56,253236.98,4.19
974886.12,16.15,2.56,253359.2,4.2
978342.49,16.21,2.62,256613.72,4.25
978528.15,16.21,2.62,256674.36,4.25
978276.58,16.21,2.62,256590.68,4.25
979018.95,16.22,2.63,256901.68,4.26
982475.32,16.28,2.69,260156.2,4.31
982525.77,16.28,2.69,260278.42,4.31
982576.22,16.29,2.7,260352.27,4.32
982377.81,16.29,2.69,259807.56,4.31
982428.25,16.29,2.7,259786.28,4.31
983170.63,16.3,2.71,260097.28,4.31
983191.51,16.3,2.71,259921.79,4.31
983029.38,16.3,2.71,259705.12,4.31
982830.97,16.3,2.71,259160.41,4.3
982717.45,16.3,2.71,260013.09,4.31
985269.19,16.34,2.75,261396.78,4.34
985450.08,16.35,2.76,261381.29,4.34
988906.45,16.41,2.81,264635.81,4.39
989066.13,16.41,2.82,264652.69,4.39
989262.69,16.41,2.82,264588.45,4.39
989313.14,16.42,2.83,264813.32,4.39
989186.64,16.42,2.83,264893.98,4.4
990491.7,16.44,2.85,267246.67,4.44
990651.38,16.44,2.85,267263.55,4.44
990701.83,16.45,2.85,267389.97,4.44
990881.53,16.45,2.86,267359.36,4.44
990650.85,16.45,2.86,268364.14,4.46
991832.48,16.47,2.88,268974.24,4.47
991696.58,16.47,2.88,268883.68,4.46
991932.17,16.47,2.88,268507.95,4.46
991882.42,16.47,2.88,268208.94,4.45
991717.76,16.47,2.88,268383.82,4.46
991414.25,16.47,2.88,268052.3,4.45
991464.69,16.47,2.88,268178.71,4.46
991644.4,16.48,2.88,268236.7,4.46
991694.85,16.48,2.89,268363.12,4.46
991745.3,16.48,2.89,268438.38,4.46
991925.0,16.49,2.9,268786.77,4.47
992352.4,16.49,2.9,269479.17,4.48
992352.4,16.49,2.9,269479.17,4.48
992877.69,16.5,2.91,269140.83,4.47
992632.08,16.5,2.91,269060.85,4.47
992875.89,16.51,2.92,269540.98,4.48
993035.57,16.51,2.92,269557.86,4.48
993195.25,16.52,2.93,269478.92,4.48
993245.7,16.52,2.93,269401.19,4.48
996702.07,16.58,2.99,272655.71,4.53
996702.07,16.58,2.99,272655.71,4.53
996887.73,16.58,2.99,273799.13,4.55
997300.9,16.59,3.0,273232.04,4.55
997300.9,16.59,3.0,273232.04,4.55
997351.35,16.59,3.0,273358.45,4.55
997208.02,16.59,3.0,273098.68,4.54
997387.72,16.6,3.01,273156.67,4.55
997633.18,16.6,3.01,272967.72,4.54
997683.63,16.6,3.01,273094.13,4.55
997432.26,16.6,3.01,273189.58,4.55
997611.97,16.61,3.02,274187.56,4.56
997635.65,16.61,3.02,274287.09,4.57
997686.1,16.61,3.02,274362.35,4.57
997995.38,16.62,3.03,274016.06,4.56
1001451.75,16.67,3.08,277270.58,4.62
1001315.84,16.68,3.08,277447.44,4.62
1001649.41,16.68,3.09,277967.43,4.63
1001829.11,16.69,3.1,277863.17,4.63
1001673.14,16.68,3.09,277740.39,4.63
1001427.53,16.68,3.09,277660.41,4.63
1001666.21,16.69,3.1,277451.38,4.62
1001418.06,16.68,3.09,278165.89,4.63
1001287.26,16.68,3.09,277849.09,4.63
1001337.71,16.69,3.1,277975.5,4.63
1001534.28,16.69,3.1,278009.72,4.63
1001277.11,16.69,3.1,277728.11,4.63
1000974.64,16.69,3.09,277632.13,4.63
1001190.3,16.69,3.1,277578.34,4.63
1001240.75,16.69,3.1,277831.78,4.63
1000929.18,16.69,3.1,277706.37,4.63
1000929.18,16.69,3.1,277706.37,4.63
1001108.89,16.69,3.1,277645.77,4.63
1001159.34,16.7,3.11,277772.18,4.63
1001209.79,16.7,3.11,277847.44,4.63
1001260.23,16.7,3.11,277973.86,4.64
1001998.09,16.72,3.12,279408.48,4.66
1002048.54,16.72,3.13,279503.83,4.66
1002228.24,16.72,3.13,279555.13,4.66
1002228.24,16.72,3.13,279555.13,4.66
1004067.05,16.75,3.16,281270.78,4.69
1004117.5,16.76,3.17,281397.2,4.7
1004314.07,16.76,3.17,281431.41,4.7
1004364.52,16.76,3.17,281557.83,4.7
1004414.97,16.77,3.18,281633.09,4.7
1004370.63,16.77,3.18,281794.56,4.7
1004530.31,16.77,3.18,281729.54,4.7
1004769.0,16.78,3.19,282722.85,4.72
1004525.22,16.78,3.18,282580.49,4.72
1004563.83,16.78,3.19,282420.47,4.72
1004614.28,16.78,3.19,282546.88,4.72
1004793.99,16.79,3.19,282604.87,4.72
1004953.67,16.79,3.2,282621.75,4.72
1004817.76,16.79,3.2,282482.25,4.72
1004693.69,16.79,3.2,282498.27,4.72
1004444.05,16.79,3.2,282242.66,4.72
1004482.66,16.79,3.2,282635.91,4.72
1004482.66,16.79,3.2,282635.91,4.72
1004533.11,16.79,3.2,282762.32,4.73
1004277.5,16.79,3.2,282672.61,4.73
1004277.5,16.79,3.2,282672.61,4.73
1004110.6,16.79,3.2,282540.69,4.72
1004161.05,16.79,3.2,282615.96,4.73
