ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
356,1835,207560,6212,207560
357,1837,208370,6212,208370
358,1839,209180,6212,209180
359,1841,209990,6212,209990
359,1841,210800,6212,210800
360,1843,211610,6212,211610
360,1843,211610,6212,211610
361,1851,212080,6212,212080
362,1853,212890,6212,212890
362,1853,213360,6212,213360
363,1855,213830,6212,213830
363,1855,213830,6212,213830
364,1859,214310,6212,214310
364,1859,215120,6212,215120
365,1867,215120,6212,215120
366,1875,215440,6212,215440
367,1877,215760,6212,215760
368,1879,216410,6212,216410
369,1887,216880,6212,216880
370,1895,217350,6212,217350
371,1897,217820,6212,217820
372,1899,218170,6212,218170
372,1899,218650,6212,218650
373,1901,219120,6212,219120
374,1905,219930,6212,219930
374,1905,220740,6212,220740
375,1913,221060,6212,221060
375,1913,221710,6212,221710
376,1921,222520,6212,222520
377,1923,222840,6212,222840
378,1931,223070,6212,223070
378,1931,223880,6212,223880
379,1939,223880,6212,223880
380,1941,224040,6212,224040
381,1949,224510,6212,224510
382,1957,224510,6212,224510
383,1965,225320,6212,225320
384,1973,226130,6212,226130
385,1981,226940,6212,226940
386,1983,227170,6212,227170
386,1983,227490,6212,227490
387,1991,227960,6212,227960
388,1999,228510,6212,228510
389,2007,229160,6212,229160
390,2009,229480,6212,229480
391,2017,229710,6212,229710
392,2021,230180,6212,230180
393,2029,230180,6212,230180
394,2037,230500,6212,230500
394,2037,230500,6212,230500
395,2039,231310,6212,231310
396,2040,231780,6212,231780
396,2040,232590,6212,232590
397,2048,232590,6212,232590
397,2048,233400,6212,233400
397,2048,234210,6212,234210
398,2050,234210,6212,234210
399,2058,234530,6212,234530
400,2060,235340,6212,235340
401,2068,235660,6212,235660
401,2068,236310,6212,236310
401,2068,236780,6212,236780
401,2068,236780,6212,236780
402,2076,237250,6212,237250
402,2076,237250,6212,237250
403,2078,238060,6212,238060
404,2086,238380,6212,238380
404,2086,239190,6212,239190
405,2088,239660,6212,239660
405,2088,240130,6212,240130
406,2096,240600,6212,240600
406,2096,241250,6212,241250
407,2104,242060,6212,242060
408,2106,242870,6212,242870
409,2108,243190,6212,243190
410,2110,243510,6212,243510
411,2118,243830,6212,243830
411,2118,244060,6212,244060
412,2120,244060,6212,244060
412,2120,244870,6212,244870
413,2128,245190,6212,245190
414,2136,245780,6212,245780
415,2144,246250,6212,246250
416,2146,246470,6212,246470
417,2154,247280,6212,247280
417,2154,247280,6212,247280
417,2154,247750,6212,247750
418,2156,248220,6212,248220
419,2158,248590,6212,248590
420,2160,248590,6212,248590
420,2160,249400,6212,249400
421,2162,249400,6212,249400
422,2164,249870,6212,249870
422,2164,250680,6212,250680
423,2172,251150,6212,251150
