ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1234765.45,20.45,1.87,231151.7,3.83
1234598.42,20.46,1.87,231147.57,3.83
1234843.55,20.46,1.88,230947.5,3.83
1234321.66,20.46,1.87,230383.14,3.82
1234850.64,20.47,1.89,230435.59,3.82
1234754.98,20.47,1.89,230243.56,3.82
1234587.95,20.47,1.89,230222.05,3.82
1234833.07,20.48,1.89,230021.98,3.81
1235078.2,20.48,1.9,229833.04,3.81
1235323.33,20.49,1.91,229644.11,3.81
1235476.03,20.5,1.92,229302.85,3.8
1235320.92,20.5,1.91,229162.2,3.8
1234592.25,20.49,1.91,228447.99,3.79
1237799.17,20.54,1.96,231495.52,3.84
1237606.58,20.54,1.96,231488.29,3.84
1237413.99,20.54,1.96,231406.87,3.84
1237221.4,20.54,1.96,231393.04,3.84
1237281.93,20.54,1.96,231471.0,3.84
1236760.05,20.54,1.96,230906.64,3.83
1236238.16,20.53,1.95,230353.42,3.83
1235976.27,20.53,1.95,230049.06,3.82
1236215.03,20.54,1.95,230327.94,3.83
1236215.03,20.54,1.95,230327.94,3.83
1236073.26,20.53,1.95,230258.88,3.83
1236335.98,20.54,1.96,230511.27,3.83
1236126.39,20.54,1.96,230306.62,3.83
