ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1700157.44,28.97,0.48,200086.63,3.41
1700187.39,28.97,0.48,200099.79,3.41
1700058.26,28.97,0.48,200038.45,3.41
1699750.32,28.97,0.48,200028.54,3.41
1699596.57,28.97,0.48,200102.34,3.41
1699366.74,28.97,0.48,200399.0,3.42
1699167.37,28.97,0.48,200201.84,3.41
1699057.48,28.97,0.49,200187.6,3.41
1699062.9,28.97,0.49,200446.79,3.42
1698845.86,28.97,0.49,200385.36,3.42
1698753.43,28.97,0.49,200484.0,3.42
1698537.94,28.98,0.49,200420.74,3.42
1698320.89,28.98,0.49,200415.2,3.42
1698320.89,28.98,0.49,200454.97,3.42
1698002.08,28.97,0.48,200136.16,3.41
1697786.58,28.97,0.48,200128.79,3.42
1697569.54,28.98,0.48,200067.35,3.41
1697569.54,28.98,0.48,200067.35,3.41
1697354.05,28.98,0.48,200059.99,3.42
1697137.0,28.98,0.48,199998.55,3.41
1697004.0,28.98,0.49,199933.02,3.41
1696679.66,28.98,0.49,199902.29,3.41
1696679.66,28.98,0.49,199882.41,3.41
1696386.7,28.98,0.49,199524.01,3.41
1696118.52,28.98,0.49,199527.84,3.41
1695905.35,28.98,0.49,199511.98,3.41
1696052.03,28.99,0.49,199486.07,3.41
1695728.46,28.98,0.49,200348.43,3.42
1695403.35,28.98,0.49,200293.71,3.42
1695375.05,28.99,0.49,200280.8,3.42
1695264.38,28.99,0.5,203290.97,3.48
1694966.25,28.99,0.5,203362.82,3.48
1694966.25,28.99,0.5,203305.49,3.48
1694970.12,28.99,0.5,203885.65,3.49
1694701.95,28.99,0.5,203889.48,3.49
