ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
632518.35,10.59,0.36,173862.13,2.91
632338.74,10.58,0.36,174148.8,2.91
632236.52,10.58,0.36,174140.28,2.92
632513.14,10.59,0.37,173877.27,2.91
632410.92,10.59,0.37,173794.11,2.91
632308.7,10.59,0.37,173785.59,2.91
632308.7,10.59,0.37,173785.59,2.91
632019.86,10.59,0.36,174510.73,2.92
632019.86,10.59,0.36,174510.73,2.92
632106.27,10.59,0.37,174720.3,2.93
632004.05,10.59,0.37,174637.13,2.93
632329.99,10.6,0.37,174949.06,2.93
632125.19,10.59,0.37,175074.24,2.93
631905.5,10.59,0.37,174804.62,2.93
632317.69,10.6,0.37,174792.67,2.93
632404.1,10.6,0.38,174792.48,2.93
631919.68,10.59,0.37,174853.56,2.93
631817.46,10.59,0.37,174742.74,2.93
631715.24,10.59,0.37,174734.22,2.93
631613.02,10.59,0.37,174734.22,2.93
631510.8,10.59,0.37,174651.06,2.93
631408.58,10.59,0.37,174651.06,2.93
631734.53,10.6,0.38,174651.06,2.93
631632.31,10.6,0.38,174657.84,2.93
631264.14,10.59,0.37,174657.84,2.93
631161.92,10.59,0.37,174559.37,2.93
631161.92,10.59,0.37,174612.35,2.93
631487.86,10.6,0.38,174625.01,2.93
631385.64,10.6,0.38,174616.48,2.93
631283.42,10.6,0.38,174533.32,2.93
631181.2,10.6,0.38,174651.73,2.93
631078.98,10.6,0.38,174533.32,2.93
631165.39,10.6,0.38,174523.81,2.93
630945.7,10.6,0.38,174520.66,2.93
631032.11,10.6,0.38,174520.47,2.93
630929.88,10.6,0.38,174520.47,2.93
630112.12,10.6,0.38,174520.29,2.94
630438.07,10.61,0.39,174520.11,2.94
630335.84,10.61,0.39,174526.89,2.94
630233.62,10.61,0.39,174428.42,2.94
630075.0,10.61,0.39,174268.88,2.93
629972.77,10.61,0.39,174177.19,2.93
629870.55,10.61,0.39,174177.19,2.93
630093.84,10.61,0.39,174398.52,2.94
629991.62,10.61,0.39,174381.78,2.94
629889.4,10.61,0.39,174306.83,2.94
629787.18,10.61,0.39,174290.09,2.94
629684.96,10.61,0.39,174215.15,2.94
629582.74,10.61,0.39,174124.5,2.94
629480.52,10.61,0.39,174123.46,2.94
629378.29,10.61,0.39,173976.04,2.93
629276.07,10.61,0.39,173902.13,2.93
629173.85,10.61,0.39,174871.09,2.95
629260.26,10.62,0.39,174871.09,2.95
629158.04,10.62,0.39,174779.4,2.95
629055.82,10.62,0.39,174779.4,2.95
629142.22,10.62,0.4,174779.4,2.95
629142.22,10.62,0.4,174893.01,2.95
628774.05,10.61,0.39,174893.0,2.95
628671.83,10.61,0.39,174801.31,2.95
628569.61,10.61,0.39,174801.31,2.95
628467.39,10.61,0.39,174808.09,2.95
628365.17,10.61,0.39,174709.62,2.95
628262.95,10.61,0.39,174716.41,2.95
628160.73,10.61,0.39,174617.94,2.95
628058.51,10.61,0.39,174662.7,2.95
628058.51,10.61,0.39,174580.59,2.95
628384.45,10.62,0.4,174590.36,2.95
628384.45,10.62,0.4,174590.36,2.95
628282.23,10.62,0.4,174581.84,2.95
628076.72,10.62,0.4,174320.65,2.95
627974.5,10.62,0.4,174237.49,2.95
627974.5,10.62,0.4,174298.53,2.95
627872.28,10.62,0.4,174290.0,2.95
627745.03,10.62,0.39,174843.21,2.96
627642.81,10.62,0.39,174760.05,2.96
627976.84,10.62,0.4,175264.7,2.96
628063.24,10.63,0.4,175264.7,2.97
627961.02,10.63,0.4,175287.28,2.97
628047.43,10.63,0.41,175271.41,2.97
627681.18,10.62,0.4,174944.91,2.96
627578.96,10.62,0.4,175011.27,2.96
627665.36,10.63,0.4,175007.54,2.96
627563.14,10.63,0.4,174915.85,2.96
627565.89,10.63,0.4,174917.1,2.96
627565.89,10.63,0.4,174917.1,2.96
627463.67,10.63,0.4,174914.12,2.96
627361.45,10.63,0.4,174914.12,2.96
627259.23,10.63,0.4,175617.67,2.98
627157.0,10.63,0.4,175493.21,2.97
627380.29,10.63,0.41,175493.02,2.97
627278.07,10.63,0.41,175499.81,2.97
627175.85,10.63,0.41,175401.33,2.97
627073.63,10.63,0.41,175401.33,2.97
627407.66,10.64,0.42,175401.33,2.97
627305.43,10.64,0.42,175384.59,2.97
627203.21,10.64,0.42,175309.65,2.97
627100.99,10.64,0.42,175316.43,2.97
627100.99,10.64,0.42,175366.19,2.98
626998.77,10.64,0.42,175267.72,2.97
626632.52,10.63,0.41,175267.72,2.97
626530.3,10.63,0.41,175176.03,2.97
626428.08,10.63,0.41,175176.03,2.97
626132.57,10.63,0.41,175221.05,2.97
626458.52,10.64,0.41,175221.05,2.97
626090.35,10.63,0.41,175337.52,2.98
626484.7,10.64,0.42,175221.05,2.98
626571.1,10.64,0.42,175191.6,2.98
626233.38,10.64,0.41,175497.51,2.98
626131.16,10.64,0.41,175387.53,2.98
626131.16,10.64,0.41,175387.53,2.98
626028.94,10.64,0.41,175370.78,2.98
626115.35,10.64,0.42,175360.32,2.98
626115.35,10.64,0.42,175360.32,2.98
626441.29,10.64,0.42,175355.2,2.98
626339.07,10.64,0.42,175280.26,2.98
626236.85,10.64,0.42,175188.57,2.98
626134.63,10.64,0.42,175188.57,2.98
625766.46,10.64,0.42,175655.4,2.99
625555.54,10.64,0.41,175529.89,2.98
