ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
737252.52,12.39,2.17,185387.88,3.12
736434.76,12.39,2.17,185387.88,3.12
736760.71,12.4,2.18,185338.34,3.12
736703.84,12.4,2.18,185358.96,3.12
736614.41,12.4,2.18,185749.07,3.13
736498.09,12.4,2.18,185615.76,3.12
736395.87,12.4,2.18,185497.4,3.12
737995.55,12.43,2.21,186920.62,3.15
738218.84,12.43,2.21,186889.8,3.15
737513.46,12.42,2.2,186157.8,3.14
737411.24,12.42,2.2,186100.2,3.14
736725.66,12.42,2.19,185354.33,3.12
736714.82,12.42,2.19,185937.23,3.13
736029.25,12.41,2.19,185191.36,3.12
735860.14,12.41,2.18,184891.17,3.12
735286.15,12.4,2.18,184087.6,3.1
735183.92,12.4,2.18,183995.91,3.1
735081.7,12.4,2.18,183995.91,3.1
734704.54,12.4,2.17,183368.18,3.09
734602.32,12.4,2.17,183362.35,3.09
733928.92,12.39,2.16,182582.01,3.08
733552.66,12.38,2.16,181954.29,3.07
733552.66,12.38,2.16,181954.29,3.07
733878.6,12.39,2.17,181876.85,3.07
734259.88,12.4,2.17,182976.98,3.09
733732.31,12.39,2.17,182290.72,3.08
733630.09,12.39,2.17,182277.13,3.08
733527.87,12.39,2.17,182246.92,3.08
733529.47,12.39,2.17,182288.88,3.08
733323.43,12.39,2.17,182135.01,3.08
733221.21,12.39,2.17,181990.97,3.08
733221.21,12.39,2.17,181990.97,3.08
733547.15,12.4,2.18,182580.43,3.09
733547.15,12.4,2.18,182580.43,3.09
733490.29,12.4,2.18,182527.47,3.09
733303.97,12.4,2.17,182341.16,3.08
733183.91,12.4,2.17,182270.17,3.08
733183.91,12.4,2.17,182270.17,3.08
733081.69,12.4,2.18,182261.65,3.08
733188.29,12.4,2.18,182261.3,3.08
733086.07,12.4,2.18,182178.14,3.08
732700.39,12.39,2.17,181770.95,3.07
732323.22,12.39,2.17,181143.23,3.06
732221.0,12.39,2.17,181134.71,3.06
732307.4,12.39,2.17,181220.75,3.07
732633.35,12.4,2.18,181220.75,3.07
