ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
166,540,469080,6212,469080
166,540,469550,6212,469550
166,540,470550,6212,470550
166,540,471020,6212,471020
167,548,472020,6212,472020
167,548,473020,6212,473020
167,548,473020,6212,473020
167,548,473490,6212,473490
167,548,474490,6212,474490
167,548,475300,6212,475300
167,548,475300,6212,475300
167,548,475780,6212,475780
167,548,476780,6212,476780
168,556,477430,6212,477430
168,556,478430,6212,478430
168,556,479430,6212,479430
168,556,480240,6212,480240
168,556,481050,6212,481050
168,556,482050,6212,482050
168,556,482050,6212,482050
168,556,482520,6212,482520
169,564,483520,6212,483520
169,564,484330,6212,484330
169,564,484330,6212,484330
169,564,484330,6212,484330
169,564,484330,6212,484330
169,564,484330,6212,484330
169,564,485330,6212,485330
169,564,485330,6212,485330
169,564,486330,6212,486330
169,564,487330,6212,487330
169,564,487330,6212,487330
169,564,487800,6212,487800
170,572,488800,6212,488800
170,572,489800,6212,489800
170,572,490800,6212,490800
170,572,491610,6212,491610
170,572,491610,6212,491610
170,572,491610,6212,491610
170,572,492200,6212,492200
170,572,493200,6212,493200
170,572,493200,6212,493200
170,572,493200,6212,493200
170,572,494200,6212,494200
171,580,495200,6212,495200
171,580,496200,6212,496200
171,580,497010,6212,497010
171,580,497820,6212,497820
171,580,497820,6212,497820
171,580,498140,6212,498140
171,580,499140,6212,499140
171,580,499950,6212,499950
171,580,499950,6212,499950
171,580,499950,6212,499950
171,580,500420,6212,500420
171,580,501230,6212,501230
171,580,501700,6212,501700
171,580,501700,6212,501700
171,580,502700,6212,502700
171,580,503510,6212,503510
171,580,503980,6212,503980
171,580,505980,6212,505980
171,580,506790,6212,506790
171,580,507110,6212,507110
171,580,507920,6212,507920
171,580,508920,6212,508920
171,580,509920,6212,509920
172,588,510920,6212,510920
172,588,511730,6212,511730
172,588,512100,6212,512100
172,588,512570,6212,512570
172,588,512570,6212,512570
172,588,513570,6212,513570
172,588,514570,6212,514570
172,588,515380,6212,515380
172,588,516190,6212,516190
172,588,517190,6212,517190
172,588,517190,6212,517190
172,588,518000,6212,518000
172,588,518000,6212,518000
172,588,519000,6212,519000
172,588,519000,6212,519000
172,588,519810,6212,519810
172,588,520810,6212,520810
172,588,521040,6212,521040
172,588,521850,6212,521850
172,588,522850,6212,522850
173,596,523850,6212,523850
173,596,524850,6212,524850
173,596,525850,6212,525850
173,596,526850,6212,526850
173,596,526850,6212,526850
173,596,527660,6212,527660
173,596,528130,6212,528130
173,596,528600,6212,528600
173,596,529600,6212,529600
173,596,530600,6212,530600
174,598,530830,6212,530830
175,606,531830,6212,531830
175,606,532640,6212,532640
175,606,532640,6212,532640
175,606,533450,6212,533450
175,606,534260,6212,534260
175,606,535260,6212,535260
175,606,535730,6212,535730
175,606,536730,6212,536730
175,606,537730,6212,537730
176,614,538380,6212,538380
176,614,539380,6212,539380
176,614,540380,6212,540380
176,614,540840,6212,540840
176,614,540840,6212,540840
176,614,541840,6212,541840
176,614,542840,6212,542840
176,614,543390,6212,543390
176,614,543620,6212,543620
176,614,544620,6212,544620
176,614,545620,6212,545620
177,622,546620,6212,546620
177,622,547620,6212,547620
177,622,548620,6212,548620
177,622,549620,6212,549620
177,622,549620,6212,549620
177,622,549940,6212,549940
177,622,550940,6212,550940
177,622,551750,6212,551750
177,622,552750,6212,552750
178,630,553750,6212,553750
178,630,554070,6212,554070
178,630,554070,6212,554070
178,630,554070,6212,554070
178,630,554070,6212,554070
178,630,554070,6212,554070
178,630,554390,6212,554390
178,630,554390,6212,554390
178,630,555390,6212,555390
178,630,556390,6212,556390
178,630,556390,6212,556390
178,630,556860,6212,556860
178,630,557180,6212,557180
178,630,557180,6212,557180
178,630,558180,6212,558180
178,630,558180,6212,558180
178,630,558650,6212,558650
178,630,558650,6212,558650
178,630,558650,6212,558650
178,630,558650,6212,558650
178,630,559650,6212,559650
178,630,559650,6212,559650
179,632,560240,6212,560240
179,632,561050,6212,561050
179,632,561050,6212,561050
179,632,562050,6212,562050
180,640,562520,6212,562520
180,640,562520,6212,562520
180,640,563520,6212,563520
180,640,564520,6212,564520
180,640,565520,6212,565520
181,642,566330,6212,566330
181,642,567140,6212,567140
182,644,567950,6212,567950
182,644,568950,6212,568950
182,644,568950,6212,568950
183,646,569760,6212,569760
183,646,570220,6212,570220
183,646,570440,6212,570440
183,646,571440,6212,571440
183,646,572440,6212,572440
183,646,572760,6212,572760
183,646,573760,6212,573760
183,646,574220,6212,574220
183,646,574870,6212,574870
183,646,575870,6212,575870
183,646,575870,6212,575870
183,646,576870,6212,576870
183,646,577330,6212,577330
184,654,577800,6212,577800
184,654,578800,6212,578800
184,654,578800,6212,578800
184,654,579800,6212,579800
184,654,580800,6212,580800
184,654,581450,6212,581450
184,654,582450,6212,582450
185,662,583450,6212,583450
185,662,584450,6212,584450
185,662,584920,6212,584920
185,662,585920,6212,585920
185,662,586920,6212,586920
185,662,587390,6212,587390
185,662,588390,6212,588390
185,662,588390,6212,588390
186,664,589200,6212,589200
186,664,590200,6212,590200
187,672,591200,6212,591200
188,674,592010,6212,592010
188,674,592010,6212,592010
188,674,593010,6212,593010
188,674,593480,6212,593480
188,674,593940,6212,593940
188,674,594940,6212,594940
188,674,595410,6212,595410
188,674,595880,6212,595880
188,674,596880,6212,596880
188,674,596880,6212,596880
188,674,597350,6212,597350
188,674,598350,6212,598350
188,674,598350,6212,598350
188,674,599350,6212,599350
189,676,600160,6212,600160
189,676,600320,6212,600320
190,684,601320,6212,601320
190,684,602130,6212,602130
190,684,603130,6212,603130
190,684,603130,6212,603130
190,684,604130,6212,604130
190,684,605130,6212,605130
190,684,606130,6212,606130
190,684,607130,6212,607130
190,684,607130,6212,607130
190,684,607130,6212,607130
190,684,608130,6212,608130
190,684,608600,6212,608600
190,684,609600,6212,609600
191,692,610600,6212,610600
192,694,611410,6212,611410
192,694,612410,6212,612410
192,694,612410,6212,612410
192,694,612880,6212,612880
192,694,613880,6212,613880
192,694,614880,6212,614880
192,694,615880,6212,615880
192,694,615880,6212,615880
192,694,616880,6212,616880
192,694,617880,6212,617880
192,694,617880,6212,617880
192,694,618530,6212,618530
192,694,618990,6212,618990
192,694,619460,6212,619460
193,696,620270,6212,620270
194,704,621270,6212,621270
194,704,621500,6212,621500
194,704,621970,6212,621970
194,704,621970,6212,621970
194,704,621970,6212,621970
194,704,622200,6212,622200
194,704,623200,6212,623200
195,706,624010,6212,624010
195,706,624480,6212,624480
195,706,624950,6212,624950
195,706,625760,6212,625760
195,706,626230,6212,626230
