ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1142814.6,19.03,0.44,262768.01,4.38
1142446.88,19.03,0.43,262557.01,4.37
1142267.93,19.03,0.43,261847.21,4.36
1141990.74,19.03,0.43,261533.54,4.36
1141797.75,19.03,0.43,261501.16,4.36
1141604.77,19.03,0.43,261478.24,4.36
1141411.79,19.03,0.43,261582.76,4.36
1141218.81,19.03,0.43,261464.03,4.36
1141025.82,19.03,0.43,261454.27,4.36
1140832.84,19.03,0.43,261384.57,4.36
1140639.86,19.03,0.43,261374.81,4.36
1140460.91,19.03,0.43,260665.01,4.35
1140370.39,19.03,0.43,260532.67,4.35
1140177.4,19.03,0.43,260462.97,4.35
1139984.42,19.03,0.43,260391.89,4.35
1224570.32,20.44,0.44,264228.23,4.41
1224363.3,20.44,0.44,264108.41,4.41
1224156.28,20.44,0.44,264091.87,4.41
1222556.28,20.44,0.44,263960.78,4.41
1222349.26,20.44,0.44,263869.41,4.41
1222142.25,20.44,0.44,263768.52,4.41
1222142.25,20.44,0.44,263794.25,4.41
1221935.23,20.44,0.44,263787.24,4.41
1221728.21,20.44,0.44,263688.69,4.41
1221708.53,20.44,0.44,263859.5,4.42
1221501.51,20.44,0.44,263787.65,4.41
1221294.49,20.44,0.44,263751.59,4.41
1221087.47,20.44,0.44,263720.66,4.42
1221321.19,20.45,0.45,263978.42,4.42
1221321.19,20.45,0.45,263950.38,4.42
1220940.46,20.44,0.44,263675.65,4.42
1220934.81,20.45,0.45,263223.8,4.41
1220636.56,20.45,0.45,262823.01,4.4
1220429.54,20.45,0.45,262786.41,4.4
1220222.53,20.45,0.45,262765.64,4.4
1220015.51,20.45,0.45,262873.31,4.41
1220249.23,20.45,0.45,263129.73,4.41
1220249.23,20.45,0.45,263129.73,4.41
1219868.49,20.45,0.45,262811.6,4.4
1219661.47,20.45,0.45,262741.07,4.4
1219454.46,20.45,0.45,262703.7,4.4
1219454.46,20.45,0.45,262616.85,4.4
1219247.44,20.45,0.45,262585.93,4.4
1219241.79,20.45,0.45,262134.08,4.4
1219445.65,20.45,0.45,262228.06,4.4
1219238.63,20.45,0.45,262151.08,4.4
1219031.61,20.45,0.45,262052.7,4.4
1218874.28,20.45,0.45,261902.52,4.39
1218874.28,20.45,0.45,261861.96,4.39
1218854.6,20.45,0.45,262035.73,4.4
1218834.91,20.46,0.46,262127.19,4.4
1218627.89,20.46,0.46,262107.99,4.4
1218420.88,20.46,0.46,261937.7,4.4
1218213.86,20.46,0.46,261865.84,4.4
1218006.84,20.46,0.46,261764.86,4.4
1218240.56,20.46,0.46,262154.47,4.4
1218033.54,20.46,0.46,262137.93,4.4
1218189.68,20.47,0.47,262072.69,4.4
1217982.67,20.47,0.47,261981.32,4.4
1217775.65,20.47,0.47,261950.82,4.4
1217568.63,20.47,0.47,261873.41,4.4
1217361.61,20.47,0.47,261773.4,4.4
1217154.6,20.47,0.47,261765.5,4.4
1216947.58,20.47,0.47,261734.57,4.4
1216566.84,20.46,0.46,261368.91,4.4
1216359.82,20.46,0.46,261291.93,4.4
1216359.82,20.46,0.46,261205.09,4.39
1216354.18,20.46,0.46,260753.24,4.39
1216147.16,20.46,0.46,260682.71,4.39
1215848.91,20.46,0.46,260281.92,4.38
1215848.91,20.46,0.46,260248.47,4.38
1215641.89,20.46,0.46,260211.09,4.38
1215641.89,20.46,0.46,260162.72,4.38
1215434.88,20.46,0.46,260132.23,4.38
1215227.86,20.46,0.46,260054.81,4.38
1215227.86,20.46,0.46,260024.43,4.38
1215227.86,20.46,0.46,260024.43,4.38
1213627.86,20.46,0.46,259954.45,4.38
1213420.84,20.46,0.46,259856.07,4.38
1213213.82,20.46,0.46,259848.48,4.38
1213213.82,20.46,0.46,259809.66,4.38
1213006.81,20.46,0.46,259793.12,4.38
1213131.37,20.47,0.47,260021.7,4.39
1211531.37,20.47,0.47,259966.53,4.39
1211522.21,20.47,0.47,260305.2,4.4
1211492.0,20.47,0.47,260234.96,4.4
1211725.72,20.48,0.48,260308.39,4.4
1211424.14,20.47,0.47,259937.97,4.39
1211217.12,20.47,0.47,260091.37,4.4
1211217.12,20.47,0.47,260051.55,4.4
1211211.47,20.48,0.48,259599.7,4.39
1210830.74,20.47,0.47,259324.96,4.38
1210535.16,20.47,0.47,258926.84,4.38
1210535.16,20.47,0.47,258893.31,4.38
1210535.16,20.47,0.47,258842.95,4.38
1210768.88,20.48,0.48,258916.38,4.38
1210561.86,20.48,0.48,259073.15,4.38
1210556.21,20.48,0.48,258621.3,4.38
1210349.19,20.48,0.48,258550.77,4.37
1210053.61,20.48,0.48,258152.65,4.37
1209672.88,20.47,0.47,257874.54,4.36
1209376.56,20.47,0.47,257646.85,4.36
1209087.12,20.46,0.46,257364.75,4.36
1208880.11,20.46,0.46,257327.37,4.36
1208880.11,20.46,0.46,257327.37,4.36
1208673.09,20.46,0.46,257310.83,4.36
1208466.07,20.46,0.46,257219.46,4.36
1208460.42,20.47,0.47,256767.61,4.35
1208164.84,20.47,0.47,256369.49,4.34
1208398.56,20.47,0.47,256445.01,4.34
1208191.54,20.47,0.47,256694.32,4.35
1208316.11,20.48,0.48,256726.35,4.35
1208004.53,20.47,0.47,256426.41,4.35
1207984.84,20.47,0.47,256690.05,4.35
1207965.16,20.48,0.48,256781.51,4.35
1207758.14,20.48,0.48,256762.31,4.35
1207551.12,20.48,0.48,256674.32,4.35
1207344.11,20.48,0.48,256654.4,4.35
1207344.11,20.48,0.48,256615.58,4.35
1207137.09,20.48,0.48,256599.04,4.35
1206930.07,20.48,0.48,256507.67,4.35
1206930.07,20.48,0.48,256467.85,4.35
1206723.05,20.48,0.48,256436.67,4.35
1206723.05,20.48,0.48,256436.67,4.35
1206516.04,20.48,0.48,256412.84,4.35
1206516.04,20.48,0.48,256374.02,4.35
1206309.02,20.48,0.48,256478.15,4.35
1206309.02,20.48,0.48,256439.33,4.35
1206102.0,20.48,0.48,256318.81,4.35
1205721.26,20.47,0.47,255948.01,4.35
1205514.25,20.47,0.47,255848.01,4.34
1205307.23,20.47,0.47,255840.1,4.35
1205100.21,20.47,0.47,255823.57,4.35
1205100.21,20.47,0.47,255784.75,4.35
1205080.53,20.47,0.47,255873.7,4.35
1205080.53,20.47,0.47,255873.7,4.35
1204873.51,20.47,0.47,255803.17,4.35
1204998.07,20.48,0.48,256085.53,4.35
1204791.05,20.48,0.48,256054.6,4.35
1205024.77,20.48,0.48,256312.35,4.36
1204634.04,20.48,0.48,256027.62,4.35
1204634.04,20.48,0.48,256027.62,4.35
1204427.02,20.48,0.48,255993.54,4.35
1204407.33,20.48,0.48,255972.1,4.35
1204387.65,20.48,0.48,256359.84,4.36
1204367.96,20.49,0.49,256493.81,4.36
1204160.95,20.49,0.49,256401.45,4.36
1204380.25,20.49,0.49,256809.76,4.37
1204613.96,20.5,0.5,256883.19,4.37
1204406.95,20.5,0.5,257082.24,4.38
1204199.93,20.5,0.5,257051.74,4.38
1203992.91,20.5,0.5,256974.33,4.37
1203987.26,20.5,0.5,256522.48,4.37
1204115.33,20.5,0.5,256559.35,4.37
1203958.0,20.5,0.5,256402.02,4.37
1203750.98,20.5,0.5,256309.43,4.37
1203731.3,20.5,0.5,256474.5,4.37
1203524.28,20.5,0.5,256381.9,4.37
1203222.7,20.5,0.5,256186.95,4.36
1203347.26,20.5,0.5,256491.65,4.37
1203140.25,20.5,0.5,256461.15,4.37
1202759.51,20.5,0.5,256140.76,4.37
1202753.86,20.5,0.5,255688.91,4.36
1202753.86,20.5,0.5,255688.91,4.36
1202455.61,20.5,0.5,255288.12,4.35
1202248.6,20.5,0.5,255210.71,4.35
1202228.91,20.5,0.5,255302.17,4.35
1202021.89,20.5,0.5,255283.13,4.35
