ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
325,748,664220,6212,664220
325,748,665220,6212,665220
326,750,666220,6212,666220
326,750,666220,6212,666220
326,750,666540,6212,666540
326,750,667540,6212,667540
327,752,668130,6212,668130
327,752,669130,6212,669130
328,754,670130,6212,670130
328,754,670450,6212,670450
329,756,671450,6212,671450
329,756,672450,6212,672450
330,758,672920,6212,672920
330,758,673920,6212,673920
331,766,673920,6212,673920
332,768,674730,6212,674730
332,768,675200,6212,675200
332,768,675200,6212,675200
332,768,676200,6212,676200
333,770,676670,6212,676670
333,770,677130,6212,677130
333,770,678130,6212,678130
334,772,679130,6212,679130
334,772,680130,6212,680130
334,772,680130,6212,680130
335,774,681130,6212,681130
335,774,682130,6212,682130
336,776,683130,6212,683130
336,776,683130,6212,683130
336,776,684130,6212,684130
337,778,685130,6212,685130
338,786,693130,6212,693130
338,786,693130,6212,693130
338,786,694130,6212,694130
339,788,694780,6212,694780
339,788,695780,6212,695780
340,790,696590,6212,696590
340,790,697590,6212,697590
340,790,697910,6212,697910
340,790,697910,6212,697910
341,792,698720,6212,698720
341,792,699720,6212,699720
342,800,699720,6212,699720
343,802,700720,6212,700720
343,802,701530,6212,701530
344,804,702180,6212,702180
344,804,702990,6212,702990
345,806,703990,6212,703990
345,806,704990,6212,704990
346,808,705990,6212,705990
346,808,705990,6212,705990
346,808,706310,6212,706310
346,808,706780,6212,706780
347,810,707590,6212,707590
347,810,708400,6212,708400
347,810,708870,6212,708870
348,812,709340,6212,709340
348,812,709340,6212,709340
348,812,709810,6212,709810
348,812,710810,6212,710810
349,814,711810,6212,711810
350,816,712810,6212,712810
350,816,713810,6212,713810
350,816,713810,6212,713810
350,816,713810,6212,713810
350,816,714810,6212,714810
351,818,715810,6212,715810
351,818,716810,6212,716810
352,820,717810,6212,717810
352,820,718620,6212,718620
353,822,719620,6212,719620
353,822,720620,6212,720620
354,824,721620,6212,721620
354,824,722620,6212,722620
355,826,723430,6212,723430
355,826,724430,6212,724430
356,828,725430,6212,725430
356,828,726430,6212,726430
357,830,727240,6212,727240
357,830,727240,6212,727240
357,830,728240,6212,728240
358,832,729240,6212,729240
358,832,729710,6212,729710
359,834,730300,6212,730300
359,834,731300,6212,731300
359,834,731300,6212,731300
360,836,732300,6212,732300
360,836,733300,6212,733300
361,838,734300,6212,734300
362,842,734300,6212,734300
362,842,735110,6212,735110
363,850,735110,6212,735110
363,850,735110,6212,735110
363,850,735110,6212,735110
363,850,735570,6212,735570
364,852,736570,6212,736570
364,852,737570,6212,737570
365,854,737790,6212,737790
365,854,738260,6212,738260
365,854,738260,6212,738260
365,854,738730,6212,738730
366,856,739730,6212,739730
366,856,739730,6212,739730
