ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
893681.42,15.15,2.46,539591.56,9.15
894833.34,15.17,2.48,539619.81,9.15
894639.84,15.17,2.48,539553.22,9.15
895723.73,15.19,2.5,539669.5,9.15
895839.0,15.2,2.5,539729.29,9.15
897726.21,15.23,2.54,540547.47,9.17
897885.22,15.23,2.54,540518.13,9.17
897952.09,15.23,2.54,540585.01,9.17
898197.11,15.24,2.55,540953.38,9.18
898062.01,15.24,2.55,540880.47,9.18
897411.05,15.24,2.55,540466.27,9.18
896884.69,15.23,2.54,539945.61,9.17
896506.16,15.23,2.54,539713.35,9.17
896207.72,15.23,2.54,538907.07,9.16
896038.73,15.23,2.53,538772.34,9.16
895872.63,15.23,2.54,538676.83,9.16
895222.63,15.22,2.53,538026.83,9.15
896029.6,15.24,2.54,538190.81,9.15
895410.95,15.23,2.53,537544.55,9.14
894602.29,15.22,2.52,536708.29,9.13
894847.31,15.22,2.53,536936.88,9.13
894571.71,15.22,2.53,536534.55,9.13
894193.18,15.21,2.52,536223.29,9.12
894058.09,15.21,2.52,536150.38,9.12
893407.12,15.21,2.52,535736.18,9.12
893370.76,15.21,2.52,535705.52,9.12
894796.72,15.24,2.55,536496.91,9.14
894860.36,15.24,2.55,536566.25,9.14
