ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
273,676,536000,6212,541150
273,676,537000,6212,542150
273,676,537470,6212,542620
273,676,537470,6212,542620
273,676,537580,6212,542730
274,678,538050,6212,543200
274,678,539050,6212,544200
274,678,539050,6212,544200
275,680,540050,6212,545200
275,680,541050,6212,546200
276,682,542050,6212,547200
276,682,543050,6212,548200
277,684,544050,6212,549200
277,684,545050,6212,550200
278,686,546050,6212,551200
278,686,546280,6212,551430
278,686,547280,6212,552430
279,688,548280,6212,553430
279,688,549090,6212,554240
280,696,550090,6212,555240
281,698,551090,6212,556240
281,698,551550,6212,556700
281,698,552550,6212,557700
282,700,553010,6212,558160
282,700,554010,6212,559160
282,700,554010,6212,559970
282,700,554010,6212,559970
282,700,555010,6212,560970
283,702,556010,6212,561970
283,702,557010,6212,562970
284,704,557820,6212,563780
284,704,558410,6212,564370
284,704,558880,6212,564840
285,706,559880,6212,565840
285,706,563880,6212,569840
285,706,563880,6212,569840
285,706,564350,6212,570310
285,706,564350,6212,570310
285,706,564670,6212,570630
285,706,565480,6212,571440
286,708,566480,6212,572440
286,708,567480,6212,573440
286,708,567480,6212,573440
287,710,568480,6212,574440
287,710,568710,6212,574670
288,718,569710,6212,575670
288,718,570710,6212,576670
289,720,571710,6212,577670
289,720,571710,6212,577670
289,720,572710,6212,578670
289,720,573180,6212,579140
290,722,573830,6212,579790
290,722,574830,6212,580790
290,722,575830,6212,581790
290,722,575830,6212,581790
291,724,576830,6212,582790
291,724,577300,6212,583260
291,724,577620,6212,583580
291,724,578430,6212,584390
292,726,579240,6212,585200
292,726,579710,6212,585670
292,726,580710,6212,586670
292,726,580710,6212,586670
293,728,581710,6212,587670
293,728,582710,6212,588670
294,730,583710,6212,589670
294,730,584710,6212,590670
294,730,584930,6212,590890
295,732,585930,6212,591890
295,732,586930,6212,592890
295,732,587930,6212,593890
296,734,588740,6212,594700
296,734,588740,6212,594700
296,734,589200,6212,595160
296,734,589420,6212,595380
297,736,590420,6212,596380
297,736,591420,6212,597380
298,738,591890,6212,597850
298,738,592890,6212,598850
299,740,593890,6212,599850
299,740,594890,6212,600850
300,748,602890,6212,608850
300,748,603210,6212,609170
301,750,603760,6212,609720
301,750,604760,6212,610720
301,750,604760,6212,610720
302,752,605760,6212,611720
302,752,606570,6212,612530
302,752,607040,6212,613000
303,754,607850,6212,613810
303,754,608850,6212,614810
303,754,609070,6212,615030
304,756,610070,6212,616030
304,756,610540,6212,616500
305,758,611350,6212,617310
305,758,612350,6212,618310
305,758,612350,6212,619120
305,758,612670,6212,619440
305,758,612670,6212,619440
306,760,613480,6212,620250
306,760,614290,6212,621060
306,760,614290,6212,621060
306,760,614290,6212,621060
307,762,615100,6212,621870
307,762,616100,6212,622870
307,762,616100,6212,623680
308,764,616420,6212,624000
308,764,617230,6212,624810
309,766,618230,6212,625810
309,766,619040,6212,626620
310,768,620040,6212,627620
310,768,621040,6212,628620
310,768,621360,6212,628940
311,770,622360,6212,629940
311,770,622820,6212,630400
312,772,623820,6212,631400
312,772,624630,6212,632210
313,774,625630,6212,633210
313,774,626630,6212,634210
313,774,627630,6212,635210
313,774,627630,6212,635210
313,774,628440,6212,636020
313,774,629440,6212,637020
313,774,629440,6212,637020
314,776,630440,6212,638020
314,776,631250,6212,638830
314,776,632250,6212,639830
314,776,633250,6212,640830
315,778,634250,6212,641830
315,778,635060,6212,642640
315,778,635870,6212,643450
315,778,636090,6212,643670
316,786,637090,6212,644670
316,786,637550,6212,645130
317,788,638360,6212,645940
317,788,639360,6212,646940
318,790,640360,6212,647940
318,790,641360,6212,648940
318,790,642360,6212,649940
319,792,643360,6212,650940
319,792,644360,6212,651940
319,792,644360,6212,651940
319,792,644360,6212,651940
319,792,645360,6212,652940
319,792,646360,6212,653940
319,792,647360,6212,654940
319,792,648360,6212,655940
319,792,649360,6212,656940
319,792,649360,6212,656940
319,792,649360,6212,656940
319,792,650360,6212,657940
319,792,651170,6212,658750
319,792,652170,6212,659750
319,792,652980,6212,660560
319,792,652980,6212,660560
319,792,653980,6212,661560
320,794,654980,6212,662560
320,794,655980,6212,663560
321,796,656980,6212,664560
321,796,656980,6212,664560
321,796,657980,6212,665560
321,796,658790,6212,666370
322,798,659790,6212,667370
323,806,660790,6212,668370
323,806,661790,6212,669370
324,808,662790,6212,670370
324,808,663790,6212,671370
325,810,664440,6212,672020
325,810,665440,6212,673020
326,812,666440,6212,674020
326,812,667440,6212,675020
326,812,667440,6212,675830
327,814,668440,6212,676830
327,814,668760,6212,677150
327,814,669760,6212,678150
328,816,670760,6212,679150
