ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
291,642,507500,6212,507500
292,644,508310,6212,508310
292,644,509310,6212,509310
293,646,510310,6212,510310
293,646,511310,6212,511310
294,650,515310,6212,515310
295,652,516310,6212,516310
295,652,517120,6212,517120
295,652,517120,6212,517120
296,654,518120,6212,518120
296,654,519120,6212,519120
296,654,519340,6212,519340
297,656,520150,6212,520150
297,656,521150,6212,521150
298,658,522150,6212,522150
298,658,522620,6212,522620
298,658,523620,6212,523620
299,660,524620,6212,524620
299,660,525620,6212,525620
299,660,525850,6212,525850
300,662,526320,6212,526320
300,662,526780,6212,526780
300,662,527780,6212,527780
301,664,528590,6212,528590
301,664,528590,6212,528590
301,664,528590,6212,528590
301,664,529590,6212,529590
301,664,529590,6212,529590
302,666,530240,6212,530240
302,666,530560,6212,530560
302,666,531370,6212,531370
303,668,531600,6212,531600
303,668,532600,6212,532600
304,670,533600,6212,533600
304,670,533920,6212,533920
304,670,534730,6212,534730
305,672,535730,6212,535730
305,672,536730,6212,536730
306,674,537540,6212,537540
306,674,538190,6212,538190
307,676,539190,6212,539190
307,676,539840,6212,539840
307,676,540160,6212,540160
308,678,541160,6212,541160
308,678,541480,6212,541480
308,678,542480,6212,542480
309,680,543480,6212,543480
309,680,543950,6212,543950
310,682,544760,6212,544760
310,682,545760,6212,545760
311,684,546570,6212,546570
311,684,547570,6212,547570
312,686,548380,6212,548380
312,686,549380,6212,549380
312,686,549850,6212,549850
313,688,550500,6212,550500
313,688,551310,6212,551310
314,690,551770,6212,551770
314,690,552420,6212,552420
315,692,553420,6212,553420
315,692,554420,6212,554420
316,694,555420,6212,555420
316,694,555890,6212,555890
316,694,556700,6212,556700
317,696,557700,6212,557700
317,696,558700,6212,558700
318,698,559700,6212,559700
318,698,559860,6212,559860
318,698,560860,6212,560860
318,698,561180,6212,561180
319,700,562180,6212,562180
319,700,563180,6212,563180
319,700,563400,6212,563400
320,702,564400,6212,564400
320,702,565400,6212,565400
321,704,566400,6212,566400
321,704,567400,6212,567400
322,706,568210,6212,568210
322,706,568440,6212,568440
322,706,568910,6212,568910
323,708,569910,6212,569910
323,708,570910,6212,570910
323,708,571140,6212,571140
324,710,572140,6212,572140
324,710,573140,6212,573140
325,712,574140,6212,574140
325,712,574140,6212,574140
325,712,574690,6212,574690
326,714,575690,6212,575690
326,714,576690,6212,576690
327,716,577500,6212,577500
327,716,578500,6212,578500
328,718,578970,6212,578970
328,718,579620,6212,579620
329,720,580620,6212,580620
329,720,581620,6212,581620
330,722,582620,6212,582620
330,722,583620,6212,583620
331,724,584620,6212,584620
331,724,585620,6212,585620
332,726,586430,6212,586430
332,726,586430,6212,586430
332,726,586910,6212,586910
332,726,587910,6212,587910
333,728,588370,6212,588370
333,728,589370,6212,589370
334,730,590370,6212,590370
334,730,591180,6212,591180
334,730,591180,6212,591180
335,732,592180,6212,592180
335,732,593180,6212,593180
336,734,594180,6212,594180
336,734,594180,6212,594180
336,734,594180,6212,594180
336,734,595180,6212,595180
337,736,596180,6212,596180
337,736,597180,6212,597180
338,738,598180,6212,598180
338,738,599180,6212,599180
339,740,600180,6212,600180
339,740,600500,6212,600500
339,740,601500,6212,601500
339,740,601500,6212,601500
340,748,609500,6212,609500
340,748,609970,6212,609970
340,748,609970,6212,609970
341,750,610970,6212,610970
