ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
842089.28,14.08,0.49,210848.83,3.53
841913.69,14.08,0.49,210956.37,3.53
841964.14,14.08,0.49,211333.94,3.53
842014.59,14.08,0.49,211225.15,3.53
841748.98,14.08,0.49,210969.27,3.53
840661.72,14.08,0.49,210968.85,3.53
840417.13,14.08,0.49,210683.01,3.53
840267.97,14.07,0.48,210525.23,3.53
840002.38,14.07,0.48,210225.76,3.52
840052.83,14.07,0.48,210212.86,3.52
840232.54,14.08,0.49,211424.36,3.54
840122.9,14.08,0.49,211210.2,3.54
840122.9,14.08,0.49,211218.55,3.54
840173.35,14.08,0.49,211519.46,3.54
840173.35,14.08,0.49,211395.17,3.54
840359.01,14.08,0.49,211372.14,3.54
840518.69,14.09,0.5,211975.44,3.55
840569.14,14.09,0.5,212008.1,3.55
840569.14,14.09,0.5,212008.1,3.55
840619.58,14.09,0.5,212096.31,3.56
840378.02,14.09,0.5,211797.72,3.55
840378.02,14.09,0.5,211782.17,3.55
840242.11,14.09,0.5,211644.75,3.55
839976.52,14.09,0.5,211450.04,3.55
840026.97,14.09,0.5,212006.58,3.56
840265.66,14.09,0.5,211503.86,3.55
840460.29,14.1,0.51,211475.65,3.55
840460.29,14.1,0.51,211475.65,3.55
840640.0,14.1,0.51,211475.23,3.55
840640.0,14.1,0.51,211466.35,3.55
840504.09,14.1,0.51,211487.57,3.55
840551.45,14.11,0.52,211439.75,3.55
840601.9,14.11,0.52,211432.93,3.55
840652.35,14.11,0.52,211425.62,3.55
840891.04,14.12,0.53,211418.53,3.55
840941.49,14.12,0.53,211418.53,3.55
840991.94,14.12,0.53,212368.27,3.57
840747.34,14.12,0.53,211894.63,3.56
840501.73,14.12,0.53,211418.53,3.55
840365.82,14.12,0.53,212369.99,3.57
840229.92,14.12,0.53,212222.68,3.57
840389.59,14.12,0.53,212514.38,3.57
840440.04,14.12,0.53,212514.33,3.57
840440.04,14.12,0.53,212463.08,3.57
840304.14,14.12,0.53,212470.7,3.57
840445.16,14.13,0.54,213696.73,3.59
840384.62,14.13,0.54,213407.26,3.59
840248.71,14.13,0.54,213399.27,3.59
840299.16,14.13,0.54,213399.27,3.59
840478.87,14.13,0.54,213399.27,3.59
840478.87,14.13,0.54,213460.77,3.59
840213.28,14.13,0.54,213199.07,3.59
840054.6,14.13,0.54,213400.1,3.59
840234.31,14.13,0.54,213389.85,3.59
840234.31,14.13,0.54,213291.83,3.59
839978.69,14.13,0.54,213149.24,3.59
839978.69,14.13,0.54,213298.21,3.59
840164.36,14.13,0.54,214190.3,3.6
840130.92,14.13,0.54,213908.12,3.6
840181.37,14.14,0.55,214164.0,3.6
840377.94,14.14,0.55,214163.58,3.6
840242.03,14.14,0.55,214184.74,3.6
840292.48,14.14,0.55,214177.19,3.6
840342.93,14.15,0.56,214169.38,3.61
840342.93,14.15,0.56,214194.68,3.61
840342.93,14.15,0.56,214194.68,3.61
840216.43,14.15,0.55,214195.27,3.61
840080.52,14.15,0.55,215076.61,3.62
840130.97,14.15,0.56,214963.93,3.62
840181.42,14.15,0.56,215046.35,3.62
840231.87,14.15,0.56,215265.87,3.63
