ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1611579.04,26.81,1.24,256459.57,4.27
1611323.3,26.81,1.24,256415.8,4.27
1611397.17,26.81,1.24,256653.34,4.27
1611397.17,26.81,1.24,256648.82,4.27
1611397.17,26.81,1.24,256645.94,4.27
1611341.2,26.82,1.24,256126.99,4.26
1611341.2,26.82,1.24,256126.99,4.26
1611085.47,26.82,1.24,256126.99,4.26
1610932.11,26.82,1.24,255900.53,4.26
1610876.15,26.82,1.25,255381.58,4.25
1610620.41,26.82,1.25,255337.81,4.25
1610778.91,26.82,1.25,255431.0,4.25
1610024.28,26.82,1.24,254676.37,4.24
1609957.4,26.82,1.25,254765.49,4.24
1609701.66,26.82,1.25,254765.49,4.24
1609445.92,26.82,1.25,254773.42,4.25
1609379.04,26.82,1.25,254921.06,4.25
1609123.3,26.82,1.25,254869.36,4.25
1609123.3,26.82,1.25,257115.74,4.29
1609067.34,26.83,1.25,256596.79,4.28
1608811.6,26.83,1.25,256572.0,4.28
1608512.0,26.82,1.25,256409.69,4.28
1608256.26,26.82,1.25,256362.87,4.28
1608000.52,26.82,1.25,256376.46,4.28
1607660.96,26.82,1.24,256046.25,4.27
1607405.22,26.82,1.24,255988.89,4.27
1607149.48,26.82,1.24,255928.06,4.27
1606893.74,26.82,1.24,255917.27,4.27
1606638.0,26.82,1.25,255930.86,4.27
1606382.26,26.82,1.25,255873.5,4.27
1604336.35,26.82,1.25,255866.1,4.28
1604336.35,26.82,1.25,256701.86,4.29
1604080.62,26.82,1.25,256700.27,4.29
1604382.82,26.83,1.25,258025.17,4.31
1604127.08,26.83,1.25,257983.0,4.31
1603871.34,26.83,1.25,257939.23,4.31
1603871.34,26.83,1.25,257939.23,4.31
1603871.34,26.83,1.25,257939.23,4.31
1603717.99,26.83,1.25,257712.77,4.31
1603717.99,26.83,1.25,257712.77,4.31
1603717.99,26.83,1.25,257712.77,4.31
1603462.25,26.83,1.25,257712.77,4.31
1603395.37,26.83,1.26,257801.89,4.31
1606305.11,26.88,1.31,258323.65,4.32
1606049.37,26.88,1.31,258279.88,4.32
1605982.49,26.88,1.31,258511.36,4.33
1605726.75,26.88,1.31,258511.36,4.33
1605659.87,26.88,1.31,258600.48,4.33
1605404.13,26.88,1.31,258556.71,4.33
1605593.58,26.89,1.32,258844.47,4.34
1605082.1,26.89,1.32,258800.7,4.34
1605082.1,26.89,1.32,258800.7,4.34
1605082.1,26.89,1.32,258800.7,4.34
1605026.14,26.89,1.32,258281.76,4.33
1604640.95,26.89,1.31,258099.12,4.32
1604532.09,26.89,1.31,258046.71,4.32
1604276.35,26.89,1.31,258046.71,4.32
1604123.0,26.89,1.31,257820.25,4.32
1604264.19,26.9,1.32,257442.49,4.32
1604264.19,26.9,1.32,257442.49,4.32
1604264.19,26.9,1.32,257442.49,4.32
1604046.56,26.89,1.32,257233.64,4.31
1604120.43,26.9,1.32,257255.32,4.31
1603864.69,26.9,1.32,257211.55,4.31
1603797.81,26.9,1.33,257516.53,4.32
1603987.26,26.91,1.33,257588.89,4.32
1603987.26,26.91,1.33,257588.89,4.32
1603731.52,26.91,1.33,257588.89,4.32
1603731.52,26.91,1.33,257666.07,4.32
1603731.52,26.91,1.33,257666.07,4.32
1603872.7,26.91,1.34,257288.31,4.32
1603872.7,26.91,1.34,257246.05,4.32
1603872.7,26.91,1.34,257203.73,4.32
1604027.26,26.92,1.35,256889.56,4.31
1603299.05,26.91,1.34,256161.35,4.3
1602999.45,26.91,1.33,255999.04,4.3
1602932.56,26.91,1.34,256303.58,4.3
1602676.82,26.91,1.34,256317.17,4.3
1602421.09,26.91,1.34,256259.81,4.3
1602165.35,26.91,1.34,256216.04,4.3
1601909.61,26.91,1.34,256216.04,4.3
1602064.17,26.92,1.34,255891.4,4.3
1602064.17,26.92,1.34,260770.4,4.38
1602755.94,26.93,1.36,262810.38,4.42
1602370.75,26.93,1.35,262627.74,4.41
1602303.87,26.93,1.35,262716.86,4.42
1602471.46,26.94,1.36,262365.52,4.41
1602215.73,26.94,1.36,262321.75,4.41
1602289.59,26.94,1.37,262559.28,4.41
1602033.85,26.94,1.37,262559.28,4.42
1602033.85,26.94,1.37,262559.28,4.42
1601734.25,26.94,1.36,262396.98,4.41
1601478.51,26.94,1.36,262353.21,4.41
1601478.51,26.94,1.36,262353.21,4.41
1601606.82,26.94,1.37,262309.44,4.41
1601351.08,26.94,1.37,262309.44,4.41
1600622.87,26.93,1.36,261581.23,4.4
1605885.18,27.02,1.45,262662.25,4.42
1605885.18,27.02,1.45,262662.25,4.42
1605885.18,27.02,1.45,262662.25,4.42
1605143.59,27.02,1.44,261870.45,4.41
1605143.59,27.02,1.44,261870.45,4.41
1604402.01,27.01,1.43,261089.11,4.39
1602356.1,27.01,1.44,261081.71,4.4
1602545.55,27.01,1.44,261872.97,4.41
1602289.81,27.01,1.44,261829.2,4.41
1602034.07,27.01,1.44,261829.2,4.42
1601648.88,27.01,1.44,261408.97,4.41
1601648.88,27.01,1.44,261486.16,4.41
1601393.14,27.01,1.44,261499.75,4.41
1601137.4,27.01,1.44,261442.39,4.41
1600881.66,27.01,1.44,261455.98,4.41
1600370.18,27.01,1.44,261412.21,4.41
1600303.3,27.01,1.44,261501.33,4.41
1600047.56,27.01,1.44,261443.97,4.41
1599791.83,27.01,1.44,261457.56,4.42
1599724.94,27.02,1.44,261605.2,4.42
1599724.94,27.02,1.44,262413.32,4.43
1599469.2,27.02,1.44,262355.96,4.43
1599213.47,27.02,1.44,262284.34,4.43
1605167.56,27.12,1.54,269391.64,4.55
1604911.82,27.12,1.54,269391.64,4.55
1604855.85,27.12,1.55,268872.69,4.54
1604855.85,27.12,1.55,268872.69,4.54
1604855.85,27.12,1.55,268872.69,4.54
1604864.79,27.12,1.55,268825.67,4.54
1604797.91,27.13,1.55,268892.47,4.55
1604731.02,27.13,1.56,269120.25,4.55
1605273.9,27.14,1.57,269198.54,4.55
1605018.16,27.14,1.57,269154.77,4.55
1605018.16,27.14,1.57,269154.77,4.55
1604762.42,27.14,1.57,269154.77,4.55
1604506.68,27.14,1.57,269111.0,4.55
1604506.68,27.14,1.57,269111.0,4.55
1604250.94,27.14,1.57,269111.0,4.55
1604250.94,27.14,1.57,269111.0,4.55
1603496.32,27.13,1.56,268356.38,4.54
1603570.18,27.14,1.56,268378.06,4.54
1603314.45,27.14,1.56,268334.29,4.54
1602994.45,27.13,1.56,268014.29,4.54
1602994.45,27.13,1.56,268014.29,4.54
1603183.9,27.14,1.57,268462.97,4.54
1603183.9,27.14,1.57,268462.97,4.54
1602928.16,27.14,1.57,268462.97,4.55
1602723.03,27.14,1.56,268318.99,4.54
1602467.29,27.14,1.56,268332.58,4.54
1602082.1,27.13,1.56,268190.8,4.54
1601641.75,27.13,1.56,267686.74,4.53
1601831.2,27.14,1.56,267759.09,4.54
1601575.47,27.14,1.56,267701.73,4.54
1601200.28,27.13,1.56,267735.98,4.54
1601133.39,27.13,1.56,267816.73,4.54
1600877.65,27.13,1.56,267830.32,4.54
1601067.11,27.14,1.57,267916.25,4.54
1600811.37,27.14,1.57,267858.89,4.54
