ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1457820.0,24.51,0.41,416935.11,7.01
1457641.58,24.51,0.41,416762.53,7.01
1457631.58,24.52,0.41,417037.16,7.01
1457788.74,24.52,0.42,416955.84,7.01
1457494.0,24.52,0.42,417533.09,7.02
1457199.26,24.52,0.42,417544.87,7.03
1456999.26,24.52,0.42,417446.09,7.03
1456704.53,24.52,0.42,417271.82,7.02
1456704.53,24.52,0.42,417271.82,7.02
1456926.11,24.53,0.42,417600.24,7.03
1456639.47,24.52,0.42,417728.5,7.03
1456672.63,24.53,0.43,417889.72,7.04
1456672.63,24.53,0.43,417889.72,7.04
1456377.89,24.53,0.43,417770.11,7.04
1456083.16,24.52,0.43,417672.71,7.03
1455988.95,24.53,0.43,417223.84,7.03
1456122.63,24.53,0.43,417348.87,7.03
1455880.53,24.53,0.43,417806.63,7.04
1455596.32,24.53,0.43,417163.27,7.03
1455227.89,24.53,0.43,416800.68,7.03
1455133.68,24.53,0.43,416351.81,7.02
1454765.26,24.53,0.43,415984.74,7.01
1452828.42,24.53,0.43,415683.17,7.02
1452734.21,24.53,0.43,415234.3,7.01
1452534.21,24.53,0.43,415141.29,7.01
1452755.79,24.54,0.44,415086.02,7.01
1452387.37,24.53,0.44,414718.94,7.01
1452124.21,24.53,0.44,414628.82,7.01
1452281.37,24.54,0.44,415082.48,7.01
1451997.16,24.54,0.44,414460.02,7.0
1451818.74,24.54,0.44,414266.53,7.0
1451851.89,24.54,0.45,414506.09,7.01
1451651.89,24.54,0.45,414924.01,7.01
1451357.16,24.54,0.45,415105.43,7.02
1451062.42,24.54,0.45,415117.22,7.02
1450757.16,24.54,0.45,414515.92,7.01
2005476.21,33.93,0.33,186528.28,3.16
2005044.63,33.93,0.33,186168.77,3.15
2004718.32,33.93,0.33,185473.4,3.14
2004392.0,33.93,0.33,185353.77,3.14
2003972.21,33.92,0.33,184841.82,3.13
2003624.84,33.92,0.33,184979.51,3.13
2003624.84,33.92,0.33,184979.51,3.13
2003298.53,33.92,0.33,184873.32,3.13
2003298.53,33.92,0.33,184873.32,3.13
2003014.32,33.92,0.33,184859.58,3.13
2002666.95,33.92,0.33,184877.1,3.13
2002666.95,33.92,0.33,184877.1,3.13
2002382.74,33.92,0.33,184860.23,3.13
2002183.58,33.92,0.33,184625.63,3.13
2001836.21,33.92,0.33,184599.05,3.13
2001488.84,33.92,0.33,184594.0,3.13
2001488.84,33.92,0.33,184594.0,3.13
2001488.84,33.92,0.33,184594.0,3.13
2001640.84,33.93,0.33,185272.42,3.14
2001282.95,33.93,0.33,185075.58,3.14
2001115.05,33.93,0.34,184585.71,3.13
2001115.05,33.93,0.34,184585.71,3.13
2000757.16,33.93,0.34,184919.61,3.14
2000539.47,33.93,0.33,184741.29,3.13
2000192.11,33.93,0.33,184031.48,3.12
2000024.21,33.93,0.34,183624.62,3.11
1999687.37,33.93,0.34,183570.49,3.11
1999880.63,33.93,0.34,183511.64,3.11
1999712.74,33.94,0.34,183868.8,3.12
1999618.53,33.94,0.35,184506.87,3.13
1999602.74,33.94,0.35,185151.23,3.14
1999255.37,33.94,0.35,185125.2,3.14
1999056.21,33.94,0.35,184989.36,3.14
1998719.37,33.94,0.35,184668.16,3.14
1998393.05,33.94,0.35,184496.76,3.13
1998035.16,33.94,0.35,184729.98,3.14
1997708.84,33.94,0.35,184155.22,3.13
1997290.0,33.94,0.34,183851.53,3.12
1996882.53,33.93,0.34,183467.32,3.12
1996535.16,33.93,0.34,183813.8,3.12
1996250.95,33.93,0.34,183785.8,3.12
1995903.58,33.93,0.34,183670.6,3.12
1995556.21,33.93,0.34,183612.04,3.12
1995254.63,33.93,0.34,183370.09,3.12
1994907.26,33.93,0.34,183241.36,3.12
1994739.37,33.93,0.34,184028.62,3.13
1994571.47,33.93,0.34,183991.74,3.13
1994245.16,33.93,0.34,183818.86,3.13
1993897.79,33.93,0.34,182966.12,3.11
1993550.42,33.93,0.34,182956.65,3.11
1993382.53,33.93,0.34,183243.36,3.12
1993214.63,33.94,0.34,183189.28,3.12
