ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
913538.67,15.85,3.59,768400.27,13.33
913239.93,15.85,3.58,768174.44,13.33
913490.48,15.86,3.59,768160.91,13.33
913266.2,15.85,3.59,768189.75,13.34
913266.2,15.85,3.59,768189.75,13.34
913266.2,15.85,3.59,768189.75,13.34
912850.87,15.85,3.59,767828.46,13.33
911869.69,15.86,3.59,767089.17,13.34
911869.69,15.86,3.59,767089.17,13.34
911678.63,15.86,3.59,766904.48,13.34
911297.02,15.85,3.59,766587.88,13.33
911455.7,15.86,3.59,766790.73,13.34
911593.39,15.86,3.6,766685.03,13.34
911557.92,15.86,3.6,766870.41,13.34
911366.86,15.86,3.6,766615.06,13.34
911366.86,15.86,3.6,766615.06,13.34
911366.86,15.86,3.6,766615.06,13.34
911331.4,15.86,3.6,766694.92,13.35
911140.34,15.86,3.6,766520.03,13.34
911090.34,15.86,3.6,766471.13,13.34
910866.07,15.86,3.6,766284.73,13.34
910675.01,15.86,3.59,766025.07,13.34
910639.54,15.86,3.6,766109.24,13.34
910637.3,15.86,3.6,766049.81,13.34
910413.02,15.86,3.6,765913.46,13.34
910204.28,15.86,3.59,765709.85,13.34
910013.22,15.86,3.59,765457.93,13.34
910230.56,15.86,3.6,765789.85,13.35
910228.31,15.87,3.6,765730.41,13.35
909812.98,15.86,3.6,765369.12,13.35
909588.7,15.86,3.6,765232.77,13.35
909586.45,15.87,3.6,765173.34,13.35
909362.18,15.86,3.6,765057.29,13.35
909362.18,15.86,3.6,765057.29,13.35
909362.18,15.86,3.6,765057.29,13.35
909171.12,15.86,3.6,764797.62,13.34
908946.85,15.86,3.6,764696.0,13.35
908531.52,15.86,3.6,764334.7,13.34
908340.46,15.86,3.6,764159.81,13.34
908340.46,15.86,3.6,764159.81,13.34
908116.19,15.86,3.59,763973.41,13.34
907734.58,15.85,3.59,763592.12,13.34
907245.27,15.85,3.58,762847.1,13.33
906227.85,15.85,3.59,762035.69,13.33
906015.22,15.85,3.59,761422.9,13.32
906015.22,15.85,3.59,761422.9,13.32
906265.77,15.86,3.59,761409.37,13.32
906265.77,15.86,3.59,761409.37,13.32
906230.3,15.86,3.59,761573.22,13.33
905212.88,15.86,3.6,760761.82,13.33
905021.82,15.86,3.6,760577.12,13.33
905126.29,15.87,3.6,760724.13,13.33
904935.23,15.86,3.6,760464.46,13.33
903954.05,15.87,3.6,759725.18,13.34
903729.77,15.87,3.6,759623.55,13.34
903538.72,15.87,3.6,759371.63,13.34
903157.11,15.86,3.6,759104.5,13.33
902741.78,15.86,3.6,758743.21,13.33
902706.32,15.86,3.6,758819.64,13.33
902515.26,15.86,3.6,758564.3,13.33
902290.98,15.86,3.6,758458.35,13.33
902549.87,15.87,3.6,758316.64,13.33
902169.93,15.86,3.6,758376.69,13.33
902169.93,15.86,3.6,758376.69,13.33
902169.93,15.86,3.6,758376.69,13.33
901945.65,15.86,3.6,758167.06,13.33
901754.6,15.86,3.59,757907.39,13.33
901530.32,15.86,3.59,757805.77,13.33
901780.87,15.86,3.6,757792.23,13.33
901556.6,15.86,3.6,757821.08,13.33
901694.28,15.87,3.6,757715.38,13.33
901470.01,15.87,3.6,757783.39,13.34
901278.95,15.87,3.6,757598.7,13.34
901383.41,15.87,3.6,757745.7,13.34
901090.46,15.86,3.6,757456.25,13.34
900899.41,15.86,3.6,757271.56,13.33
900675.13,15.86,3.6,757094.96,13.33
900484.07,15.86,3.6,756952.82,13.33
900448.61,15.86,3.6,756899.18,13.33
899713.65,15.86,3.6,756251.18,13.33
899711.4,15.86,3.6,756191.74,13.33
899412.66,15.86,3.6,755965.91,13.33
898395.24,15.86,3.6,755154.51,13.34
898395.24,15.86,3.6,755154.51,13.34
898186.5,15.86,3.6,754950.9,13.33
897451.54,15.86,3.59,754302.91,13.33
897069.93,15.85,3.59,753986.31,13.33
897069.93,15.85,3.59,753986.31,13.33
897576.36,15.86,3.6,754069.83,13.33
897793.69,15.87,3.6,754279.59,13.33
897602.63,15.87,3.6,754104.7,13.33
897378.36,15.87,3.6,753918.3,13.33
897187.3,15.87,3.6,753658.63,13.33
896771.97,15.86,3.6,753297.34,13.33
896547.7,15.86,3.6,753195.71,13.33
896356.64,15.86,3.6,753020.82,13.33
896132.36,15.86,3.6,752834.42,13.33
895941.31,15.86,3.6,752649.73,13.32
895717.03,15.86,3.6,752473.13,13.32
895301.7,15.86,3.59,752111.84,13.32
894920.1,15.85,3.59,751844.71,13.32
