ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
314,792,576540,6212,580790
315,800,577540,6212,581790
315,800,577540,6212,581790
315,800,578540,6212,582790
316,802,579010,6212,583260
316,802,579330,6212,583580
316,802,580140,6212,584390
316,802,580140,6212,585200
316,802,580140,6212,585670
316,802,581140,6212,586670
316,802,581140,6212,586670
317,810,582140,6212,587670
317,810,583140,6212,588670
318,812,584140,6212,589670
318,812,585140,6212,590670
318,812,585360,6212,590890
319,814,586360,6212,591890
319,814,587360,6212,592890
319,814,588360,6212,593890
319,814,589170,6212,594700
319,814,589170,6212,594700
319,814,589630,6212,595160
319,814,589850,6212,595380
319,814,590850,6212,596380
320,816,591850,6212,597380
320,816,592320,6212,597850
320,816,593320,6212,598850
320,816,594320,6212,599850
320,816,595320,6212,600850
321,824,603320,6212,608850
321,824,603640,6212,609170
321,824,603640,6212,609720
321,824,604640,6212,610720
321,824,604640,6212,610720
322,826,605640,6212,611720
322,826,605640,6212,612530
322,826,606110,6212,613000
323,828,606920,6212,613810
323,828,607920,6212,614810
323,828,608140,6212,615030
324,830,609140,6212,616030
324,830,609610,6212,616500
324,830,610420,6212,617310
325,832,611420,6212,618310
325,832,612230,6212,619120
325,832,612550,6212,619440
325,832,612550,6212,619440
326,834,613360,6212,620250
326,834,614170,6212,621060
326,834,614170,6212,621060
326,834,614170,6212,621060
327,836,614980,6212,621870
328,844,615980,6212,622870
328,844,615980,6212,623680
328,844,616300,6212,624000
328,844,617110,6212,624810
329,846,618110,6212,625810
329,846,618110,6212,626620
329,846,619110,6212,627620
329,846,620110,6212,628620
329,846,620110,6212,628940
330,848,621110,6212,629940
330,848,621570,6212,630400
331,850,622570,6212,631400
331,850,623380,6212,632210
332,852,624380,6212,633210
332,852,625380,6212,634210
333,854,626380,6212,635210
333,854,626380,6212,635210
333,854,627190,6212,636020
333,854,628190,6212,637020
333,854,628190,6212,637020
334,856,629190,6212,638020
334,856,630000,6212,638830
335,858,631000,6212,639830
335,858,632000,6212,640830
335,858,633000,6212,641830
336,860,633810,6212,642640
336,860,634620,6212,643450
336,860,634840,6212,643670
337,868,635840,6212,644670
337,868,636300,6212,645130
337,868,636300,6212,645940
338,870,637300,6212,646940
338,870,638300,6212,647940
338,870,639300,6212,648940
339,872,640300,6212,649940
339,872,641300,6212,650940
340,874,642300,6212,651940
340,874,642300,6212,651940
340,874,642300,6212,651940
340,874,643300,6212,652940
340,874,644300,6212,653940
341,876,645300,6212,654940
341,876,646300,6212,655940
341,876,647300,6212,656940
341,876,647300,6212,656940
341,876,647300,6212,656940
342,878,648300,6212,657940
342,878,649110,6212,658750
342,878,650110,6212,659750
342,878,650110,6212,660560
342,878,650110,6212,660560
343,880,651110,6212,661560
343,880,652110,6212,662560
344,882,653110,6212,663560
344,882,654110,6212,664560
344,882,654110,6212,664560
344,882,655110,6212,665560
345,884,655920,6212,666370
345,884,656920,6212,667370
346,886,657920,6212,668370
346,886,658920,6212,669370
346,886,659920,6212,670370
347,894,660920,6212,671370
348,896,661570,6212,672020
348,896,662570,6212,673020
