ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
242,548,426050,6212,426050
242,548,426270,6212,426270
242,548,426920,6212,426920
243,550,427920,6212,427920
243,550,428920,6212,428920
244,552,429920,6212,429920
245,554,430570,6212,430570
245,554,431380,6212,431380
245,554,432380,6212,432380
246,556,433030,6212,433030
247,558,433500,6212,433500
247,558,433500,6212,433500
247,558,434310,6212,434310
248,560,434780,6212,434780
249,562,435250,6212,435250
249,562,435720,6212,435720
250,564,436190,6212,436190
250,564,437000,6212,437000
251,566,438000,6212,438000
251,566,438320,6212,438320
251,566,439320,6212,439320
251,566,440130,6212,440130
251,566,440600,6212,440600
252,568,441600,6212,441600
252,568,441920,6212,441920
252,568,442730,6212,442730
252,568,442890,6212,442890
252,568,443890,6212,443890
253,570,444540,6212,444540
253,570,444540,6212,444540
253,570,445540,6212,445540
253,570,446010,6212,446010
254,572,447010,6212,447010
254,572,447330,6212,447330
254,572,448330,6212,448330
255,574,449330,6212,449330
255,574,449700,6212,449700
256,576,450700,6212,450700
256,576,451700,6212,451700
257,578,452700,6212,452700
257,578,453700,6212,453700
257,578,454700,6212,454700
258,580,455700,6212,455700
258,580,456700,6212,456700
258,580,456700,6212,456700
258,580,456700,6212,456700
258,580,456930,6212,456930
259,582,457930,6212,457930
259,582,457930,6212,457930
260,584,458250,6212,458250
260,584,458720,6212,458720
261,586,459720,6212,459720
261,586,460720,6212,460720
262,588,461720,6212,461720
263,590,462530,6212,462530
263,590,463340,6212,463340
264,592,463820,6212,463820
265,594,464820,6212,464820
265,594,465820,6212,465820
266,596,466820,6212,466820
266,596,466820,6212,466820
267,598,467820,6212,467820
267,598,468820,6212,468820
267,598,469630,6212,469630
268,600,470630,6212,470630
269,602,471100,6212,471100
269,602,472100,6212,472100
269,602,472910,6212,472910
270,604,473720,6212,473720
271,606,474720,6212,474720
271,606,475720,6212,475720
271,606,476720,6212,476720
271,606,477530,6212,477530
271,606,477760,6212,477760
271,606,478760,6212,478760
271,606,478760,6212,478760
272,608,479760,6212,479760
273,610,479980,6212,479980
273,610,480450,6212,480450
273,610,481260,6212,481260
273,610,482260,6212,482260
274,612,483260,6212,483260
274,612,484260,6212,484260
275,614,485070,6212,485070
275,614,485660,6212,485660
276,616,486660,6212,486660
277,624,494660,6212,494660
278,626,495210,6212,495210
278,626,496020,6212,496020
278,626,496020,6212,496020
278,626,497020,6212,497020
279,628,498020,6212,498020
280,636,498020,6212,498020
280,636,499020,6212,499020
281,638,500020,6212,500020
281,638,500250,6212,500250
281,638,501250,6212,501250
281,638,501410,6212,501410
282,640,502410,6212,502410
282,640,503410,6212,503410
283,642,504410,6212,504410
284,644,504880,6212,504880
285,646,505350,6212,505350
285,646,505820,6212,505820
285,646,506820,6212,506820
285,646,507630,6212,507630
286,648,508630,6212,508630
286,648,509630,6212,509630
286,648,509950,6212,509950
287,650,510760,6212,510760
287,650,511080,6212,511080
287,650,511550,6212,511550
287,650,512360,6212,512360
288,652,512830,6212,512830
289,654,513830,6212,513830
290,656,514300,6212,514300
290,656,514300,6212,514300
290,656,514620,6212,514620
290,656,515620,6212,515620
291,658,516620,6212,516620
291,658,517430,6212,517430
291,658,518430,6212,518430
291,658,518900,6212,518900
292,660,519220,6212,519220
292,660,519690,6212,519690
292,660,520500,6212,520500
293,662,520970,6212,520970
294,664,521970,6212,521970
294,664,522970,6212,522970
295,666,523970,6212,523970
295,666,523970,6212,523970
296,668,524620,6212,524620
296,668,525620,6212,525620
296,668,526430,6212,526430
296,668,526430,6212,526430
296,668,527240,6212,527240
297,670,528240,6212,528240
297,670,529240,6212,529240
298,672,529710,6212,529710
298,672,529710,6212,529710
299,680,529710,6212,529710
300,682,530710,6212,530710
300,682,531710,6212,531710
301,684,532710,6212,532710
301,684,533710,6212,533710
302,686,534710,6212,534710
302,686,535030,6212,535030
302,686,536030,6212,536030
303,688,537030,6212,537030
303,688,537030,6212,537030
303,688,537030,6212,537030
303,688,538030,6212,538030
304,690,539030,6212,539030
304,690,539500,6212,539500
304,690,540500,6212,540500
304,690,540500,6212,540500
304,690,541150,6212,541150
305,692,542150,6212,542150
306,694,542620,6212,542620
306,694,542620,6212,542620
306,694,542730,6212,542730
306,694,543200,6212,543200
306,694,544200,6212,544200
306,694,544200,6212,544200
307,696,545200,6212,545200
307,696,546200,6212,546200
308,698,547200,6212,547200
308,698,548200,6212,548200
309,700,549200,6212,549200
309,700,550200,6212,550200
310,702,551200,6212,551200
310,702,551430,6212,551430
310,702,552430,6212,552430
311,704,553430,6212,553430
311,704,554240,6212,554240
311,704,555240,6212,555240
312,706,556240,6212,556240
313,708,556700,6212,556700
313,708,557700,6212,557700
313,708,558160,6212,558160
314,710,559160,6212,559160
314,710,559970,6212,559970
314,710,559970,6212,559970
314,710,560970,6212,560970
315,712,561970,6212,561970
315,712,562970,6212,562970
316,714,563780,6212,563780
316,714,564370,6212,564370
317,716,564840,6212,564840
318,718,565840,6212,565840
319,722,569840,6212,569840
319,722,569840,6212,569840
319,722,570310,6212,570310
319,722,570310,6212,570310
319,722,570630,6212,570630
319,722,571440,6212,571440
320,724,572440,6212,572440
320,724,573440,6212,573440
320,724,573440,6212,573440
321,726,574440,6212,574440
321,726,574670,6212,574670
321,726,575670,6212,575670
322,728,576670,6212,576670
322,728,577670,6212,577670
322,728,577670,6212,577670
323,730,578670,6212,578670
324,732,579140,6212,579140
325,734,579790,6212,579790
325,734,580790,6212,580790
325,734,581790,6212,581790
325,734,581790,6212,581790
326,736,582790,6212,582790
326,736,583260,6212,583260
326,736,583580,6212,583580
326,736,584390,6212,584390
327,738,585200,6212,585200
327,738,585670,6212,585670
327,738,586670,6212,586670
327,738,586670,6212,586670
328,740,587670,6212,587670
328,740,588670,6212,588670
329,742,589670,6212,589670
329,742,590670,6212,590670
329,742,590890,6212,590890
330,744,591890,6212,591890
330,744,592890,6212,592890
331,746,593890,6212,593890
331,746,594700,6212,594700
331,746,594700,6212,594700
332,748,595160,6212,595160
332,748,595380,6212,595380
333,750,596380,6212,596380
333,750,597380,6212,597380
333,750,597850,6212,597850
333,750,598850,6212,598850
334,752,599850,6212,599850
334,752,600850,6212,600850
335,760,608850,6212,608850
335,760,609170,6212,609170
336,762,609720,6212,609720
337,764,610720,6212,610720
337,764,610720,6212,610720
337,764,611720,6212,611720
337,764,612530,6212,612530
337,764,613000,6212,613000
338,766,613810,6212,613810
339,768,614810,6212,614810
339,768,615030,6212,615030
340,770,616030,6212,616030
340,770,616500,6212,616500
341,772,617310,6212,617310
341,772,618310,6212,618310
341,772,619120,6212,619120
341,772,619440,6212,619440
341,772,619440,6212,619440
342,774,620250,6212,620250
342,774,621060,6212,621060
342,774,621060,6212,621060
342,774,621060,6212,621060
343,776,621870,6212,621870
344,778,622870,6212,622870
344,778,623680,6212,623680
345,780,624000,6212,624000
345,780,624810,6212,624810
346,782,625810,6212,625810
347,784,626620,6212,626620
347,784,627620,6212,627620
347,784,628620,6212,628620
347,784,628940,6212,628940
348,786,629940,6212,629940
348,786,630400,6212,630400
348,786,631400,6212,631400
349,788,632210,6212,632210
350,790,633210,6212,633210
350,790,634210,6212,634210
351,792,635210,6212,635210
351,792,635210,6212,635210
351,792,636020,6212,636020
351,792,637020,6212,637020
351,792,637020,6212,637020
352,794,638020,6212,638020
353,796,638830,6212,638830
353,796,639830,6212,639830
354,798,640830,6212,640830
354,798,641830,6212,641830
354,798,642640,6212,642640
355,800,643450,6212,643450
355,800,643670,6212,643670
356,802,644670,6212,644670
356,802,645130,6212,645130
356,802,645940,6212,645940
357,804,646940,6212,646940
357,804,647940,6212,647940
358,806,648940,6212,648940
358,806,649940,6212,649940
358,806,650940,6212,650940
359,808,651940,6212,651940
359,808,651940,6212,651940
359,808,651940,6212,651940
359,808,652940,6212,652940
360,810,653940,6212,653940
360,810,654940,6212,654940
361,812,655940,6212,655940
361,812,656940,6212,656940
361,812,656940,6212,656940
361,812,656940,6212,656940
362,814,657940,6212,657940
363,816,658750,6212,658750
363,816,659750,6212,659750
363,816,660560,6212,660560
363,816,660560,6212,660560
364,818,661560,6212,661560
364,818,662560,6212,662560
365,820,663560,6212,663560
365,820,664560,6212,664560
365,820,664560,6212,664560
366,822,665560,6212,665560
367,824,666370,6212,666370
367,824,667370,6212,667370
368,826,668370,6212,668370
368,826,669370,6212,669370
369,828,670370,6212,670370
369,828,671370,6212,671370
369,828,672020,6212,672020
370,830,673020,6212,673020
370,830,674020,6212,674020
371,832,675020,6212,675020
372,834,675830,6212,675830
373,836,676830,6212,676830
373,836,677150,6212,677150
373,836,678150,6212,678150
374,838,679150,6212,679150
374,838,680150,6212,680150
374,838,680150,6212,680150
375,840,681150,6212,681150
375,840,682150,6212,682150
376,842,683150,6212,683150
376,842,684150,6212,684150
377,844,685150,6212,685150
377,844,685960,6212,685960
377,844,685960,6212,685960
378,852,685960,6212,685960
378,852,686960,6212,686960
379,854,687610,6212,687610
379,854,688610,6212,688610
380,856,689610,6212,689610
380,856,690200,6212,690200
380,856,690200,6212,690200
380,856,690430,6212,690430
381,858,691430,6212,691430
382,860,691890,6212,691890
382,860,692890,6212,692890
382,860,692890,6212,692890
383,862,693890,6212,693890
383,862,694260,6212,694260
383,862,695260,6212,695260
