ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
535,2625,521970,6212,521970
536,2627,522970,6212,522970
537,2629,523970,6212,523970
538,2637,523970,6212,523970
539,2645,524620,6212,524620
540,2653,525620,6212,525620
541,2655,526430,6212,526430
541,2655,526430,6212,526430
542,2663,527240,6212,527240
542,2663,528240,6212,528240
543,2665,529240,6212,529240
544,2667,529710,6212,529710
544,2667,529710,6212,529710
545,2675,529710,6212,529710
545,2675,530710,6212,530710
545,2675,531710,6212,531710
545,2675,532710,6212,532710
545,2675,533710,6212,533710
546,2677,534710,6212,534710
547,2679,535030,6212,535030
547,2679,536030,6212,536030
548,2681,537030,6212,537030
549,2689,537030,6212,537030
549,2689,537030,6212,537030
550,2693,538030,6212,538030
550,2693,539030,6212,539030
551,2701,539500,6212,539500
551,2701,540500,6212,540500
552,2709,540500,6212,540500
552,2709,541150,6212,541150
553,2711,542150,6212,542150
553,2711,542620,6212,542620
553,2711,542620,6212,542620
553,2711,542730,6212,542730
553,2711,543200,6212,543200
554,2713,544200,6212,544200
555,2715,544200,6212,544200
556,2723,545200,6212,545200
556,2723,546200,6212,546200
557,2725,547200,6212,547200
558,2727,548200,6212,548200
558,2727,549200,6212,549200
559,2729,550200,6212,550200
560,2737,551200,6212,551200
560,2737,551430,6212,551430
560,2737,552430,6212,552430
561,2745,553430,6212,553430
562,2747,554240,6212,554240
562,2747,555240,6212,555240
562,2747,556240,6212,556240
562,2747,556700,6212,556700
562,2747,557700,6212,557700
562,2747,558160,6212,558160
562,2747,559160,6212,559160
563,2749,559970,6212,559970
564,2757,559970,6212,559970
564,2757,560970,6212,560970
564,2757,561970,6212,561970
564,2757,562970,6212,562970
564,2757,563780,6212,563780
565,2758,564370,6212,564370
565,2758,564840,6212,564840
566,2766,565840,6212,565840
566,2766,569840,6212,569840
567,2768,569840,6212,569840
567,2768,570310,6212,570310
568,2770,570310,6212,570310
568,2770,570630,6212,570630
569,2772,571440,6212,571440
569,2772,572440,6212,572440
570,2780,573440,6212,573440
571,2782,573440,6212,573440
572,2790,574440,6212,574440
572,2790,574670,6212,574670
572,2790,575670,6212,575670
573,2798,576670,6212,576670
573,2798,577670,6212,577670
574,2806,577670,6212,577670
575,2808,578670,6212,578670
575,2808,579140,6212,579140
575,2808,579790,6212,579790
576,2816,580790,6212,580790
577,2824,581790,6212,581790
577,2824,581790,6212,581790
578,2832,582790,6212,582790
578,2832,583260,6212,583260
579,2840,583580,6212,583580
580,2842,584390,6212,584390
581,2844,585200,6212,585200
581,2844,585670,6212,585670
582,2846,586670,6212,586670
582,2846,586670,6212,586670
582,2846,587670,6212,587670
583,2854,588670,6212,588670
584,2856,589670,6212,589670
585,2858,590670,6212,590670
586,2860,590890,6212,590890
587,2862,591890,6212,591890
587,2862,592890,6212,592890
588,2866,593890,6212,593890
588,2866,594700,6212,594700
589,2874,594700,6212,594700
589,2874,595160,6212,595160
590,2882,595380,6212,595380
590,2882,596380,6212,596380
590,2882,597380,6212,597380
590,2882,597850,6212,597850
590,2882,598850,6212,598850
590,2882,599850,6212,599850
591,2890,600850,6212,600850
592,2898,608850,6212,608850
593,2900,609170,6212,609170
594,2902,609720,6212,609720
595,2910,610720,6212,610720
595,2910,610720,6212,610720
595,2910,611720,6212,611720
596,2912,612530,6212,612530
597,2914,613000,6212,613000
597,2914,613810,6212,613810
597,2914,614810,6212,614810
598,2922,615030,6212,615030
598,2922,616030,6212,616030
598,2922,616500,6212,616500
599,2924,617310,6212,617310
600,2926,618310,6212,618310
600,2926,619120,6212,619120
601,2930,619440,6212,619440
601,2930,619440,6212,619440
601,2930,620250,6212,620250
602,2938,621060,6212,621060
602,2938,621060,6212,621060
602,2938,621060,6212,621060
602,2938,621870,6212,621870
603,2946,622870,6212,622870
604,2948,623680,6212,623680
605,2956,624000,6212,624000
605,2956,624810,6212,624810
605,2956,625810,6212,625810
605,2956,626620,6212,626620
605,2956,627620,6212,627620
606,2964,628620,6212,628620
607,2966,628940,6212,628940
608,2968,629940,6212,629940
609,2976,630400,6212,630400
609,2976,631400,6212,631400
609,2976,632210,6212,632210
609,2976,633210,6212,633210
610,2978,634210,6212,634210
610,2978,635210,6212,635210
610,2978,635210,6212,635210
610,2978,636020,6212,636020
610,2978,637020,6212,637020
610,2978,637020,6212,637020
611,2980,638020,6212,638020
611,2980,638830,6212,638830
611,2980,639830,6212,639830
611,2980,640830,6212,640830
612,2988,641830,6212,641830
612,2988,642640,6212,642640
612,2988,643450,6212,643450
612,2988,643670,6212,643670
613,2992,644670,6212,644670
614,2994,645130,6212,645130
615,2996,645940,6212,645940
615,2996,646940,6212,646940
615,2996,647940,6212,647940
615,2996,648940,6212,648940
616,2998,649940,6212,649940
617,2999,650940,6212,650940
618,3001,651940,6212,651940
619,3003,651940,6212,651940
620,3011,651940,6212,651940
