ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
296,718,567900,6212,567900
296,718,568370,6212,568370
297,720,569020,6212,569020
297,720,569020,6212,569020
297,720,570020,6212,570020
298,722,570490,6212,570490
298,722,570810,6212,570810
298,722,570810,6212,570810
298,722,571810,6212,571810
299,724,572810,6212,572810
299,724,573810,6212,573810
300,726,574810,6212,574810
300,726,575810,6212,575810
301,728,576810,6212,576810
301,728,577810,6212,577810
302,730,578810,6212,578810
302,730,579620,6212,579620
303,732,580620,6212,580620
303,732,581430,6212,581430
303,732,581900,6212,581900
303,732,581900,6212,581900
304,734,582710,6212,582710
304,734,583710,6212,583710
304,734,583760,6212,583760
305,736,584760,6212,584760
305,736,585570,6212,585570
306,738,585890,6212,585890
306,738,586700,6212,586700
306,738,587350,6212,587350
307,740,588350,6212,588350
307,740,589350,6212,589350
308,742,590350,6212,590350
308,742,591350,6212,591350
309,744,592350,6212,592350
309,744,592350,6212,592350
309,744,593350,6212,593350
310,746,594160,6212,594160
310,746,594970,6212,594970
310,746,594970,6212,594970
310,746,594970,6212,594970
311,748,595970,6212,595970
311,748,596780,6212,596780
312,750,597780,6212,597780
312,750,598780,6212,598780
313,752,599250,6212,599250
313,752,600250,6212,600250
314,754,601250,6212,601250
314,754,601250,6212,601250
314,754,601720,6212,601720
314,754,602530,6212,602530
315,756,602760,6212,602760
315,756,602760,6212,602760
315,756,603570,6212,603570
316,758,604380,6212,604380
316,758,605380,6212,605380
317,760,606380,6212,606380
317,760,607380,6212,607380
318,762,608380,6212,608380
318,762,608840,6212,608840
318,762,609840,6212,609840
318,762,609840,6212,609840
319,770,617840,6212,617840
320,772,618300,6212,618300
320,772,618760,6212,618760
320,772,619230,6212,619230
320,772,619460,6212,619460
