ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
483,2385,447010,6212,447010
483,2385,447330,6212,447330
484,2393,448330,6212,448330
484,2393,449330,6212,449330
485,2401,449700,6212,449700
486,2409,450700,6212,450700
486,2409,451700,6212,451700
487,2413,452700,6212,452700
488,2421,453700,6212,453700
489,2429,454700,6212,454700
489,2429,455700,6212,455700
489,2429,456700,6212,456700
490,2437,456700,6212,456700
490,2437,456700,6212,456700
490,2437,456930,6212,456930
491,2439,457930,6212,457930
491,2439,457930,6212,457930
492,2441,458250,6212,458250
492,2441,458720,6212,458720
492,2441,459720,6212,459720
492,2441,460720,6212,460720
492,2441,461720,6212,461720
492,2441,462530,6212,462530
493,2449,463340,6212,463340
493,2449,463820,6212,463820
494,2457,464820,6212,464820
495,2465,465820,6212,465820
496,2473,466820,6212,466820
497,2481,466820,6212,466820
498,2489,467820,6212,467820
498,2489,468820,6212,468820
498,2489,469630,6212,469630
499,2491,470630,6212,470630
500,2493,471100,6212,471100
500,2493,472100,6212,472100
501,2501,472910,6212,472910
501,2501,473720,6212,473720
501,2501,474720,6212,474720
501,2501,475720,6212,475720
501,2501,476720,6212,476720
502,2509,477530,6212,477530
503,2511,477760,6212,477760
504,2519,478760,6212,478760
504,2519,478760,6212,478760
505,2527,479760,6212,479760
505,2527,479980,6212,479980
506,2529,480450,6212,480450
507,2531,481260,6212,481260
508,2533,482260,6212,482260
509,2535,483260,6212,483260
510,2537,484260,6212,484260
511,2539,485070,6212,485070
512,2541,485660,6212,485660
513,2549,486660,6212,486660
514,2557,494660,6212,494660
514,2557,495210,6212,495210
515,2565,496020,6212,496020
516,2567,496020,6212,496020
517,2569,497020,6212,497020
518,2577,498020,6212,498020
519,2579,498020,6212,498020
520,2581,499020,6212,499020
520,2581,500020,6212,500020
520,2581,500250,6212,500250
521,2583,501250,6212,501250
522,2591,501410,6212,501410
522,2591,502410,6212,502410
523,2599,503410,6212,503410
524,2603,504410,6212,504410
525,2611,504880,6212,504880
526,2613,505350,6212,505350
527,2615,505820,6212,505820
