ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
139,442,389520,6212,389520
139,442,389990,6212,389990
140,444,390990,6212,390990
140,444,391990,6212,391990
141,446,392990,6212,392990
141,446,393990,6212,393990
142,448,394800,6212,394800
142,448,395800,6212,395800
143,450,396800,6212,396800
143,450,397800,6212,397800
143,450,398030,6212,398030
143,450,398030,6212,398030
143,450,399030,6212,399030
144,452,399840,6212,399840
144,452,400840,6212,400840
145,454,401840,6212,401840
145,454,402160,6212,402160
146,456,403160,6212,403160
146,456,403160,6212,403160
146,456,404160,6212,404160
147,458,404970,6212,404970
147,458,405520,6212,405520
147,458,405520,6212,405520
147,458,405680,6212,405680
147,458,406000,6212,406000
148,460,406810,6212,406810
148,460,407280,6212,407280
148,460,408280,6212,408280
149,462,409090,6212,409090
149,462,409560,6212,409560
149,462,410020,6212,410020
150,464,411020,6212,411020
150,464,412020,6212,412020
151,466,413020,6212,413020
151,466,413240,6212,413240
151,466,413240,6212,413240
151,466,414240,6212,414240
152,474,422240,6212,422240
153,476,423240,6212,423240
153,476,424050,6212,424050
153,476,424050,6212,424050
154,478,425050,6212,425050
154,478,426050,6212,426050
155,480,426270,6212,426270
155,480,426920,6212,426920
155,480,427920,6212,427920
156,482,428920,6212,428920
156,482,429920,6212,429920
157,484,430570,6212,430570
157,484,431380,6212,431380
158,488,432380,6212,432380
158,488,433030,6212,433030
158,488,433500,6212,433500
158,488,433500,6212,433500
158,488,434310,6212,434310
158,488,434780,6212,434780
159,490,435250,6212,435250
159,490,435720,6212,435720
159,490,436190,6212,436190
160,492,437000,6212,437000
160,492,438000,6212,438000
160,492,438320,6212,438320
161,494,439320,6212,439320
161,494,440130,6212,440130
161,494,440600,6212,440600
162,496,441600,6212,441600
162,496,441920,6212,441920
162,496,442730,6212,442730
162,496,442890,6212,442890
163,498,443890,6212,443890
163,498,444540,6212,444540
163,498,444540,6212,444540
164,500,445540,6212,445540
164,500,446010,6212,446010
165,502,447010,6212,447010
165,502,447330,6212,447330
165,502,448330,6212,448330
166,510,449330,6212,449330
166,510,449700,6212,449700
166,510,450700,6212,450700
166,510,451700,6212,451700
166,510,452700,6212,452700
166,510,453700,6212,453700
166,510,454700,6212,454700
166,510,455700,6212,455700
166,510,456700,6212,456700
166,510,456700,6212,456700
166,510,456700,6212,456700
166,510,456930,6212,456930
167,518,457930,6212,457930
167,518,457930,6212,457930
167,518,458250,6212,458250
167,518,458720,6212,458720
167,518,459720,6212,459720
167,518,460720,6212,460720
167,518,461720,6212,461720
167,518,462530,6212,462530
167,518,463340,6212,463340
167,518,463820,6212,463820
167,518,464820,6212,464820
168,526,465820,6212,465820
168,526,466820,6212,466820
168,526,466820,6212,466820
168,526,467820,6212,467820
168,526,468820,6212,468820
168,526,469630,6212,469630
168,526,470630,6212,470630
168,526,471100,6212,471100
168,526,472100,6212,472100
169,534,472910,6212,472910
169,534,473720,6212,473720
169,534,474720,6212,474720
169,534,475720,6212,475720
169,534,476720,6212,476720
169,534,477530,6212,477530
169,534,477760,6212,477760
169,534,478760,6212,478760
169,534,478760,6212,478760
169,534,479760,6212,479760
169,534,479980,6212,479980
170,542,480450,6212,480450
170,542,481260,6212,481260
170,542,482260,6212,482260
170,542,483260,6212,483260
170,542,484260,6212,484260
170,542,485070,6212,485070
170,542,485660,6212,485660
170,542,486660,6212,486660
171,550,494660,6212,494660
172,558,495210,6212,495210
172,558,496020,6212,496020
172,558,496020,6212,496020
172,558,497020,6212,497020
172,558,498020,6212,498020
172,558,498020,6212,498020
172,558,499020,6212,499020
172,558,500020,6212,500020
172,558,500250,6212,500250
172,558,501250,6212,501250
172,558,501410,6212,501410
172,558,502410,6212,502410
173,566,503410,6212,503410
173,566,504410,6212,504410
173,566,504880,6212,504880
173,566,505350,6212,505350
173,566,505820,6212,505820
174,574,506820,6212,506820
174,574,507630,6212,507630
174,574,508630,6212,508630
174,574,509630,6212,509630
174,574,509950,6212,509950
174,574,510760,6212,510760
174,574,511080,6212,511080
174,574,511550,6212,511550
174,574,512360,6212,512360
174,574,512830,6212,512830
174,574,513830,6212,513830
174,574,514300,6212,514300
174,574,514300,6212,514300
174,574,514620,6212,514620
174,574,515620,6212,515620
174,574,516620,6212,516620
174,574,517430,6212,517430
174,574,518430,6212,518430
175,582,518900,6212,518900
175,582,519220,6212,519220
175,582,519690,6212,519690
175,582,520500,6212,520500
175,582,520970,6212,520970
175,582,521970,6212,521970
175,582,522970,6212,522970
175,582,523970,6212,523970
175,582,523970,6212,523970
175,582,524620,6212,524620
175,582,525620,6212,525620
176,590,526430,6212,526430
176,590,526430,6212,526430
176,590,527240,6212,527240
177,594,528240,6212,528240
178,596,529240,6212,529240
178,596,529710,6212,529710
178,596,529710,6212,529710
178,596,529710,6212,529710
178,596,530710,6212,530710
178,596,531710,6212,531710
179,598,532710,6212,532710
179,598,533710,6212,533710
180,602,534710,6212,534710
180,602,535030,6212,535030
181,606,536030,6212,536030
181,606,537030,6212,537030
181,606,537030,6212,537030
181,606,537030,6212,537030
182,608,538030,6212,538030
182,608,539030,6212,539030
182,608,539500,6212,539500
183,610,540500,6212,540500
183,610,540500,6212,540500
183,610,541150,6212,541150
184,614,542150,6212,542150
185,622,542620,6212,542620
185,622,542620,6212,542620
185,622,542730,6212,542730
185,622,543200,6212,543200
185,622,544200,6212,544200
185,622,544200,6212,544200
186,624,545200,6212,545200
186,624,546200,6212,546200
186,624,547200,6212,547200
187,626,548200,6212,548200
187,626,549200,6212,549200
187,626,550200,6212,550200
187,626,551200,6212,551200
187,626,551430,6212,551430
188,628,552430,6212,552430
188,628,553430,6212,553430
188,628,554240,6212,554240
189,632,555240,6212,555240
190,634,556240,6212,556240
190,634,556700,6212,556700
190,634,557700,6212,557700
190,634,558160,6212,558160
190,634,559160,6212,559160
190,634,559970,6212,559970
190,634,559970,6212,559970
190,634,560970,6212,560970
190,634,561970,6212,561970
191,636,562970,6212,562970
192,644,563780,6212,563780
192,644,564370,6212,564370
192,644,564840,6212,564840
192,644,565840,6212,565840
192,644,569840,6212,569840
192,644,569840,6212,569840
192,644,570310,6212,570310
192,644,570310,6212,570310
192,644,570630,6212,570630
193,652,571440,6212,571440
194,654,572440,6212,572440
194,654,573440,6212,573440
194,654,573440,6212,573440
195,656,574440,6212,574440
195,656,574670,6212,574670
195,656,575670,6212,575670
195,656,576670,6212,576670
196,658,577670,6212,577670
196,658,577670,6212,577670
196,658,578670,6212,578670
196,658,579140,6212,579140
197,660,579790,6212,579790
197,660,580790,6212,580790
198,662,581790,6212,581790
198,662,581790,6212,581790
198,662,582790,6212,582790
198,662,583260,6212,583260
198,662,583580,6212,583580
198,662,584390,6212,584390
198,662,585200,6212,585200
199,670,585670,6212,585670
199,670,586670,6212,586670
199,670,586670,6212,586670
200,672,587670,6212,587670
200,672,588670,6212,588670
201,674,589670,6212,589670
201,674,590670,6212,590670
201,674,590890,6212,590890
202,676,591890,6212,591890
202,676,592890,6212,592890
203,678,593890,6212,593890
203,678,594700,6212,594700
203,678,594700,6212,594700
203,678,595160,6212,595160
203,678,595380,6212,595380
203,678,596380,6212,596380
204,680,597380,6212,597380
204,680,597850,6212,597850
204,680,598850,6212,598850
204,680,599850,6212,599850
204,680,600850,6212,600850
205,688,608850,6212,608850
205,688,609170,6212,609170
205,688,609720,6212,609720
205,688,610720,6212,610720
205,688,610720,6212,610720
205,688,611720,6212,611720
205,688,612530,6212,612530
205,688,613000,6212,613000
205,688,613810,6212,613810
205,688,614810,6212,614810
205,688,615030,6212,615030
205,688,616030,6212,616030
205,688,616500,6212,616500
205,688,617310,6212,617310
205,688,618310,6212,618310
205,688,619120,6212,619120
205,688,619440,6212,619440
205,688,619440,6212,619440
205,688,620250,6212,620250
205,688,621060,6212,621060
205,688,621060,6212,621060
205,688,621060,6212,621060
205,688,621870,6212,621870
205,688,622870,6212,622870
206,690,623680,6212,623680
206,690,624000,6212,624000
207,692,624810,6212,624810
207,692,625810,6212,625810
208,694,626620,6212,626620
208,694,627620,6212,627620
209,696,628620,6212,628620
209,696,628940,6212,628940
209,696,629940,6212,629940
210,698,630400,6212,630400
210,698,631400,6212,631400
211,700,632210,6212,632210
211,700,633210,6212,633210
212,702,634210,6212,634210
212,702,635210,6212,635210
212,702,635210,6212,635210
213,704,636020,6212,636020
213,704,637020,6212,637020
213,704,637020,6212,637020
214,706,638020,6212,638020
214,706,638830,6212,638830
215,708,639830,6212,639830
215,708,640830,6212,640830
216,710,641830,6212,641830
216,710,642640,6212,642640
217,712,643450,6212,643450
217,712,643670,6212,643670
217,712,644670,6212,644670
217,712,645130,6212,645130
218,716,645940,6212,645940
219,718,646940,6212,646940
219,718,647940,6212,647940
220,720,648940,6212,648940
220,720,649940,6212,649940
220,720,650940,6212,650940
220,720,651940,6212,651940
220,720,651940,6212,651940
220,720,651940,6212,651940
220,720,652940,6212,652940
221,722,653940,6212,653940
221,722,654940,6212,654940
222,724,655940,6212,655940
222,724,656940,6212,656940
222,724,656940,6212,656940
222,724,656940,6212,656940
223,728,657940,6212,657940
223,728,658750,6212,658750
224,730,659750,6212,659750
224,730,660560,6212,660560
224,730,660560,6212,660560
224,730,661560,6212,661560
224,730,662560,6212,662560
225,732,663560,6212,663560
225,732,664560,6212,664560
225,732,664560,6212,664560
226,734,665560,6212,665560
226,734,666370,6212,666370
227,736,667370,6212,667370
227,736,668370,6212,668370
228,738,669370,6212,669370
228,738,670370,6212,670370
229,740,671370,6212,671370
229,740,672020,6212,672020
230,742,673020,6212,673020
230,742,674020,6212,674020
231,744,675020,6212,675020
231,744,675830,6212,675830
232,746,676830,6212,676830
232,746,677150,6212,677150
232,746,678150,6212,678150
233,748,679150,6212,679150
233,748,680150,6212,680150
233,748,680150,6212,680150
234,750,681150,6212,681150
235,758,682150,6212,682150
235,758,683150,6212,683150
235,758,684150,6212,684150
235,758,685150,6212,685150
235,758,685960,6212,685960
