ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1070345.26,18.31,0.41,182328.22,3.12
1070345.26,18.31,0.41,182328.22,3.12
1070345.26,18.31,0.41,182328.22,3.12
1070166.32,18.31,0.41,182402.41,3.12
1070660.11,18.32,0.42,182349.53,3.12
1070481.16,18.32,0.42,182328.22,3.12
1070302.21,18.32,0.42,183295.77,3.14
1070313.26,18.32,0.42,183554.31,3.14
1069760.53,18.31,0.42,183018.22,3.13
1069760.53,18.31,0.42,183018.22,3.13
591682.32,10.13,0.66,310319.96,5.31
591577.05,10.13,0.66,310171.35,5.31
591896.42,10.14,0.66,309832.48,5.31
591966.63,10.14,0.66,309476.16,5.3
591884.95,10.14,0.67,310068.99,5.31
591779.68,10.14,0.67,310043.94,5.31
591674.42,10.14,0.67,309898.03,5.31
591569.16,10.14,0.66,309751.08,5.31
591649.89,10.14,0.67,309194.64,5.3
591649.89,10.14,0.67,309194.64,5.3
591544.63,10.14,0.67,309170.63,5.3
591439.37,10.14,0.67,308983.66,5.3
591334.11,10.14,0.67,308823.23,5.3
591624.95,10.15,0.67,309226.52,5.3
591519.68,10.15,0.67,309066.09,5.3
591424.95,10.15,0.67,308799.18,5.3
591424.95,10.15,0.67,308799.18,5.3
591309.16,10.15,0.67,308935.08,5.3
591389.89,10.15,0.68,309108.47,5.31
591259.68,10.15,0.67,308932.27,5.3
591154.42,10.15,0.67,308907.22,5.3
591049.16,10.15,0.67,308761.31,5.3
590943.89,10.15,0.67,308679.68,5.3
