ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1771139.55,29.76,1.25,179782.79,3.02
1771067.5,29.76,1.25,180586.54,3.03
1770852.01,29.76,1.25,180579.17,3.03
1770634.96,29.76,1.25,180517.73,3.03
1770428.97,29.76,1.25,180307.81,3.03
1770356.92,29.76,1.25,181111.56,3.04
1769693.14,29.76,1.25,180304.67,3.03
1769219.36,29.75,1.24,179687.78,3.02
1768920.33,29.75,1.24,179644.69,3.02
1770278.6,29.78,1.27,180468.12,3.04
1770081.06,29.78,1.27,180497.14,3.04
1769782.93,29.78,1.27,180468.63,3.04
1769567.44,29.78,1.27,180473.88,3.04
1769269.31,29.78,1.27,180523.95,3.04
1769269.31,29.78,1.27,180522.93,3.04
1769387.86,29.79,1.28,180455.13,3.04
1770746.14,29.81,1.3,181278.56,3.05
1771584.83,29.83,1.32,182495.62,3.07
1771584.83,29.83,1.32,182507.4,3.07
1771284.9,29.83,1.32,182907.33,3.08
1770999.81,29.83,1.32,182958.92,3.08
1770526.03,29.82,1.32,182342.03,3.07
1770796.27,29.83,1.32,181822.4,3.06
1771101.22,29.84,1.33,182924.13,3.08
1770884.17,29.84,1.33,182850.07,3.08
1770599.09,29.84,1.33,182901.66,3.08
1770125.3,29.84,1.33,182284.77,3.07
1769950.74,29.84,1.33,181676.11,3.06
1767502.71,29.84,1.33,181607.39,3.07
1767475.18,29.84,1.34,181703.52,3.07
1767696.09,29.85,1.35,182365.18,3.08
1767814.65,29.86,1.35,182297.38,3.08
1767514.71,29.86,1.35,182697.4,3.09
1767216.33,29.86,1.35,182697.83,3.09
1767355.65,29.86,1.36,182974.35,3.09
1766829.64,29.86,1.35,182185.25,3.08
1766341.66,29.85,1.35,181550.27,3.07
1766369.0,29.86,1.35,181542.05,3.07
1766069.07,29.86,1.35,181790.52,3.07
1765783.98,29.86,1.35,181766.12,3.07
1766186.05,29.87,1.37,182063.54,3.08
1765522.26,29.86,1.36,181256.65,3.07
1765237.17,29.86,1.36,181232.25,3.07
1765639.24,29.88,1.37,181529.67,3.07
1764975.46,29.87,1.37,180722.78,3.06
1764677.07,29.87,1.37,180710.9,3.06
1764297.81,29.87,1.36,180418.48,3.05
1763997.88,29.87,1.36,180354.88,3.05
1763997.88,29.87,1.36,180354.88,3.05
1763712.79,29.87,1.36,180406.92,3.05
1763712.79,29.87,1.36,180407.39,3.05
1763360.95,29.86,1.36,180241.35,3.05
1763925.96,29.88,1.38,181072.94,3.07
1763950.23,29.88,1.38,181108.23,3.07
1763286.44,29.87,1.37,180301.35,3.05
1763429.59,29.88,1.38,180694.42,3.06
1763131.46,29.88,1.38,180660.06,3.06
1762931.59,29.88,1.38,180659.94,3.06
1762931.59,29.88,1.38,180659.94,3.06
1762931.59,29.88,1.38,180659.94,3.06
1763715.48,29.89,1.39,181916.2,3.08
1763436.6,29.9,1.39,181307.04,3.07
1762962.82,29.89,1.39,180690.15,3.06
1762962.82,29.89,1.39,180690.15,3.06
1762237.83,29.88,1.38,179901.04,3.05
1762041.81,29.88,1.38,179713.25,3.05
1761733.1,29.88,1.38,179088.13,3.04
1761259.31,29.88,1.38,178471.24,3.03
1761018.26,29.88,1.38,178397.63,3.03
1761460.89,29.89,1.39,179394.27,3.04
1760987.11,29.88,1.38,178777.39,3.03
1760513.33,29.88,1.38,178160.5,3.02
1760540.68,29.88,1.38,178152.28,3.02
1760323.63,29.89,1.39,178170.8,3.02
1760123.43,29.88,1.38,177948.69,3.02
1759838.34,29.88,1.38,177465.62,3.01
1759663.77,29.89,1.39,178247.21,3.03
1759448.28,29.89,1.39,178252.47,3.03
1758784.5,29.88,1.38,177445.58,3.01
1759241.94,29.89,1.39,177423.51,3.01
1759381.26,29.9,1.4,178099.76,3.03
1759174.03,29.9,1.4,177469.34,3.02
1759661.18,29.91,1.41,178984.5,3.04
1759362.8,29.91,1.41,178984.92,3.04
1759062.86,29.91,1.41,178909.03,3.04
1758775.64,29.91,1.41,178629.03,3.04
1758477.25,29.91,1.41,178617.16,3.04
1757963.44,29.9,1.4,178166.1,3.03
1757524.48,29.9,1.4,177654.01,3.02
1757224.55,29.9,1.4,177590.41,3.02
1756560.76,29.89,1.39,176783.53,3.01
1756343.72,29.89,1.39,176709.46,3.01
1756015.06,29.89,1.39,176117.09,3.0
1755904.91,29.9,1.4,176208.25,3.0
1755609.11,29.9,1.4,176183.63,3.0
1755229.85,29.89,1.39,175761.34,2.99
1754929.91,29.89,1.39,175778.43,2.99
1754929.91,29.89,1.39,175778.43,2.99
1754929.91,29.89,1.39,175778.43,2.99
1754631.01,29.89,1.39,175952.62,3.0
1754631.01,29.89,1.39,175954.39,3.0
1754415.52,29.89,1.39,175947.02,3.0
1754439.78,29.89,1.39,176035.8,3.0
1754329.89,29.9,1.4,176059.53,3.0
1754044.8,29.9,1.4,176111.12,3.0
1754360.83,29.9,1.4,176703.74,3.01
1754755.4,29.91,1.41,176898.43,3.02
1754357.07,29.91,1.41,176727.45,3.01
1753791.05,29.91,1.41,176139.12,3.0
1753791.05,29.91,1.41,176139.12,3.0
1753574.01,29.91,1.41,176077.68,3.0
1753349.3,29.91,1.41,175845.78,3.0
1753133.8,29.91,1.41,175782.52,3.0
1752916.76,29.91,1.41,175776.97,3.0
1752916.76,29.91,1.41,175776.97,3.0
1752597.94,29.9,1.4,175458.16,2.99
1752312.86,29.9,1.4,175510.2,3.0
1752707.43,29.92,1.41,175704.45,3.0
1752707.43,29.92,1.41,175677.52,3.0
1752491.94,29.92,1.41,175670.16,3.0
1751904.98,29.91,1.41,175309.11,2.99
1751337.59,29.91,1.4,174720.84,2.98
1751039.2,29.91,1.41,174650.73,2.98
1751039.2,29.91,1.41,174649.46,2.98
1750739.27,29.91,1.41,174644.09,2.98
1750471.09,29.91,1.41,174648.61,2.98
1750254.05,29.91,1.41,174587.17,2.98
1750413.77,29.91,1.41,174858.65,2.99
1750836.77,29.93,1.42,175144.85,2.99
1750551.68,29.93,1.42,175196.45,3.0
1750524.15,29.93,1.43,175292.57,3.0
1750151.8,29.93,1.43,175340.61,3.0
1750546.37,29.94,1.44,175535.31,3.0
1750546.66,29.94,1.44,175538.89,3.0
1750546.66,29.94,1.44,175538.89,3.0
1750248.27,29.94,1.44,175539.31,3.0
1750046.3,29.94,1.44,175372.18,3.0
1749701.95,29.94,1.44,175232.87,3.0
1749402.02,29.94,1.44,175156.97,3.0
1748865.63,29.93,1.43,174566.23,2.99
1748372.79,29.93,1.42,174242.95,2.98
1748372.79,29.93,1.42,174242.95,2.98
1748074.4,29.93,1.42,174174.63,2.98
1747857.36,29.93,1.42,174171.14,2.98
