ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
211,836,593890,6212,593890
211,836,594700,6212,594700
211,836,594700,6212,594700
211,836,595160,6212,595160
211,836,595380,6212,595380
211,836,596380,6212,596380
211,836,597380,6212,597380
211,836,597850,6212,597850
211,836,598850,6212,598850
211,836,599850,6212,599850
211,836,600850,6212,600850
212,844,608850,6212,608850
212,844,609170,6212,609170
212,844,609720,6212,609720
212,844,610720,6212,610720
212,844,610720,6212,610720
212,844,611720,6212,611720
213,846,612530,6212,612530
213,846,613000,6212,613000
213,846,613810,6212,613810
214,848,614810,6212,614810
214,848,615030,6212,615030
214,848,616030,6212,616030
214,848,616500,6212,616500
214,848,617310,6212,617310
214,848,618310,6212,618310
214,848,619120,6212,619120
214,848,619440,6212,619440
214,848,619440,6212,619440
214,848,620250,6212,620250
214,848,621060,6212,621060
214,848,621060,6212,621060
214,848,621060,6212,621060
214,848,621870,6212,621870
214,848,622870,6212,622870
215,850,623680,6212,623680
215,850,624000,6212,624000
216,854,624810,6212,624810
216,854,625810,6212,625810
217,856,626620,6212,626620
217,856,627620,6212,627620
217,856,628620,6212,628620
218,858,628940,6212,628940
218,858,629940,6212,629940
218,858,630400,6212,630400
219,866,631400,6212,631400
219,866,632210,6212,632210
219,866,633210,6212,633210
219,866,634210,6212,634210
219,866,635210,6212,635210
219,866,635210,6212,635210
219,866,636020,6212,636020
219,866,637020,6212,637020
219,866,637020,6212,637020
219,866,638020,6212,638020
219,866,638830,6212,638830
219,866,639830,6212,639830
219,866,640830,6212,640830
220,874,641830,6212,641830
220,874,642640,6212,642640
220,874,643450,6212,643450
220,874,643670,6212,643670
221,882,644670,6212,644670
221,882,645130,6212,645130
222,884,645940,6212,645940
222,884,646940,6212,646940
222,884,647940,6212,647940
222,884,648940,6212,648940
222,884,649940,6212,649940
222,884,650940,6212,650940
222,884,651940,6212,651940
222,884,651940,6212,651940
222,884,651940,6212,651940
222,884,652940,6212,652940
222,884,653940,6212,653940
223,886,654940,6212,654940
224,894,655940,6212,655940
224,894,656940,6212,656940
225,902,656940,6212,656940
225,902,656940,6212,656940
225,902,657940,6212,657940
225,902,658750,6212,658750
226,904,659750,6212,659750
227,906,660560,6212,660560
227,906,660560,6212,660560
227,906,661560,6212,661560
227,906,662560,6212,662560
227,906,663560,6212,663560
227,906,664560,6212,664560
227,906,664560,6212,664560
227,906,665560,6212,665560
227,906,666370,6212,666370
227,906,667370,6212,667370
227,906,668370,6212,668370
228,914,669370,6212,669370
228,914,670370,6212,670370
228,914,671370,6212,671370
228,914,672020,6212,672020
228,914,673020,6212,673020
228,914,674020,6212,674020
228,914,675020,6212,675020
228,914,675830,6212,675830
228,914,676830,6212,676830
