ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
365,854,734180,6212,734180
366,862,742180,6212,742180
366,862,742180,6212,742180
367,864,743180,6212,743180
368,866,744180,6212,744180
368,866,744650,6212,744650
368,866,745120,6212,745120
368,866,746120,6212,746120
368,866,746120,6212,746120
369,868,747120,6212,747120
370,870,747770,6212,747770
370,870,747770,6212,747770
370,870,748240,6212,748240
370,870,749240,6212,749240
370,870,749240,6212,749240
370,870,750240,6212,750240
371,872,751050,6212,751050
372,874,752050,6212,752050
372,874,752050,6212,752050
372,874,752520,6212,752520
372,874,752990,6212,752990
372,874,753990,6212,753990
373,876,754990,6212,754990
374,878,755800,6212,755800
374,878,756800,6212,756800
375,880,757800,6212,757800
375,880,758260,6212,758260
375,880,758260,6212,758260
375,880,759260,6212,759260
376,882,760260,6212,760260
376,882,760260,6212,760260
377,884,762260,6212,762260
377,884,762260,6212,762260
378,892,762260,6212,762260
378,892,762910,6212,762910
379,894,763910,6212,763910
380,896,764720,6212,764720
380,896,765720,6212,765720
381,898,766720,6212,766720
381,898,767720,6212,767720
381,898,768530,6212,768530
382,900,769530,6212,769530
383,902,770530,6212,770530
383,902,770530,6212,770530
383,902,771530,6212,771530
383,902,771530,6212,771530
384,904,772530,6212,772530
385,906,773000,6212,773000
385,906,773000,6212,773000
385,906,773230,6212,773230
385,906,774230,6212,774230
385,906,774450,6212,774450
385,906,774450,6212,774450
385,906,774770,6212,774770
386,908,775770,6212,775770
