ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
949766.88,15.73,2.11,225875.28,3.74
950380.54,15.74,2.12,225989.07,3.74
950918.1,15.75,2.13,226138.3,3.75
950529.88,15.75,2.13,225671.6,3.74
950144.34,15.75,2.12,225174.67,3.73
950267.63,15.75,2.13,225139.11,3.73
950238.28,15.75,2.13,224807.45,3.73
949628.19,15.74,2.12,224276.74,3.72
949856.25,15.75,2.13,224256.88,3.72
950128.25,15.75,2.13,224116.73,3.72
950754.38,15.76,2.14,224543.75,3.72
950806.31,15.77,2.15,224820.16,3.73
951072.66,15.77,2.15,224576.66,3.72
951760.78,15.79,2.17,224653.52,3.73
951372.55,15.78,2.16,224163.88,3.72
951672.82,15.79,2.17,223852.89,3.71
951250.67,15.79,2.16,223430.74,3.71
951302.6,15.79,2.17,223549.33,3.71
951436.36,15.79,2.17,223263.96,3.71
952564.44,15.81,2.19,224083.82,3.72
952584.04,15.81,2.19,223878.43,3.72
952665.26,15.81,2.19,223767.52,3.71
953440.09,15.83,2.21,224089.94,3.72
954053.75,15.84,2.22,224203.73,3.72
953668.21,15.84,2.22,223706.8,3.71
953720.15,15.84,2.22,223776.26,3.72
953772.08,15.84,2.22,223894.86,3.72
955460.2,15.87,2.25,224971.72,3.74
955302.26,15.87,2.25,224817.16,3.73
955302.26,15.87,2.25,224817.16,3.73
956077.09,15.88,2.26,225139.59,3.74
955940.88,15.88,2.26,225069.15,3.74
956629.0,15.9,2.28,225146.01,3.74
956559.9,15.9,2.28,225229.76,3.74
956611.83,15.9,2.28,225348.35,3.75
957105.89,15.91,2.29,225083.2,3.74
957105.89,15.91,2.29,225083.2,3.74
957105.89,15.91,2.29,225083.2,3.74
957157.82,15.91,2.29,225152.66,3.74
956889.98,15.91,2.29,225035.52,3.74
956941.91,15.91,2.29,225154.11,3.74
956993.84,15.92,2.3,225223.57,3.75
956743.88,15.91,2.29,224670.57,3.74
957010.23,15.92,2.3,224427.08,3.73
957785.06,15.93,2.31,224749.5,3.74
958473.18,15.95,2.33,224826.36,3.74
958473.18,15.95,2.33,224826.36,3.74
958596.47,15.95,2.33,224790.8,3.74
958750.22,15.95,2.33,227286.59,3.78
958535.05,15.95,2.33,227040.42,3.78
958319.03,15.95,2.33,226804.71,3.77
958160.89,15.95,2.33,226646.57,3.77
959262.53,15.97,2.35,227807.03,3.79
959893.5,15.98,2.36,227901.11,3.79
963175.33,16.03,2.41,228832.01,3.81
963175.33,16.03,2.41,228921.34,3.81
962787.1,16.03,2.41,228431.69,3.8
962329.0,16.02,2.4,227970.85,3.8
962565.03,16.03,2.41,227945.07,3.8
962472.16,16.03,2.41,227831.89,3.79
962722.31,16.03,2.41,229087.37,3.82
962192.33,16.03,2.41,228503.34,3.81
961890.46,16.02,2.4,227830.5,3.8
961919.94,16.03,2.41,227942.29,3.8
962289.29,16.04,2.42,227750.92,3.8
961944.2,16.03,2.41,227460.22,3.79
962116.01,16.04,2.42,227459.97,3.79
962086.05,16.04,2.42,227126.97,3.79
963519.26,16.06,2.44,229566.73,3.83
963152.55,16.06,2.44,229041.17,3.82
963380.61,16.06,2.44,229021.31,3.82
963013.9,16.06,2.44,228495.75,3.81
966469.08,16.12,2.5,231717.05,3.86
966521.01,16.12,2.5,231993.46,3.87
966692.82,16.12,2.5,231993.21,3.87
966414.81,16.12,2.5,231908.52,3.87
966746.25,16.13,2.51,233053.68,3.89
966550.87,16.12,2.5,232357.74,3.88
966505.61,16.12,2.5,232332.5,3.88
967022.67,16.13,2.51,233124.56,3.89
966815.19,16.13,2.51,232797.96,3.88
966678.98,16.13,2.51,232667.54,3.88
966757.92,16.13,2.51,233037.14,3.89
