ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
288,710,520190,6212,523970
288,710,520840,6212,524620
289,712,521840,6212,525620
289,712,522650,6212,526430
289,712,522650,6212,526430
290,714,523460,6212,527240
290,714,524460,6212,528240
291,722,525460,6212,529240
291,722,525930,6212,529710
291,722,525930,6212,529710
291,722,525930,6212,529710
292,724,526930,6212,530710
292,724,527930,6212,531710
293,726,528930,6212,532710
293,726,529930,6212,533710
293,726,530930,6212,534710
293,726,531250,6212,535030
294,728,532250,6212,536030
294,728,533250,6212,537030
294,728,533250,6212,537030
294,728,533250,6212,537030
295,730,534250,6212,538030
295,730,535250,6212,539030
295,730,535720,6212,539500
295,730,536720,6212,540500
295,730,536720,6212,540500
295,730,537370,6212,541150
295,730,538370,6212,542150
295,730,538840,6212,542620
295,730,538840,6212,542620
295,730,538950,6212,542730
296,732,539420,6212,543200
296,732,540420,6212,544200
296,732,540420,6212,544200
297,734,541420,6212,545200
297,734,542420,6212,546200
298,736,543420,6212,547200
298,736,544420,6212,548200
299,738,545420,6212,549200
299,738,546420,6212,550200
300,740,547420,6212,551200
300,740,547420,6212,551430
300,740,548420,6212,552430
301,742,549420,6212,553430
301,742,550230,6212,554240
302,744,551230,6212,555240
302,744,552230,6212,556240
302,744,552690,6212,556700
303,746,553690,6212,557700
303,746,554150,6212,558160
304,748,555150,6212,559160
304,748,555960,6212,559970
304,748,555960,6212,559970
304,748,556960,6212,560970
305,750,557960,6212,561970
305,750,558960,6212,562970
306,752,559770,6212,563780
306,752,560360,6212,564370
306,752,560830,6212,564840
306,752,561830,6212,565840
307,756,565830,6212,569840
307,756,565830,6212,569840
307,756,566300,6212,570310
307,756,566300,6212,570310
307,756,566620,6212,570630
308,758,567430,6212,571440
308,758,568430,6212,572440
309,760,569430,6212,573440
309,760,569430,6212,573440
309,760,570430,6212,574440
309,760,570660,6212,574670
310,762,571660,6212,575670
310,762,572660,6212,576670
311,764,573660,6212,577670
311,764,573660,6212,577670
311,764,574660,6212,578670
311,764,575130,6212,579140
311,764,575780,6212,579790
311,764,576780,6212,580790
312,766,577780,6212,581790
312,766,577780,6212,581790
312,766,578780,6212,582790
313,768,579250,6212,583260
313,768,579570,6212,583580
313,768,580380,6212,584390
313,768,581190,6212,585200
313,768,581660,6212,585670
313,768,582660,6212,586670
313,768,582660,6212,586670
314,770,583660,6212,587670
314,770,584660,6212,588670
314,770,585660,6212,589670
315,772,586660,6212,590670
315,772,586880,6212,590890
315,772,587880,6212,591890
316,774,588880,6212,592890
316,774,589880,6212,593890
317,776,590690,6212,594700
317,776,590690,6212,594700
317,776,591150,6212,595160
317,776,591150,6212,595380
318,778,592150,6212,596380
318,778,593150,6212,597380
318,778,593620,6212,597850
318,778,594620,6212,598850
318,778,595620,6212,599850
319,780,596620,6212,600850
320,788,604620,6212,608850
320,788,604620,6212,609170
320,788,605170,6212,609720
321,790,606170,6212,610720
321,790,606170,6212,610720
321,790,607170,6212,611720
322,792,607980,6212,612530
322,792,608450,6212,613000
322,792,608450,6212,613810
323,794,609450,6212,614810
323,794,609670,6212,615030
323,794,610670,6212,616030
323,794,611140,6212,616500
324,796,611950,6212,617310
324,796,612950,6212,618310
325,798,613760,6212,619120
325,798,614080,6212,619440
325,798,614080,6212,619440
325,798,614890,6212,620250
326,800,615700,6212,621060
326,800,615700,6212,621060
326,800,615700,6212,621060
326,800,616510,6212,621870
327,802,617510,6212,622870
327,802,618320,6212,623680
328,804,618640,6212,624000
328,804,619450,6212,624810
329,806,620450,6212,625810
329,806,621260,6212,626620
330,814,622260,6212,627620
