ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
428,2297,393760,6212,393760
428,2297,394570,6212,394570
429,2299,395570,6212,395570
429,2299,396570,6212,396570
429,2299,397380,6212,397380
429,2299,397850,6212,397850
429,2299,398850,6212,398850
429,2299,399850,6212,399850
430,2301,400660,6212,400660
430,2301,400890,6212,400890
430,2301,400890,6212,400890
431,2305,401890,6212,401890
431,2305,402890,6212,402890
432,2309,403890,6212,403890
432,2309,403890,6212,403890
433,2317,404700,6212,404700
434,2319,405510,6212,405510
435,2327,406510,6212,406510
436,2329,407510,6212,407510
437,2337,408510,6212,408510
437,2337,409510,6212,409510
438,2345,410510,6212,410510
438,2345,411510,6212,411510
439,2347,412320,6212,412320
440,2349,412320,6212,412320
441,2357,413320,6212,413320
442,2359,414320,6212,414320
442,2359,414320,6212,414320
442,2359,414800,6212,414800
442,2359,414800,6212,414800
442,2359,414800,6212,414800
443,2367,415800,6212,415800
444,2375,415800,6212,415800
445,2377,416800,6212,416800
446,2385,416800,6212,416800
447,2393,416800,6212,416800
447,2393,417120,6212,417120
448,2395,417120,6212,417120
449,2397,418120,6212,418120
450,2405,418120,6212,418120
451,2413,418120,6212,418120
452,2421,419120,6212,419120
453,2423,419930,6212,419930
454,2427,419930,6212,419930
455,2435,420740,6212,420740
455,2435,421740,6212,421740
455,2435,422210,6212,422210
456,2443,422680,6212,422680
457,2451,423160,6212,423160
458,2459,424160,6212,424160
458,2459,424480,6212,424480
459,2467,424480,6212,424480
459,2467,424480,6212,424480
460,2475,425480,6212,425480
461,2483,426480,6212,426480
461,2483,427480,6212,427480
461,2483,428480,6212,428480
461,2483,428480,6212,428480
462,2491,428800,6212,428800
463,2499,429260,6212,429260
464,2501,429730,6212,429730
464,2501,429730,6212,429730
465,2503,430730,6212,430730
465,2503,431730,6212,431730
465,2503,431950,6212,431950
465,2503,432950,6212,432950
466,2511,432950,6212,432950
467,2513,432950,6212,432950
468,2521,432950,6212,432950
469,2523,433420,6212,433420
470,2525,434230,6212,434230
470,2525,434340,6212,434340
470,2525,435340,6212,435340
471,2533,436340,6212,436340
472,2541,436690,6212,436690
473,2543,436850,6212,436850
474,2551,437850,6212,437850
475,2559,438170,6212,438170
475,2559,439170,6212,439170
475,2559,439170,6212,439170
476,2561,440170,6212,440170
477,2563,440400,6212,440400
478,2565,441400,6212,441400
479,2573,442400,6212,442400
480,2575,443210,6212,443210
480,2575,443680,6212,443680
481,2583,444680,6212,444680
482,2587,444680,6212,444680
483,2595,444680,6212,444680
483,2595,445150,6212,445150
484,2603,445620,6212,445620
484,2603,446620,6212,446620
485,2605,447430,6212,447430
485,2605,448430,6212,448430
485,2605,449430,6212,449430
486,2613,450430,6212,450430
486,2613,451430,6212,451430
486,2613,451430,6212,451430
486,2613,452430,6212,452430
487,2621,452430,6212,452430
487,2621,452750,6212,452750
488,2623,453750,6212,453750
488,2623,453980,6212,453980
489,2631,454980,6212,454980
490,2633,455980,6212,455980
491,2635,456980,6212,456980
492,2637,456980,6212,456980
492,2637,457980,6212,457980
493,2645,458980,6212,458980
493,2645,459450,6212,459450
494,2653,459450,6212,459450
495,2655,460450,6212,460450
496,2657,460450,6212,460450
497,2659,461450,6212,461450
497,2659,462450,6212,462450
498,2661,463450,6212,463450
499,2669,464450,6212,464450
500,2677,465260,6212,465260
500,2677,465580,6212,465580
501,2685,465580,6212,465580
502,2693,465580,6212,465580
503,2701,465800,6212,465800
504,2709,466610,6212,466610
504,2709,467610,6212,467610
504,2709,467610,6212,467610
504,2709,468080,6212,468080
505,2711,469080,6212,469080
506,2713,469550,6212,469550
506,2713,470550,6212,470550
506,2713,471020,6212,471020
506,2713,472020,6212,472020
506,2713,473020,6212,473020
507,2715,473020,6212,473020
507,2715,473490,6212,473490
508,2717,474490,6212,474490
508,2717,475300,6212,475300
509,2725,475300,6212,475300
510,2733,475780,6212,475780
510,2733,476780,6212,476780
511,2741,477430,6212,477430
512,2743,478430,6212,478430
513,2745,479430,6212,479430
513,2745,480240,6212,480240
513,2745,481050,6212,481050
513,2745,482050,6212,482050
513,2745,482050,6212,482050
513,2745,482520,6212,482520
513,2745,483520,6212,483520
514,2753,484330,6212,484330
514,2753,484330,6212,484330
515,2755,484330,6212,484330
516,2757,484330,6212,484330
517,2759,484330,6212,484330
518,2761,485330,6212,485330
519,2763,485330,6212,485330
519,2763,486330,6212,486330
520,2771,487330,6212,487330
520,2771,487330,6212,487330
520,2771,487800,6212,487800
520,2771,488800,6212,488800
521,2773,489800,6212,489800
522,2777,490800,6212,490800
523,2785,491610,6212,491610
523,2785,491610,6212,491610
524,2793,491610,6212,491610
525,2795,492200,6212,492200
525,2795,493200,6212,493200
526,2797,493200,6212,493200
526,2797,493200,6212,493200
526,2797,494200,6212,494200
527,2805,495200,6212,495200
528,2807,496200,6212,496200
528,2807,497010,6212,497010
529,2815,497820,6212,497820
529,2815,497820,6212,497820
530,2823,498140,6212,498140
530,2823,499140,6212,499140
531,2831,499950,6212,499950
531,2831,499950,6212,499950
531,2831,499950,6212,499950
531,2831,500420,6212,500420
532,2839,501230,6212,501230
532,2839,501700,6212,501700
533,2841,501700,6212,501700
533,2841,502700,6212,502700
533,2841,503510,6212,503510
534,2843,503980,6212,503980
534,2843,505980,6212,505980
535,2851,506790,6212,506790
535,2851,507110,6212,507110
535,2851,507920,6212,507920
536,2859,508920,6212,508920
536,2859,509920,6212,509920
537,2861,510920,6212,510920
537,2861,511730,6212,511730
537,2861,512100,6212,512100
537,2861,512570,6212,512570
538,2863,512570,6212,512570
538,2863,513570,6212,513570
538,2863,514570,6212,514570
539,2865,515380,6212,515380
539,2865,516190,6212,516190
540,2873,517190,6212,517190
541,2875,517190,6212,517190
541,2875,518000,6212,518000
542,2877,518000,6212,518000
542,2877,519000,6212,519000
543,2879,519000,6212,519000
544,2881,519810,6212,519810
544,2881,520810,6212,520810
545,2883,521040,6212,521040
545,2883,521850,6212,521850
545,2883,522850,6212,522850
545,2883,523850,6212,523850
545,2883,524850,6212,524850
545,2883,525850,6212,525850
546,2891,526850,6212,526850
546,2891,526850,6212,526850
547,2893,527660,6212,527660
547,2893,528130,6212,528130
547,2893,528600,6212,528600
548,2895,529600,6212,529600
548,2895,530600,6212,530600
548,2895,530830,6212,530830
549,2897,531830,6212,531830
550,2905,532640,6212,532640
551,2907,532640,6212,532640
552,2909,533450,6212,533450
553,2917,534260,6212,534260
554,2919,535260,6212,535260
555,2927,535730,6212,535730
555,2927,536730,6212,536730
556,2929,537730,6212,537730
556,2929,538380,6212,538380
557,2931,539380,6212,539380
557,2931,540380,6212,540380
558,2939,540840,6212,540840
558,2939,540840,6212,540840
558,2939,541840,6212,541840
558,2939,542840,6212,542840
559,2941,543390,6212,543390
560,2949,543620,6212,543620
560,2949,544620,6212,544620
561,2957,545620,6212,545620
562,2959,546620,6212,546620
563,2961,547620,6212,547620
564,2963,548620,6212,548620
565,2965,549620,6212,549620
566,2967,549620,6212,549620
567,2975,549940,6212,549940
567,2975,550940,6212,550940
568,2983,551750,6212,551750
569,2985,552750,6212,552750
570,2993,553750,6212,553750
571,3001,554070,6212,554070
572,3009,554070,6212,554070
573,3011,554070,6212,554070
574,3019,554070,6212,554070
574,3019,554070,6212,554070
575,3021,554390,6212,554390
575,3021,554390,6212,554390
575,3021,555390,6212,555390
575,3021,556390,6212,556390
576,3029,556390,6212,556390
577,3031,556860,6212,556860
578,3033,557180,6212,557180
578,3033,557180,6212,557180
579,3035,558180,6212,558180
579,3035,558180,6212,558180
580,3043,558650,6212,558650
580,3043,558650,6212,558650
580,3043,558650,6212,558650
581,3045,558650,6212,558650
582,3053,559650,6212,559650
582,3053,559650,6212,559650
582,3053,560240,6212,560240
583,3061,561050,6212,561050
583,3061,561050,6212,561050
583,3061,562050,6212,562050
584,3063,562520,6212,562520
584,3063,562520,6212,562520
585,3071,563520,6212,563520
585,3071,564520,6212,564520
585,3071,565520,6212,565520
585,3071,566330,6212,566330
585,3071,567140,6212,567140
586,3073,567950,6212,567950
587,3075,568950,6212,568950
588,3083,568950,6212,568950
589,3091,569760,6212,569760
589,3091,570220,6212,570220
590,3099,570440,6212,570440
591,3107,571440,6212,571440
591,3107,572440,6212,572440
592,3115,572760,6212,572760
593,3123,573760,6212,573760
593,3123,574220,6212,574220
593,3123,574870,6212,574870
594,3125,575870,6212,575870
595,3127,575870,6212,575870
595,3127,576870,6212,576870
595,3127,577330,6212,577330
595,3127,577800,6212,577800
596,3135,578800,6212,578800
596,3135,578800,6212,578800
597,3137,579800,6212,579800
597,3137,580800,6212,580800
597,3137,581450,6212,581450
597,3137,582450,6212,582450
598,3139,583450,6212,583450
599,3147,584450,6212,584450
600,3155,584920,6212,584920
600,3155,585920,6212,585920
601,3163,586920,6212,586920
602,3171,587390,6212,587390
603,3179,588390,6212,588390
604,3183,588390,6212,588390
605,3191,589200,6212,589200
605,3191,590200,6212,590200
606,3193,591200,6212,591200
606,3193,592010,6212,592010
607,3201,592010,6212,592010
608,3203,593010,6212,593010
609,3205,593480,6212,593480
610,3207,593940,6212,593940
611,3215,594940,6212,594940
