ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
351,792,676580,6212,676580
351,792,677580,6212,677580
352,794,678580,6212,678580
352,794,679050,6212,679050
352,794,679280,6212,679280
353,796,680280,6212,680280
353,796,680280,6212,680280
353,796,680600,6212,680600
353,796,681070,6212,681070
353,796,682070,6212,682070
354,798,682550,6212,682550
354,798,683360,6212,683360
355,800,684170,6212,684170
355,800,684330,6212,684330
355,800,685140,6212,685140
356,802,685950,6212,685950
356,802,686760,6212,686760
356,802,686760,6212,686760
356,802,687230,6212,687230
357,804,688230,6212,688230
357,804,689230,6212,689230
358,806,690230,6212,690230
358,806,691230,6212,691230
359,808,692040,6212,692040
359,808,692850,6212,692850
360,810,693320,6212,693320
360,810,693910,6212,693910
361,812,694910,6212,694910
361,812,695910,6212,695910
361,812,696380,6212,696380
362,814,697380,6212,697380
362,814,698380,6212,698380
363,816,699380,6212,699380
363,816,700190,6212,700190
364,818,701190,6212,701190
364,818,702190,6212,702190
365,820,703190,6212,703190
365,820,704190,6212,704190
365,820,704190,6212,704190
365,820,704410,6212,704410
366,822,705410,6212,705410
366,822,706410,6212,706410
367,824,707410,6212,707410
367,824,708410,6212,708410
368,826,709410,6212,709410
368,826,710060,6212,710060
369,828,710870,6212,710870
369,828,711870,6212,711870
370,830,712870,6212,712870
370,830,713340,6212,713340
370,830,713800,6212,713800
371,832,714800,6212,714800
371,832,715610,6212,715610
372,834,716610,6212,716610
372,834,716610,6212,716610
372,834,716610,6212,716610
372,834,717610,6212,717610
373,836,718420,6212,718420
373,836,719420,6212,719420
374,838,720420,6212,720420
374,838,721420,6212,721420
375,840,721890,6212,721890
375,840,722890,6212,722890
376,842,723890,6212,723890
376,842,724540,6212,724540
377,844,725540,6212,725540
377,844,726350,6212,726350
378,846,727350,6212,727350
378,846,727350,6212,727350
378,846,727350,6212,727350
378,846,727350,6212,727350
378,846,728160,6212,728160
378,846,728160,6212,728160
379,848,729160,6212,729160
379,848,730160,6212,730160
380,850,731160,6212,731160
380,850,731630,6212,731630
381,854,735630,6212,735630
381,854,736440,6212,736440
382,856,736910,6212,736910
382,856,737230,6212,737230
382,856,738040,6212,738040
383,858,738850,6212,738850
383,858,739660,6212,739660
384,860,740660,6212,740660
384,860,741660,6212,741660
385,862,742660,6212,742660
385,862,743470,6212,743470
386,864,744470,6212,744470
386,864,745470,6212,745470
387,866,746280,6212,746280
387,866,747280,6212,747280
388,868,748090,6212,748090
388,868,749090,6212,749090
388,868,749560,6212,749560
388,868,749560,6212,749560
389,870,750560,6212,750560
389,870,751030,6212,751030
390,872,752030,6212,752030
390,872,752840,6212,752840
390,872,753310,6212,753310
391,874,754310,6212,754310
391,874,755310,6212,755310
392,876,755680,6212,755680
392,876,756150,6212,756150
392,876,757150,6212,757150
393,878,757610,6212,757610
393,878,758080,6212,758080
393,878,759080,6212,759080
394,880,759550,6212,759550
