ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
153,414,348670,6212,348670
153,414,349020,6212,349020
154,416,350020,6212,350020
154,416,351020,6212,351020
154,416,351020,6212,351020
154,416,351340,6212,351340
155,418,352340,6212,352340
155,418,353340,6212,353340
155,418,353340,6212,353340
156,420,354340,6212,354340
156,420,355340,6212,355340
156,420,356150,6212,356150
157,422,357150,6212,357150
157,422,357150,6212,357150
157,422,358150,6212,358150
158,430,359150,6212,359150
159,432,360150,6212,360150
159,432,360620,6212,360620
159,432,361620,6212,361620
159,432,362620,6212,362620
159,432,363430,6212,363430
159,432,364240,6212,364240
159,432,365240,6212,365240
159,432,365240,6212,365240
159,432,365240,6212,365240
159,432,366240,6212,366240
159,432,366470,6212,366470
159,432,367470,6212,367470
159,432,368470,6212,368470
159,432,369280,6212,369280
160,434,369930,6212,369930
160,434,369930,6212,369930
160,434,370930,6212,370930
161,436,371930,6212,371930
161,436,372390,6212,372390
162,438,373200,6212,373200
162,438,374200,6212,374200
163,442,375200,6212,375200
163,442,376200,6212,376200
164,444,377200,6212,377200
164,444,378010,6212,378010
164,444,378010,6212,378010
165,446,379010,6212,379010
165,446,380010,6212,380010
166,448,381010,6212,381010
166,448,381480,6212,381480
166,448,382480,6212,382480
167,456,383480,6212,383480
167,456,383480,6212,383480
168,460,384480,6212,384480
169,462,385290,6212,385290
169,462,385520,6212,385520
169,462,386520,6212,386520
169,462,387520,6212,387520
169,462,388520,6212,388520
169,462,389520,6212,389520
169,462,389990,6212,389990
170,470,390990,6212,390990
170,470,391990,6212,391990
170,470,392990,6212,392990
170,470,393990,6212,393990
171,472,394800,6212,394800
171,472,395800,6212,395800
171,472,396800,6212,396800
171,472,397800,6212,397800
171,472,398030,6212,398030
171,472,398030,6212,398030
171,472,399030,6212,399030
171,472,399840,6212,399840
171,472,400840,6212,400840
171,472,401840,6212,401840
171,472,402160,6212,402160
171,472,403160,6212,403160
171,472,403160,6212,403160
171,472,404160,6212,404160
172,474,404970,6212,404970
172,474,405520,6212,405520
172,474,405520,6212,405520
172,474,405680,6212,405680
172,474,406000,6212,406000
173,476,406810,6212,406810
173,476,407280,6212,407280
174,478,408280,6212,408280
174,478,409090,6212,409090
174,478,409560,6212,409560
174,478,410020,6212,410020
175,480,411020,6212,411020
175,480,412020,6212,412020
176,482,413020,6212,413020
176,482,413240,6212,413240
176,482,413240,6212,413240
176,482,414240,6212,414240
177,490,422240,6212,422240
178,492,423240,6212,423240
178,492,424050,6212,424050
178,492,424050,6212,424050
179,494,425050,6212,425050
179,494,426050,6212,426050
180,496,426270,6212,426270
180,496,426920,6212,426920
180,496,427920,6212,427920
181,498,428920,6212,428920
182,500,429920,6212,429920
182,500,430570,6212,430570
182,500,431380,6212,431380
183,502,432380,6212,432380
184,504,433030,6212,433030
184,504,433500,6212,433500
184,504,433500,6212,433500
184,504,434310,6212,434310
184,504,434780,6212,434780
185,506,435250,6212,435250
185,506,435720,6212,435720
185,506,436190,6212,436190
186,508,437000,6212,437000
186,508,438000,6212,438000
186,508,438320,6212,438320
187,510,439320,6212,439320
187,510,440130,6212,440130
187,510,440600,6212,440600
188,512,441600,6212,441600
188,512,441920,6212,441920
188,512,442730,6212,442730
188,512,442890,6212,442890
189,514,443890,6212,443890
189,514,444540,6212,444540
189,514,444540,6212,444540
190,516,445540,6212,445540
190,516,446010,6212,446010
191,518,447010,6212,447010
191,518,447330,6212,447330
191,518,448330,6212,448330
192,520,449330,6212,449330
192,520,449700,6212,449700
192,520,450700,6212,450700
193,522,451700,6212,451700
193,522,452700,6212,452700
194,524,453700,6212,453700
194,524,454700,6212,454700
194,524,455700,6212,455700
195,526,456700,6212,456700
195,526,456700,6212,456700
195,526,456700,6212,456700
195,526,456930,6212,456930
196,528,457930,6212,457930
197,536,457930,6212,457930
197,536,458250,6212,458250
197,536,458720,6212,458720
198,538,459720,6212,459720
198,538,460720,6212,460720
199,540,461720,6212,461720
200,542,462530,6212,462530
200,542,463340,6212,463340
200,542,463820,6212,463820
200,542,464820,6212,464820
201,544,465820,6212,465820
202,546,466820,6212,466820
202,546,466820,6212,466820
203,548,467820,6212,467820
203,548,468820,6212,468820
203,548,469630,6212,469630
204,550,470630,6212,470630
205,552,471100,6212,471100
205,552,472100,6212,472100
205,552,472910,6212,472910
205,552,473720,6212,473720
206,556,474720,6212,474720
206,556,475720,6212,475720
206,556,476720,6212,476720
206,556,477530,6212,477530
206,556,477760,6212,477760
206,556,478760,6212,478760
206,556,478760,6212,478760
206,556,479760,6212,479760
206,556,479980,6212,479980
206,556,480450,6212,480450
207,558,481260,6212,481260
207,558,482260,6212,482260
208,560,483260,6212,483260
208,560,484260,6212,484260
208,560,485070,6212,485070
208,560,485660,6212,485660
208,560,486660,6212,486660
209,568,494660,6212,494660
209,568,495210,6212,495210
209,568,496020,6212,496020
209,568,496020,6212,496020
210,570,497020,6212,497020
210,570,498020,6212,498020
210,570,498020,6212,498020
211,572,499020,6212,499020
211,572,500020,6212,500020
211,572,500250,6212,500250
212,574,501250,6212,501250
212,574,501410,6212,501410
