ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
72,310,270170,6212,270170
72,310,270640,6212,270640
72,310,271110,6212,271110
72,310,271920,6212,271920
72,310,272920,6212,272920
72,310,273570,6212,273570
72,310,274570,6212,274570
72,310,275040,6212,275040
72,310,275510,6212,275510
73,318,276320,6212,276320
73,318,277320,6212,277320
73,318,278130,6212,278130
73,318,278130,6212,278130
73,318,279130,6212,279130
73,318,280130,6212,280130
73,318,280600,6212,280600
73,318,281070,6212,281070
73,318,281070,6212,281070
73,318,281230,6212,281230
73,318,282230,6212,282230
73,318,282230,6212,282230
73,318,283230,6212,283230
74,320,284230,6212,284230
74,320,284550,6212,284550
74,320,285550,6212,285550
75,328,286550,6212,286550
75,328,287360,6212,287360
75,328,288360,6212,288360
75,328,288830,6212,288830
75,328,289640,6212,289640
75,328,290110,6212,290110
75,328,291110,6212,291110
75,328,291270,6212,291270
75,328,292270,6212,292270
75,328,293270,6212,293270
76,330,294270,6212,294270
76,330,295270,6212,295270
76,330,295380,6212,295380
76,330,295380,6212,295380
77,334,296380,6212,296380
77,334,296610,6212,296610
77,334,296610,6212,296610
77,334,297420,6212,297420
77,334,298010,6212,298010
77,334,298470,6212,298470
78,336,299470,6212,299470
78,336,300470,6212,300470
79,338,301280,6212,301280
79,338,302090,6212,302090
80,346,302740,6212,302740
80,346,303740,6212,303740
80,346,304060,6212,304060
80,346,304280,6212,304280
80,346,304280,6212,304280
80,346,304740,6212,304740
80,346,304740,6212,304740
80,346,304960,6212,304960
80,346,305510,6212,305510
80,346,306320,6212,306320
80,346,306320,6212,306320
80,346,307130,6212,307130
80,346,307940,6212,307940
80,346,307940,6212,307940
80,346,308940,6212,308940
80,346,309410,6212,309410
80,346,309880,6212,309880
81,348,310880,6212,310880
81,348,311350,6212,311350
81,348,311350,6212,311350
82,356,312160,6212,312160
