ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
834482.22,14.12,0.52,193525.26,3.27
834533.91,14.12,0.52,193622.89,3.28
834717.63,14.13,0.53,193622.69,3.28
834581.67,14.13,0.53,193622.69,3.28
834299.94,14.12,0.53,193219.93,3.27
834110.26,14.12,0.52,193226.84,3.27
834110.26,14.12,0.52,193226.84,3.27
833777.84,14.11,0.52,193017.91,3.27
833777.84,14.11,0.52,193017.91,3.27
834181.57,14.12,0.53,193010.99,3.27
833863.29,14.12,0.52,193031.11,3.27
833914.99,14.12,0.52,193024.61,3.27
833914.99,14.12,0.52,193018.6,3.27
833966.68,14.12,0.53,193010.2,3.27
834018.37,14.13,0.53,193004.98,3.27
834018.37,14.13,0.53,193004.98,3.27
833882.41,14.13,0.53,193910.67,3.28
834151.23,14.13,0.54,194218.75,3.29
833806.45,14.13,0.53,193823.42,3.28
833670.49,14.13,0.53,193720.51,3.28
833939.32,14.13,0.54,194127.51,3.29
833939.32,14.13,0.54,194127.51,3.29
833991.01,14.14,0.54,194127.69,3.29
833991.01,14.14,0.54,194127.69,3.29
833855.05,14.14,0.54,194127.32,3.29
834038.76,14.14,0.54,194127.32,3.29
834090.45,14.14,0.55,194154.95,3.29
833745.67,14.14,0.54,193807.95,3.29
833797.36,14.14,0.55,193797.12,3.29
834066.18,14.15,0.55,193786.09,3.29
833930.22,14.15,0.55,193780.32,3.29
833794.26,14.15,0.55,195062.43,3.31
833857.03,14.15,0.55,194677.89,3.3
833646.42,14.15,0.55,194323.93,3.3
833510.46,14.15,0.55,194323.73,3.3
833374.5,14.15,0.55,194323.73,3.3
833646.54,14.16,0.56,194345.07,3.3
833646.54,14.16,0.56,194345.07,3.3
833510.58,14.16,0.56,194338.7,3.3
833165.8,14.15,0.55,193937.7,3.29
832876.12,14.15,0.55,193643.33,3.29
832740.16,14.15,0.55,193628.37,3.29
832604.2,14.15,0.55,194106.65,3.3
832468.24,14.15,0.55,193682.51,3.29
832468.24,14.15,0.55,193652.09,3.29
832135.18,14.14,0.55,193303.9,3.29
831999.22,14.14,0.55,193671.95,3.29
831863.26,14.14,0.55,193569.04,3.29
831863.26,14.14,0.55,193569.04,3.29
831727.3,14.14,0.55,193569.04,3.29
831727.3,14.14,0.55,193615.88,3.29
831778.99,14.15,0.55,193616.06,3.29
832014.76,14.15,0.55,193615.68,3.29
832066.45,14.15,0.56,193615.68,3.29
832118.14,14.16,0.56,193617.53,3.29
831982.18,14.16,0.56,193615.68,3.29
831704.19,14.15,0.56,193323.49,3.29
831568.23,14.15,0.56,193323.49,3.29
831568.23,14.15,0.56,193370.27,3.29
831568.23,14.15,0.56,193370.27,3.29
831432.27,14.15,0.56,194248.9,3.31
831296.31,14.15,0.56,194231.35,3.31
831160.35,14.15,0.56,194231.15,3.31
830878.62,14.15,0.55,193932.18,3.3
831150.65,14.15,0.56,193932.18,3.3
831014.69,14.15,0.56,193938.1,3.3
