ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
286,720,496290,6212,496290
286,720,496290,6212,496290
286,720,497100,6212,497100
287,722,497570,6212,497570
287,722,497570,6212,497570
287,722,498570,6212,498570
288,724,499570,6212,499570
288,724,500570,6212,500570
288,724,501160,6212,501160
288,724,501630,6212,501630
288,724,502630,6212,502630
289,726,503090,6212,503090
289,726,503090,6212,503090
289,726,503410,6212,503410
289,726,504410,6212,504410
289,726,504880,6212,504880
290,728,505690,6212,505690
290,728,506690,6212,506690
291,730,507690,6212,507690
291,730,508690,6212,508690
292,732,509690,6212,509690
292,732,510690,6212,510690
293,734,511690,6212,511690
294,736,512690,6212,512690
294,736,513690,6212,513690
295,738,514690,6212,514690
295,738,514920,6212,514920
295,738,515730,6212,515730
296,746,515730,6212,515730
296,746,516540,6212,516540
296,746,516540,6212,516540
297,748,517190,6212,517190
297,748,517190,6212,517190
297,748,517190,6212,517190
297,748,517650,6212,517650
297,748,518650,6212,518650
298,750,519120,6212,519120
298,750,519670,6212,519670
299,752,520670,6212,520670
299,752,521670,6212,521670
299,752,522140,6212,522140
300,754,523140,6212,523140
301,762,523140,6212,523140
301,762,524140,6212,524140
301,762,524140,6212,524140
301,762,524140,6212,524140
301,762,524360,6212,524360
302,764,524910,6212,524910
302,764,525910,6212,525910
302,764,525910,6212,525910
303,766,526380,6212,526380
303,766,526380,6212,526380
303,766,526380,6212,526380
303,766,527190,6212,527190
304,768,528190,6212,528190
304,768,529000,6212,529000
305,770,530000,6212,530000
305,770,530000,6212,530000
305,770,530470,6212,530470
305,770,530940,6212,530940
306,772,531750,6212,531750
306,772,532400,6212,532400
306,772,532720,6212,532720
307,774,533720,6212,533720
307,774,533720,6212,533720
307,774,534720,6212,534720
308,776,535720,6212,535720
308,776,536270,6212,536270
308,776,536270,6212,536270
309,778,537270,6212,537270
309,778,538270,6212,538270
309,778,538590,6212,538590
309,778,538810,6212,538810
310,780,539810,6212,539810
310,780,540810,6212,540810
311,782,541810,6212,541810
311,782,541810,6212,541810
311,782,542810,6212,542810
312,784,543620,6212,543620
312,784,544090,6212,544090
312,784,544090,6212,544090
312,784,545090,6212,545090
313,786,546090,6212,546090
313,786,546560,6212,546560
313,786,546880,6212,546880
314,788,547880,6212,547880
314,788,547880,6212,547880
314,788,547880,6212,547880
314,788,548880,6212,548880
314,788,549340,6212,549340
315,790,550340,6212,550340
315,790,550340,6212,550340
315,790,551340,6212,551340
316,792,552150,6212,552150
316,792,552150,6212,552150
316,792,552150,6212,552150
316,792,553150,6212,553150
317,794,554150,6212,554150
317,794,554620,6212,554620
318,796,555620,6212,555620
318,796,556620,6212,556620
319,798,557620,6212,557620
319,798,558620,6212,558620
320,800,559620,6212,559620
320,800,560430,6212,560430
321,802,561430,6212,561430
321,802,562430,6212,562430
321,802,562430,6212,562430
322,804,563430,6212,563430
322,804,564430,6212,564430
323,806,565240,6212,565240
323,806,566050,6212,566050
323,806,566520,6212,566520
323,806,566520,6212,566520
324,808,567520,6212,567520
324,808,568520,6212,568520
325,810,569520,6212,569520
325,810,569520,6212,569520
325,810,570520,6212,570520
326,812,570990,6212,570990
326,812,571460,6212,571460
326,812,572460,6212,572460
327,814,573460,6212,573460
327,814,573460,6212,573460
327,814,573930,6212,573930
328,816,574930,6212,574930
328,816,575740,6212,575740
329,818,576740,6212,576740
330,826,576740,6212,576740
330,826,577740,6212,577740
330,826,577740,6212,577740
331,828,578740,6212,578740
331,828,578740,6212,578740
331,828,579210,6212,579210
331,828,580210,6212,580210
332,830,581020,6212,581020
332,830,582020,6212,582020
333,832,583020,6212,583020
333,832,583020,6212,583020
333,832,583830,6212,583830
334,834,584640,6212,584640
334,834,585110,6212,585110
334,834,585110,6212,585110
335,836,586110,6212,586110
335,836,586110,6212,586110
335,836,586460,6212,586460
335,836,587460,6212,587460
336,844,587460,6212,587460
337,846,588460,6212,588460
338,848,589460,6212,589460
338,848,590050,6212,590050
338,848,590370,6212,590370
338,848,591370,6212,591370
339,850,591830,6212,591830
339,850,592830,6212,592830
339,850,593300,6212,593300
339,850,593300,6212,593300
340,852,593620,6212,593620
340,852,594620,6212,594620
341,854,595620,6212,595620
341,854,596430,6212,596430
342,856,597430,6212,597430
342,856,598430,6212,598430
342,856,598430,6212,598430
342,856,599080,6212,599080
343,858,599310,6212,599310
