ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
185,420,371580,6212,371580
185,420,372580,6212,372580
186,422,373580,6212,373580
186,422,374580,6212,374580
187,424,375580,6212,375580
187,424,375580,6212,375580
187,424,376580,6212,376580
187,424,377050,6212,377050
188,426,378050,6212,378050
189,428,378860,6212,378860
189,428,378860,6212,378860
189,428,379860,6212,379860
189,428,380670,6212,380670
189,428,380670,6212,380670
190,430,381670,6212,381670
190,430,382670,6212,382670
191,432,383670,6212,383670
191,432,384670,6212,384670
191,432,385140,6212,385140
192,434,386140,6212,386140
193,436,386610,6212,386610
193,436,387610,6212,387610
193,436,387610,6212,387610
193,436,387930,6212,387930
194,438,388930,6212,388930
194,438,389930,6212,389930
195,440,390930,6212,390930
195,440,391930,6212,391930
195,440,392740,6212,392740
195,440,393210,6212,393210
196,442,394210,6212,394210
197,444,394680,6212,394680
198,446,395680,6212,395680
198,446,396680,6212,396680
199,448,397680,6212,397680
199,448,398680,6212,398680
200,450,399680,6212,399680
200,450,400150,6212,400150
200,450,400610,6212,400610
200,450,401610,6212,401610
201,452,402610,6212,402610
201,452,403610,6212,403610
202,454,404610,6212,404610
202,454,405080,6212,405080
202,454,405080,6212,405080
202,454,406080,6212,406080
203,456,407080,6212,407080
203,456,407080,6212,407080
204,458,407890,6212,407890
204,458,408890,6212,408890
204,458,409700,6212,409700
205,460,410510,6212,410510
206,462,411510,6212,411510
206,462,412510,6212,412510
207,464,413510,6212,413510
207,464,414510,6212,414510
207,464,415320,6212,415320
208,466,416320,6212,416320
209,468,416970,6212,416970
209,468,417970,6212,417970
209,468,418970,6212,418970
210,470,419970,6212,419970
210,470,420520,6212,420520
210,470,421520,6212,421520
211,472,422520,6212,422520
211,472,422840,6212,422840
212,474,423310,6212,423310
213,476,424310,6212,424310
214,478,425310,6212,425310
214,478,425310,6212,425310
214,478,425630,6212,425630
214,478,426440,6212,426440
214,478,426440,6212,426440
214,478,427440,6212,427440
215,480,428090,6212,428090
215,480,428900,6212,428900
216,482,429710,6212,429710
