ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
132,320,243780,6212,243780
132,320,244590,6212,244590
133,328,252590,6212,252590
133,328,253590,6212,253590
134,330,254590,6212,254590
134,330,255590,6212,255590
134,330,256240,6212,256240
134,330,257240,6212,257240
134,330,257710,6212,257710
134,330,258710,6212,258710
135,332,259710,6212,259710
135,332,260710,6212,260710
136,334,261710,6212,261710
137,336,262710,6212,262710
137,336,262940,6212,262940
138,344,263940,6212,263940
138,344,264940,6212,264940
138,344,265750,6212,265750
138,344,266560,6212,266560
138,344,267030,6212,267030
138,344,268030,6212,268030
139,348,269030,6212,269030
139,348,270030,6212,270030
139,348,271030,6212,271030
139,348,271030,6212,271030
139,348,271580,6212,271580
139,348,272050,6212,272050
140,350,272700,6212,272700
140,350,272700,6212,272700
141,358,273700,6212,273700
141,358,274700,6212,274700
141,358,275510,6212,275510
141,358,275980,6212,275980
141,358,276980,6212,276980
141,358,277980,6212,277980
141,358,278980,6212,278980
141,358,279790,6212,279790
141,358,280790,6212,280790
142,366,288790,6212,288790
142,366,289600,6212,289600
143,368,290600,6212,290600
143,368,291150,6212,291150
144,370,292150,6212,292150
144,370,293150,6212,293150
145,372,293620,6212,293620
146,374,294620,6212,294620
146,374,295430,6212,295430
146,374,296080,6212,296080
146,374,297080,6212,297080
147,376,298080,6212,298080
147,376,299080,6212,299080
148,378,300080,6212,300080
148,378,301080,6212,301080
149,382,302080,6212,302080
149,382,303080,6212,303080
149,382,304080,6212,304080
149,382,304550,6212,304550
150,384,305550,6212,305550
150,384,305550,6212,305550
150,384,306550,6212,306550
150,384,306550,6212,306550
151,386,307550,6212,307550
152,390,308550,6212,308550
152,390,308550,6212,308550
152,390,309550,6212,309550
152,390,309780,6212,309780
152,390,310780,6212,310780
153,392,311780,6212,311780
153,392,311780,6212,311780
153,392,311780,6212,311780
153,392,312240,6212,312240
153,392,313240,6212,313240
153,392,314050,6212,314050
153,392,314050,6212,314050
154,394,315050,6212,315050
154,394,315270,6212,315270
154,394,316270,6212,316270
154,394,317080,6212,317080
155,396,318080,6212,318080
155,396,318540,6212,318540
155,396,319350,6212,319350
155,396,320160,6212,320160
156,398,320810,6212,320810
156,398,321810,6212,321810
156,398,322040,6212,322040
157,400,323040,6212,323040
157,400,324040,6212,324040
158,402,325040,6212,325040
158,402,326040,6212,326040
159,404,326510,6212,326510
159,404,326980,6212,326980
159,404,327980,6212,327980
160,406,328980,6212,328980
161,414,329980,6212,329980
162,416,330980,6212,330980
162,416,331300,6212,331300
162,416,332300,6212,332300
162,416,333110,6212,333110
163,418,333920,6212,333920
163,418,334920,6212,334920
163,418,335920,6212,335920
163,418,336920,6212,336920
163,418,337730,6212,337730
163,418,338540,6212,338540
163,418,339540,6212,339540
163,418,340010,6212,340010
164,420,341010,6212,341010
164,420,341010,6212,341010
164,420,341010,6212,341010
165,428,342010,6212,342010
165,428,342010,6212,342010
165,428,343010,6212,343010
165,428,343010,6212,343010
166,430,343820,6212,343820
166,430,344820,6212,344820
166,430,345050,6212,345050
166,430,346050,6212,346050
166,430,346860,6212,346860
166,430,347670,6212,347670
166,430,347670,6212,347670
166,430,348670,6212,348670
166,430,349020,6212,349020
167,434,350020,6212,350020
167,434,351020,6212,351020
167,434,351020,6212,351020
167,434,351340,6212,351340
168,436,352340,6212,352340
