ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
2137944.44,36.37,0.98,211850.22,3.6
2137774.54,36.37,0.98,211416.67,3.6
2137404.76,36.37,0.98,211528.38,3.6
2137034.99,36.37,0.98,211424.05,3.6
2136665.22,36.37,0.98,211406.18,3.6
2136484.0,36.37,0.99,211849.9,3.61
2136239.75,36.37,0.99,211756.65,3.61
2135869.98,36.37,0.99,211642.71,3.6
2136059.24,36.38,0.99,212059.28,3.61
2135814.4,36.38,0.99,212010.27,3.61
2135814.4,36.38,0.99,212010.27,3.61
2135814.4,36.38,0.99,212010.27,3.61
2135471.47,36.38,0.99,212010.62,3.61
2135471.47,36.38,0.99,212010.62,3.61
2135101.7,36.38,0.99,211985.41,3.61
2135101.7,36.38,0.99,211985.41,3.61
2134931.8,36.38,1.0,211551.85,3.61
2134562.02,36.38,1.0,211586.42,3.61
2134363.35,36.38,0.99,211391.06,3.6
2133993.58,36.38,0.99,211361.64,3.6
2133812.36,36.38,1.0,211347.55,3.6
2133631.14,36.38,1.0,211545.49,3.61
2133631.14,36.38,1.0,211545.49,3.61
2133386.3,36.39,1.0,211542.0,3.61
2133130.44,36.38,1.0,211295.6,3.6
2132959.3,36.39,1.0,212120.88,3.62
2132589.53,36.39,1.0,212038.75,3.62
2132589.53,36.39,1.0,212085.62,3.62
2132270.3,36.38,1.0,211766.8,3.61
2132025.46,36.38,1.0,211718.02,3.61
2131655.69,36.38,1.0,211963.77,3.62
2131655.69,36.38,1.0,211963.77,3.62
2131410.85,36.39,1.0,211960.05,3.62
2130978.22,36.39,1.0,211687.9,3.61
2130921.52,36.39,1.0,211785.26,3.62
2130676.68,36.39,1.0,211819.46,3.62
2130676.68,36.39,1.0,211819.46,3.62
2131014.83,36.4,1.01,211952.19,3.62
2130770.0,36.41,1.01,211958.98,3.62
2130525.16,36.41,1.01,211899.69,3.62
2130714.42,36.41,1.02,211956.6,3.62
2130469.58,36.42,1.02,212267.39,3.63
2130224.74,36.42,1.02,212274.18,3.63
2130168.04,36.42,1.02,212376.35,3.63
2129660.83,36.42,1.02,211743.64,3.62
2129415.99,36.42,1.02,211694.77,3.62
2129415.99,36.42,1.02,211694.77,3.62
2129415.99,36.42,1.02,211694.77,3.62
2129171.16,36.42,1.02,211691.13,3.62
2129026.92,36.42,1.01,211518.27,3.62
2128782.08,36.42,1.01,211469.17,3.62
2128537.24,36.43,1.01,211465.77,3.62
2128480.54,36.43,1.02,211563.12,3.62
2128560.31,36.44,1.02,211835.76,3.63
2128560.31,36.44,1.02,211835.76,3.63
2128315.48,36.44,1.02,211786.9,3.63
2128070.64,36.44,1.02,211783.26,3.63
2128268.09,36.45,1.03,211735.92,3.63
2128211.39,36.45,1.03,212339.79,3.64
2127868.46,36.45,1.03,212343.15,3.64
2127498.69,36.45,1.03,212322.44,3.64
2127705.58,36.46,1.04,212425.79,3.64
2127335.81,36.46,1.04,212512.3,3.64
2127154.59,36.46,1.04,212438.42,3.64
2127154.59,36.46,1.04,212438.42,3.64
2126909.75,36.46,1.04,212389.28,3.64
2126539.98,36.46,1.04,212359.27,3.64
2126170.21,36.46,1.04,212554.73,3.65
2125797.92,36.46,1.04,212166.63,3.64
