ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
922994.61,15.63,2.03,179156.18,3.03
922994.61,15.63,2.03,179196.8,3.03
923046.31,15.63,2.04,179319.91,3.04
923098.0,15.63,2.04,179417.53,3.04
923098.0,15.63,2.04,179388.85,3.04
922962.04,15.64,2.04,179287.58,3.04
922619.62,15.63,2.03,178941.41,3.03
922888.44,15.64,2.04,179346.77,3.04
922752.48,15.64,2.04,179243.86,3.04
922407.7,15.63,2.04,178896.86,3.03
922407.7,15.63,2.04,178896.86,3.03
922459.39,15.64,2.04,179080.68,3.04
922461.74,15.64,2.04,179083.03,3.04
922325.78,15.64,2.04,179063.42,3.04
922509.49,15.64,2.04,179293.91,3.04
922561.18,15.64,2.05,179417.01,3.04
922830.01,15.65,2.05,179643.01,3.05
922881.7,15.65,2.06,179766.11,3.05
922536.91,15.65,2.05,179555.97,3.05
922400.95,15.65,2.05,179491.78,3.05
922264.99,15.65,2.05,179492.04,3.05
922316.69,15.65,2.06,179550.69,3.05
922180.73,15.65,2.06,179447.79,3.05
922044.77,15.65,2.06,179447.79,3.05
921908.81,15.65,2.06,179428.17,3.05
922180.84,15.66,2.06,179752.9,3.05
922180.84,15.66,2.06,179752.9,3.05
922044.88,15.66,2.06,179649.99,3.05
922313.71,15.66,2.07,180056.99,3.06
922116.33,15.66,2.07,179828.84,3.05
921980.37,15.66,2.07,179794.68,3.05
921844.41,15.66,2.07,179725.94,3.05
921708.45,15.66,2.07,179623.03,3.05
921708.45,15.66,2.07,179648.81,3.05
921380.45,15.66,2.06,179320.79,3.05
921244.49,15.66,2.06,179320.79,3.05
921108.53,15.66,2.06,179217.88,3.05
921108.53,15.66,2.06,179217.88,3.05
920972.57,15.66,2.06,179217.88,3.05
920972.57,15.66,2.06,179250.69,3.05
921024.26,15.66,2.07,179373.79,3.05
921260.03,15.67,2.07,179610.2,3.05
921311.73,15.67,2.08,179733.3,3.06
921363.42,15.67,2.08,179830.93,3.06
921227.46,15.67,2.08,179811.31,3.06
920937.78,15.67,2.07,179527.53,3.05
920801.82,15.67,2.08,179444.24,3.05
920801.82,15.67,2.08,179442.99,3.05
920801.82,15.67,2.08,179425.05,3.05
920665.86,15.67,2.08,179322.14,3.05
920529.9,15.67,2.08,179322.14,3.05
920393.94,15.67,2.08,179302.53,3.05
920115.95,15.67,2.07,179120.21,3.05
920387.99,15.67,2.08,179444.94,3.06
920252.03,15.67,2.08,179425.33,3.06
920116.07,15.68,2.08,179342.03,3.06
919980.11,15.68,2.08,179307.87,3.06
920031.8,15.68,2.08,179400.95,3.06
920083.49,15.68,2.09,179524.05,3.06
920083.49,15.68,2.09,179544.76,3.06
920352.31,15.69,2.09,179770.75,3.06
920216.35,15.69,2.09,179667.85,3.06
920550.89,15.69,2.1,180157.8,3.07
920414.93,15.69,2.1,180138.18,3.07
920151.84,15.69,2.1,179827.09,3.07
920203.53,15.69,2.1,179905.61,3.07
920067.57,15.69,2.1,179949.69,3.07
920119.26,15.7,2.1,179978.19,3.07
919983.3,15.7,2.1,179875.28,3.07
