ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
299,856,795500,6212,795500
299,856,795500,6212,795500
300,858,796500,6212,796500
300,858,796500,6212,796500
300,858,796730,6212,796730
300,858,796730,6212,796730
300,858,797730,6212,797730
301,860,798540,6212,798540
302,862,799540,6212,799540
302,862,800190,6212,800190
303,864,801000,6212,801000
303,864,801810,6212,801810
304,866,802810,6212,802810
304,866,803810,6212,803810
304,866,803810,6212,803810
304,866,803810,6212,803810
305,874,811810,6212,811810
306,876,812130,6212,812130
306,876,812450,6212,812450
306,876,812770,6212,812770
306,876,813090,6212,813090
307,878,813900,6212,813900
308,880,814370,6212,814370
308,880,815370,6212,815370
309,884,819370,6212,819370
309,884,820370,6212,820370
310,888,821370,6212,821370
311,890,822370,6212,822370
311,890,822920,6212,822920
311,890,823570,6212,823570
311,890,823890,6212,823890
312,892,824890,6212,824890
312,892,825890,6212,825890
312,892,826890,6212,826890
313,894,827890,6212,827890
313,894,827890,6212,827890
314,896,828700,6212,828700
314,896,829170,6212,829170
314,896,829170,6212,829170
314,896,829400,6212,829400
314,896,830400,6212,830400
314,896,831400,6212,831400
314,896,831630,6212,831630
315,898,832630,6212,832630
316,906,840630,6212,840630
316,906,840630,6212,840630
316,906,841000,6212,841000
316,906,842000,6212,842000
316,906,842000,6212,842000
317,908,843000,6212,843000
317,908,844000,6212,844000
318,910,844470,6212,844470
318,910,844940,6212,844940
318,910,845750,6212,845750
318,910,846560,6212,846560
319,912,847560,6212,847560
319,912,848560,6212,848560
319,912,849560,6212,849560
320,916,850560,6212,850560
321,918,851560,6212,851560
322,920,852370,6212,852370
322,920,853020,6212,853020
322,920,853670,6212,853670
323,922,854140,6212,854140
324,924,854730,6212,854730
324,924,855200,6212,855200
324,924,856200,6212,856200
325,926,856790,6212,856790
325,926,856790,6212,856790
325,926,857790,6212,857790
325,926,858790,6212,858790
325,926,858790,6212,858790
326,928,859790,6212,859790
326,928,859790,6212,859790
326,928,860790,6212,860790
327,932,861790,6212,861790
328,934,862600,6212,862600
328,934,863070,6212,863070
329,936,863720,6212,863720
329,936,863720,6212,863720
329,936,864720,6212,864720
329,936,865040,6212,865040
329,936,865040,6212,865040
329,936,865360,6212,865360
330,938,867360,6212,867360
330,938,867360,6212,867360
330,938,867360,6212,867360
330,938,867360,6212,867360
331,940,868360,6212,868360
331,940,868830,6212,868830
332,942,869640,6212,869640
332,942,870230,6212,870230
333,944,871230,6212,871230
333,944,871820,6212,871820
333,944,872630,6212,872630
334,946,873630,6212,873630
