ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1693936.69,28.1,2.52,239998.57,3.98
1693680.95,28.1,2.52,240058.57,3.98
1693425.21,28.1,2.52,240049.58,3.98
1693169.47,28.1,2.52,239986.93,3.98
1692427.89,28.09,2.51,239195.13,3.97
1692427.89,28.09,2.51,239195.13,3.97
1692427.89,28.09,2.51,239195.13,3.97
1692172.15,28.09,2.52,239265.06,3.97
1692172.15,28.09,2.52,239265.06,3.97
1692172.15,28.09,2.52,239265.06,3.97
1691625.11,28.08,2.51,238723.32,3.96
1691369.37,28.08,2.51,238581.75,3.96
1691113.63,28.08,2.51,238515.4,3.96
1690857.9,28.09,2.51,238510.11,3.96
1690602.16,28.09,2.51,238449.27,3.96
1690050.57,28.08,2.51,237847.46,3.95
1689794.83,28.08,2.51,237836.67,3.95
1689539.09,28.08,2.51,237773.95,3.95
1688797.51,28.07,2.5,236982.15,3.94
1688541.77,28.07,2.5,236973.24,3.94
1688541.77,28.07,2.5,236973.24,3.94
1688493.78,28.07,2.5,236836.18,3.94
1688493.78,28.07,2.5,236836.18,3.94
1688238.04,28.07,2.5,236773.46,3.94
1687982.3,28.08,2.5,236764.54,3.94
1687726.56,28.08,2.5,236752.5,3.94
1687470.82,28.08,2.5,236692.9,3.94
1687544.69,28.08,2.51,236540.95,3.94
1687544.69,28.08,2.51,236540.95,3.94
1687544.69,28.08,2.51,236540.95,3.94
1686993.1,28.07,2.5,235939.15,3.93
1686993.1,28.07,2.5,235939.15,3.93
1686737.36,28.08,2.5,235798.07,3.92
1686287.85,28.07,2.5,235139.88,3.91
1685832.65,28.07,2.49,234481.69,3.9
1685653.02,28.07,2.5,235089.42,3.91
1685817.6,28.07,2.5,235141.02,3.92
1685172.4,28.07,2.49,234292.82,3.9
1685105.52,28.07,2.5,234360.95,3.9
1684849.78,28.07,2.5,234260.18,3.9
1684594.04,28.07,2.5,234248.15,3.9
1684138.84,28.07,2.49,233589.95,3.89
1683883.11,28.07,2.49,233530.36,3.89
1683883.11,28.07,2.49,233530.36,3.89
1683427.91,28.06,2.49,232872.16,3.88
1682782.71,28.06,2.48,232023.97,3.87
1683069.06,28.06,2.49,231794.33,3.87
1682813.32,28.07,2.49,232532.55,3.88
1682595.36,28.07,2.49,232394.77,3.88
1682680.65,28.07,2.5,232498.84,3.88
1682476.32,28.07,2.5,232306.02,3.88
1682220.58,28.07,2.5,232128.48,3.87
1681983.56,28.07,2.5,232007.84,3.87
1682110.6,28.08,2.5,232609.14,3.88
1681854.86,28.08,2.51,232565.37,3.88
1679808.95,28.08,2.51,232207.87,3.88
1679808.95,28.08,2.51,232207.87,3.88
1679151.72,28.08,2.5,231451.45,3.87
1679151.72,28.08,2.5,231451.45,3.87
1678895.98,28.08,2.5,231451.45,3.87
1678640.24,28.08,2.5,231407.68,3.87
1678640.24,28.08,2.5,231407.68,3.87
1678640.24,28.08,2.5,231407.68,3.87
1678573.36,28.08,2.51,231586.71,3.87
1678573.36,28.08,2.51,231586.71,3.87
1678573.36,28.08,2.51,231586.71,3.87
1678317.62,28.08,2.51,231600.3,3.87
1678250.74,28.08,2.51,231683.21,3.88
